2019-06-17 13:36:25,766 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e464e311-f39a-47da-96e5-d44b20ce86df, Nodes: fa296502-ccf7-44c2-b14d-1e7f3e0838c6{ip: 51.236.158.6, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,767 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c17b24fd-da5e-4eef-a32d-7aa1df6ce5cb, Nodes: d0f33d02-f0d6-4a50-9e7d-533c636fb599{ip: 52.228.180.167, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,767 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 419b01e6-2a3b-434b-8bb5-4253c5ea2eff, Nodes: 1f4f0c66-66aa-4e69-8be5-d0af607b5384{ip: 229.183.0.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,768 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ea58ffa3-77fa-4330-9634-3f9049df5b3c, Nodes: 278a3f40-86d8-4831-9120-db31a74c0919{ip: 84.205.3.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,768 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7372b4a1-7f8c-4c16-bc84-40e34a4afe03, Nodes: fa296502-ccf7-44c2-b14d-1e7f3e0838c6{ip: 51.236.158.6, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,769 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 55405506-3b9c-4a6b-877f-cc86ca6655aa, Nodes: 278a3f40-86d8-4831-9120-db31a74c0919{ip: 84.205.3.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,769 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ce3c08c9-75ba-436d-868d-09b0dc2c9135, Nodes: c83778fa-d3a1-42c4-93eb-75ffd96e7ceb{ip: 143.157.25.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,770 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ac1c36c1-51ea-490b-8f79-75acae1adb71, Nodes: 6f8e668d-cf3a-44f8-b3a7-7a30bb8354d8{ip: 58.209.162.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,770 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8f3fcac1-811f-41ca-a91d-12dfa7523c86, Nodes: c5cade4b-9c63-4eed-8665-006cabcf3294{ip: 130.88.67.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,771 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d6b6322d-0b8a-4726-93cf-3812de0edcb3, Nodes: c83778fa-d3a1-42c4-93eb-75ffd96e7ceb{ip: 143.157.25.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,772 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a1873723-9f5d-464b-be7d-6078e0cad0b8, Nodes: 6f8e668d-cf3a-44f8-b3a7-7a30bb8354d8{ip: 58.209.162.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,772 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 11b414b2-8710-4a86-ab40-a9e58a9f7cd3, Nodes: c5cade4b-9c63-4eed-8665-006cabcf3294{ip: 130.88.67.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,773 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ae199350-9cea-4ecb-8693-65ea5d89fe63, Nodes: ae061fd2-95c6-4ee1-a3fc-4d782f084783{ip: 58.249.13.223, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,774 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 81994c8b-a7e6-4a3c-94d7-c8605ff4e70f, Nodes: 278a3f40-86d8-4831-9120-db31a74c0919{ip: 84.205.3.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,774 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ca18819b-1fd5-47c6-960b-af215bf1ce19, Nodes: 278a3f40-86d8-4831-9120-db31a74c0919{ip: 84.205.3.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
