2019-06-18 03:03:56,954 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d8cc2ab7-a088-4c92-9d4b-77f3b92ccf2b, Nodes: 77845ffa-27e8-4ec4-ae90-b2ab90125190{ip: 85.82.119.41, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,955 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 641a1d9f-faae-442b-a77b-b3f5b1a48432, Nodes: 74d9679a-fb4f-4f42-b59f-0e17855f2c46{ip: 139.125.62.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,956 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d0b209f7-487d-4157-9797-a1fb57ed4422, Nodes: 74d9679a-fb4f-4f42-b59f-0e17855f2c46{ip: 139.125.62.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,956 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ae9f176f-39e4-4b2e-8c10-92ef280af922, Nodes: 77845ffa-27e8-4ec4-ae90-b2ab90125190{ip: 85.82.119.41, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,957 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 110f7bbe-998a-4a4b-9e1a-e6da1d497f3c, Nodes: 3fa816a7-87e1-4166-a73f-de76433c1a75{ip: 172.138.213.60, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,957 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c2174ffa-108c-4503-83c7-b1ab3e16ab33, Nodes: 436d711f-6666-405b-9588-ee9eb51b7354{ip: 121.20.188.241, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,958 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c822184d-6b7a-49bf-8066-3762bc9f00eb, Nodes: 436d711f-6666-405b-9588-ee9eb51b7354{ip: 121.20.188.241, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,958 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8aad0e1b-0fcc-45e3-8bbf-4f53c4025c5a, Nodes: 3fa816a7-87e1-4166-a73f-de76433c1a75{ip: 172.138.213.60, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,959 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f0ad3b92-05a1-4fc7-bab4-f8d75fcee600, Nodes: 436d711f-6666-405b-9588-ee9eb51b7354{ip: 121.20.188.241, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,959 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a7b154f4-292a-4237-8e62-86231eb72321, Nodes: 6470e85e-6a92-4476-873f-8028437d91ad{ip: 59.130.224.134, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,960 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 37007332-f8cd-4481-96b9-fce266c9a9c1, Nodes: 1518b771-7e75-46e9-acb6-470a0360025e{ip: 1.196.247.18, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,960 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8ae0aac8-40b0-4dde-b86e-ce3ae84cd884, Nodes: 4e1e3d81-f34a-4882-8891-65bf1c3cc05c{ip: 110.16.117.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,961 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: db9daa21-330b-408b-8422-145e845ee693, Nodes: 74d9679a-fb4f-4f42-b59f-0e17855f2c46{ip: 139.125.62.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,961 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2aecf7ad-80b9-4098-ae12-de9cf1cc1626, Nodes: 1518b771-7e75-46e9-acb6-470a0360025e{ip: 1.196.247.18, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,962 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a04c31b5-2ea2-4815-9dd4-1e53b466d829, Nodes: 74d9679a-fb4f-4f42-b59f-0e17855f2c46{ip: 139.125.62.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,962 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 03662973-ace1-4852-9d51-6874674a1efb, Nodes: 1518b771-7e75-46e9-acb6-470a0360025e{ip: 1.196.247.18, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,963 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 529d36b8-2135-41f7-aa40-3c7f7e4aa579, Nodes: 3fa816a7-87e1-4166-a73f-de76433c1a75{ip: 172.138.213.60, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,963 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9d79f5c9-b380-43e3-bea8-e1e8afab895a, Nodes: 3fa816a7-87e1-4166-a73f-de76433c1a75{ip: 172.138.213.60, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,964 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 87b6ff1d-d58c-4f0e-9174-361980f61c84, Nodes: 1518b771-7e75-46e9-acb6-470a0360025e{ip: 1.196.247.18, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,964 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f6a88cbd-ad9a-46d2-9a8e-83825cdec4dd, Nodes: 6470e85e-6a92-4476-873f-8028437d91ad{ip: 59.130.224.134, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,965 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4fd5323d-c2be-47d2-80fe-cfa916f9f98e, Nodes: 436d711f-6666-405b-9588-ee9eb51b7354{ip: 121.20.188.241, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,966 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7d06ffde-9052-4dc5-9d87-0c2955b311ca, Nodes: 2de3250a-7775-48c7-b018-4ad6538338d0{ip: 159.207.116.120, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,967 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ea9b3db2-3f4a-4010-b67b-fe318d3ea5a0, Nodes: 74d9679a-fb4f-4f42-b59f-0e17855f2c46{ip: 139.125.62.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,967 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 19f19dae-21cc-49da-a945-e725ac136af8, Nodes: 74d9679a-fb4f-4f42-b59f-0e17855f2c46{ip: 139.125.62.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,968 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2768facb-84b5-4296-b4d4-1362071f11e3, Nodes: 4e1e3d81-f34a-4882-8891-65bf1c3cc05c{ip: 110.16.117.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,969 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bf7721e7-557e-41d7-99f0-a4d5b83a0a50, Nodes: 4e1e3d81-f34a-4882-8891-65bf1c3cc05c{ip: 110.16.117.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,969 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 90a67bb7-d543-4289-b521-f806b00e14bc, Nodes: 74d9679a-fb4f-4f42-b59f-0e17855f2c46{ip: 139.125.62.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,970 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5412df73-f9e2-4f6b-b9b1-fe4ddeb76d23, Nodes: 6470e85e-6a92-4476-873f-8028437d91ad{ip: 59.130.224.134, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,970 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 586a9eaf-f519-4935-a11b-df63ce1eb654, Nodes: 3fa816a7-87e1-4166-a73f-de76433c1a75{ip: 172.138.213.60, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,971 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 128227cd-545d-4a36-828e-ae618023a48c, Nodes: 6470e85e-6a92-4476-873f-8028437d91ad{ip: 59.130.224.134, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,971 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 00334cab-14ee-42f5-b2f8-4a5c4c7ad09c, Nodes: 1518b771-7e75-46e9-acb6-470a0360025e{ip: 1.196.247.18, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,972 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5c31a17a-e4f0-4db0-a24b-f004784619d7, Nodes: 77845ffa-27e8-4ec4-ae90-b2ab90125190{ip: 85.82.119.41, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,974 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b0c66ea5-048c-40e7-9f4f-628f883cfd5b, Nodes: 3fa816a7-87e1-4166-a73f-de76433c1a75{ip: 172.138.213.60, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,975 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3a75fd02-b9b9-4946-a051-0f3868dd93d9, Nodes: 77845ffa-27e8-4ec4-ae90-b2ab90125190{ip: 85.82.119.41, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
