2019-06-17 01:09:25,668 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 01:09:25,824 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 01:09:25,824 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 01:09:26,144 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 924a21ad-b439-4df3-98eb-04f37b64988c, Nodes: d173957b-7d0b-459d-9874-a872893b47be{ip: 138.175.51.137, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,145 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5719c1b5-d474-49d4-b010-4abc55a348cc, Nodes: 012139ea-e1fb-418c-9216-87859fc5e9b0{ip: 52.37.119.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,145 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 28aff623-7a49-4fb6-ad66-db95497852b4, Nodes: 001069a0-8b67-4044-b8d2-4af2a53f335f{ip: 24.159.95.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,146 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5d5e66e4-5450-4f54-b401-81200726fa68, Nodes: 001069a0-8b67-4044-b8d2-4af2a53f335f{ip: 24.159.95.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,146 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fac5b071-900f-4b1c-b6ff-4db209038715, Nodes: 012139ea-e1fb-418c-9216-87859fc5e9b0{ip: 52.37.119.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,147 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3de7255c-3fb5-4ba6-8f6d-9b63e1e197e2, Nodes: d173957b-7d0b-459d-9874-a872893b47be{ip: 138.175.51.137, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,147 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e7611af2-5330-4141-8bcb-cf287332f015, Nodes: 6eb5d37e-c950-4f50-9c37-9a78e2479f2c{ip: 151.75.60.110, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,148 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6d1baf9a-c08e-4382-b3ae-0e7bf2ab6c74, Nodes: 76971759-1d4e-482b-b8e5-5c02de65abaf{ip: 180.82.84.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,148 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f1f4abe1-ecc4-430c-9c46-3281bea5a825, Nodes: 13c99bf8-01d9-46cc-8c88-ca146efd26c5{ip: 152.115.202.121, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,149 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5e030478-9b87-4d10-b0d3-028ba7228f3d, Nodes: 13c99bf8-01d9-46cc-8c88-ca146efd26c5{ip: 152.115.202.121, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
