2019-06-18 12:00:34,769 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 12:00:35,438 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 20ad442d-a8c0-48f6-a78a-96440b5905f1, Nodes: 88a92a11-3a3f-4387-9486-3c40bb6e8bdf{ip: 18.201.85.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,439 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 37eabcb3-8d96-4ce8-be2b-96705e32569a, Nodes: 1d0a8c38-6bde-4146-b31e-ec8799376905{ip: 254.145.104.186, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,440 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d769377f-a098-4358-89f3-6088a3ebf82e, Nodes: 88a92a11-3a3f-4387-9486-3c40bb6e8bdf{ip: 18.201.85.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,440 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0617917e-2b61-45d9-bb81-bc3d64e580d4, Nodes: ce53338f-9a82-4692-a054-27aacbbfd857{ip: 117.160.233.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,441 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c0e18765-0c39-4369-9e0d-c812d707ff95, Nodes: ce53338f-9a82-4692-a054-27aacbbfd857{ip: 117.160.233.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,442 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 824b92fb-f449-48c8-9936-0b1ac4d1cc75, Nodes: ed2af49d-6827-4fac-8e7a-c95ca91292a7{ip: 117.121.40.137, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,442 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 88507589-6b38-4b7a-b8db-59367e7c0aea, Nodes: ce53338f-9a82-4692-a054-27aacbbfd857{ip: 117.160.233.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,443 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5a3568ba-58fe-4c26-aeee-2bad8a8331cd, Nodes: 0f6853b3-5864-46bb-9b7e-df6f1ab627cd{ip: 235.141.72.2, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,444 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5611e3fe-a53a-408c-8cba-29935cadb010, Nodes: 1d0a8c38-6bde-4146-b31e-ec8799376905{ip: 254.145.104.186, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,445 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: eeca4e83-22e9-444e-b233-f8c5e9dc1dc6, Nodes: ed2af49d-6827-4fac-8e7a-c95ca91292a7{ip: 117.121.40.137, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,445 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e85a7a97-a011-44b8-8608-9256f8bd5363, Nodes: ce53338f-9a82-4692-a054-27aacbbfd857{ip: 117.160.233.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,446 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9c28950c-8ad8-45b0-9799-bfefa0530615, Nodes: 0cbac55c-cf5b-47c3-8fc8-3f527024feb7{ip: 2.163.87.46, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,446 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f13c313f-9fba-4950-a0c8-b3290a28eee5, Nodes: 0f6853b3-5864-46bb-9b7e-df6f1ab627cd{ip: 235.141.72.2, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,447 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a628d8b3-41a3-402e-ab22-3433307cca8c, Nodes: 88a92a11-3a3f-4387-9486-3c40bb6e8bdf{ip: 18.201.85.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,448 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f1dc36d8-02ae-47b6-90f1-6dc943773b8e, Nodes: 3f8ba321-3cc5-4bfb-9809-abee2530cbbd{ip: 247.201.157.204, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,449 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4adeda60-a33c-446b-8ea0-d0995e0a9bb6, Nodes: ce53338f-9a82-4692-a054-27aacbbfd857{ip: 117.160.233.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,449 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 08f70d50-e8f8-4c38-98d1-607d40d394b0, Nodes: ed2af49d-6827-4fac-8e7a-c95ca91292a7{ip: 117.121.40.137, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,450 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 24cc5a44-52b5-4484-885e-ac30be1cce73, Nodes: 88a92a11-3a3f-4387-9486-3c40bb6e8bdf{ip: 18.201.85.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,451 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 85be4d28-fe31-4118-aa00-7bbffbb9ead0, Nodes: ed2af49d-6827-4fac-8e7a-c95ca91292a7{ip: 117.121.40.137, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,452 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 00e56b34-8dd2-46b0-a535-cd595396dcb9, Nodes: 88a92a11-3a3f-4387-9486-3c40bb6e8bdf{ip: 18.201.85.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,452 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 210d7022-3ae6-4e18-b486-80e96f997252, Nodes: 115b7fde-f70b-463d-b2ae-5c6a87205886{ip: 120.200.1.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,453 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 24faabc6-90c1-4489-8e24-dd5162229654, Nodes: 1d0a8c38-6bde-4146-b31e-ec8799376905{ip: 254.145.104.186, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,454 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 47a5a866-2e00-498b-acca-efab11da58df, Nodes: 3f8ba321-3cc5-4bfb-9809-abee2530cbbd{ip: 247.201.157.204, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,454 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1171fcad-ea37-47da-b0c9-fe7c5426117a, Nodes: ed2af49d-6827-4fac-8e7a-c95ca91292a7{ip: 117.121.40.137, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,455 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 78e3e8e1-d4b2-41d0-81d2-d9b2aa47b9dd, Nodes: 1d0a8c38-6bde-4146-b31e-ec8799376905{ip: 254.145.104.186, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,456 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1a1bf41f-1487-4ccf-b99d-c813ef1f4aef, Nodes: 0f6853b3-5864-46bb-9b7e-df6f1ab627cd{ip: 235.141.72.2, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,458 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2b7e3fe9-6354-4baf-bde0-31971a6d1b66, Nodes: 0f6853b3-5864-46bb-9b7e-df6f1ab627cd{ip: 235.141.72.2, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
