2019-06-17 01:01:12,991 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a5a45356-cf00-4899-9109-347b3122b905, Nodes: bc7b414c-fa30-438c-a392-a5972b1c7f4f{ip: 52.117.204.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,992 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b028bf2e-cec0-4f6d-92de-a8d45479d630, Nodes: a143c84e-f322-48b4-bd70-fb88a19aa44f{ip: 89.110.58.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,992 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e426fac8-17e2-440b-b6e4-e72d7e7fc270, Nodes: 40c898f1-19a5-48ac-a4c3-e1db94adea11{ip: 200.24.123.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,993 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b024d6ae-fea3-4d1c-96c0-d52e451f13a9, Nodes: 814ca758-c3b9-466f-b355-d9d5e46f40ea{ip: 230.83.53.69, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,994 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 524bec8c-0867-40f6-980b-3c70ae9daa76, Nodes: bc7b414c-fa30-438c-a392-a5972b1c7f4f{ip: 52.117.204.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,994 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 70e044a1-cf2b-42e2-8ce1-831fc42e2524, Nodes: 40c898f1-19a5-48ac-a4c3-e1db94adea11{ip: 200.24.123.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,994 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b037e016-961e-4f0e-912a-36b293e67516, Nodes: 20e9c224-aea3-4fb0-bdc2-cf896dd9d88d{ip: 75.20.62.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,995 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 22ec4ed3-32e6-411d-8b80-36d49ec16b30, Nodes: 40c898f1-19a5-48ac-a4c3-e1db94adea11{ip: 200.24.123.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,995 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cc97ebfe-39d6-4dd9-9efe-25e77510e02a, Nodes: 9ff072a2-a0ed-4994-873a-4b5dda43a8a8{ip: 19.7.230.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,996 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d34dbdaa-0496-465e-baad-23257027a32b, Nodes: e1bd7e5e-6589-430a-806f-9b649579e0a1{ip: 193.63.0.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,996 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aec39332-10f3-4fe2-9a56-9fdc82858e26, Nodes: 40c898f1-19a5-48ac-a4c3-e1db94adea11{ip: 200.24.123.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,997 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c4093eaf-c00d-405c-8261-9249260a6799, Nodes: bc7b414c-fa30-438c-a392-a5972b1c7f4f{ip: 52.117.204.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,997 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 491c8543-b234-46b5-ab2f-137b939c30a2, Nodes: 814ca758-c3b9-466f-b355-d9d5e46f40ea{ip: 230.83.53.69, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,998 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 51860cef-3291-4002-81da-b82731380757, Nodes: 9ff072a2-a0ed-4994-873a-4b5dda43a8a8{ip: 19.7.230.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,999 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0bafc76b-1a35-4f74-9c7e-37833265c934, Nodes: bc7b414c-fa30-438c-a392-a5972b1c7f4f{ip: 52.117.204.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,999 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2fc35448-0331-47ce-9ece-6f3428b2a00f, Nodes: e1bd7e5e-6589-430a-806f-9b649579e0a1{ip: 193.63.0.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,000 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: afb0d5d5-c014-431d-939a-a31291308ac7, Nodes: 20e9c224-aea3-4fb0-bdc2-cf896dd9d88d{ip: 75.20.62.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,001 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b1682b5d-a612-42f1-8e2d-2a56e9ea469b, Nodes: a143c84e-f322-48b4-bd70-fb88a19aa44f{ip: 89.110.58.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,001 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e5754c15-d3fe-4c81-b8d0-e69a5eba4525, Nodes: 40c898f1-19a5-48ac-a4c3-e1db94adea11{ip: 200.24.123.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,002 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 79825018-f656-4739-8427-6e79fd772ffb, Nodes: e1bd7e5e-6589-430a-806f-9b649579e0a1{ip: 193.63.0.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,003 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7d2c704f-d35a-48c3-9124-4599ce9f60cc, Nodes: e1bd7e5e-6589-430a-806f-9b649579e0a1{ip: 193.63.0.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,004 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 63441bfe-d5b7-4c20-8ee0-2389a9905355, Nodes: 9ff072a2-a0ed-4994-873a-4b5dda43a8a8{ip: 19.7.230.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,004 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d21316b7-0ca7-4c17-805e-76cd188f0357, Nodes: e1bd7e5e-6589-430a-806f-9b649579e0a1{ip: 193.63.0.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,005 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3635a291-9ff2-4e27-b8f9-d53f6c32db89, Nodes: 9ff072a2-a0ed-4994-873a-4b5dda43a8a8{ip: 19.7.230.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,005 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 45d3002c-74cb-43f2-b6aa-755e09a536eb, Nodes: 20e9c224-aea3-4fb0-bdc2-cf896dd9d88d{ip: 75.20.62.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,006 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 35cf932f-7f73-43bd-b3f9-9ff820cd1d53, Nodes: a5303deb-9318-4eac-8bb5-ee0678cf5bd4{ip: 144.174.78.92, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,006 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e7092d69-897f-4d51-98fb-98dfbdd299e0, Nodes: a5303deb-9318-4eac-8bb5-ee0678cf5bd4{ip: 144.174.78.92, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,007 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f54eb957-bd81-4ccc-b422-968baec198aa, Nodes: 9ff072a2-a0ed-4994-873a-4b5dda43a8a8{ip: 19.7.230.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,007 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f4abcacb-7bbf-4052-84dc-538498a725da, Nodes: 40c898f1-19a5-48ac-a4c3-e1db94adea11{ip: 200.24.123.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,008 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 30d18d83-6e9a-4555-88d2-b7046aa618ad, Nodes: 9ff072a2-a0ed-4994-873a-4b5dda43a8a8{ip: 19.7.230.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,008 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ebd2175e-74ae-4fd2-8feb-b255dc795fe9, Nodes: a5303deb-9318-4eac-8bb5-ee0678cf5bd4{ip: 144.174.78.92, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,009 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 476c1c35-49bd-4e16-9209-01143f8d370d, Nodes: 814ca758-c3b9-466f-b355-d9d5e46f40ea{ip: 230.83.53.69, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,010 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4a827685-5506-4bb8-a169-9c1b73682020, Nodes: 20e9c224-aea3-4fb0-bdc2-cf896dd9d88d{ip: 75.20.62.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:13,011 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dbbadffb-c1d8-469e-b89c-37d8e498cf6d, Nodes: e1bd7e5e-6589-430a-806f-9b649579e0a1{ip: 193.63.0.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
