2019-06-17 15:48:45,559 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f1f6d062-fe6e-4db6-a4a6-050ecdaa0851, Nodes: 389bf18d-6df2-4bcf-aa9d-a13fa84aa3a1{ip: 84.96.56.47, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,559 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f3db612b-1ca5-41de-ac3e-0b177f0b8a2d, Nodes: 118e3419-36e8-4ae0-b29c-78db4527767e{ip: 95.159.116.209, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,560 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8f9890ff-b972-4203-89e2-ffc80efd2209, Nodes: 296bfe51-e3eb-44d8-b503-50aa566478bd{ip: 147.37.139.254, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,560 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b9027126-ee3d-45c7-b28f-428f7c354ff5, Nodes: 37d40427-3e64-4498-adce-0e8f7e1336bd{ip: 173.30.140.58, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,561 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 260e52c5-a17c-44b9-b270-d556d38636e8, Nodes: 37d40427-3e64-4498-adce-0e8f7e1336bd{ip: 173.30.140.58, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,562 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bebdf5d5-b666-4e9f-89c1-bc6f6f485d44, Nodes: 296bfe51-e3eb-44d8-b503-50aa566478bd{ip: 147.37.139.254, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,563 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aa2a8726-e57a-450f-ba65-3edab9314c04, Nodes: cf8ddbec-6b6e-4754-9fea-92a0db692399{ip: 90.203.36.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,563 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2b40883d-7a1c-4756-a3bf-d37c5032bd06, Nodes: 9acd1dbe-8fc3-4c60-8a4a-21a89c5ca9ff{ip: 97.214.221.50, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,564 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 51b9fccb-9226-4e94-ba2b-8f9a2b30ac42, Nodes: 389bf18d-6df2-4bcf-aa9d-a13fa84aa3a1{ip: 84.96.56.47, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,564 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 76091a01-0c8d-46ed-8c23-0142ad57967e, Nodes: 118e3419-36e8-4ae0-b29c-78db4527767e{ip: 95.159.116.209, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,565 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4018235a-a217-427b-88d4-0c778758eabc, Nodes: 296bfe51-e3eb-44d8-b503-50aa566478bd{ip: 147.37.139.254, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,566 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 79cd5966-9425-43e7-b023-70c589f6d85b, Nodes: 37d40427-3e64-4498-adce-0e8f7e1336bd{ip: 173.30.140.58, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,566 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 819f427a-a3ca-4060-bfd4-27fbf6652c6d, Nodes: cf8ddbec-6b6e-4754-9fea-92a0db692399{ip: 90.203.36.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,567 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: edc124ff-56cd-404c-b390-ed5ef8660d06, Nodes: 118e3419-36e8-4ae0-b29c-78db4527767e{ip: 95.159.116.209, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,568 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e844ea18-2924-415a-9ebe-ed91532a9dd8, Nodes: 389bf18d-6df2-4bcf-aa9d-a13fa84aa3a1{ip: 84.96.56.47, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,569 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7ddf23d0-92d0-4925-be73-b582246061de, Nodes: 118e3419-36e8-4ae0-b29c-78db4527767e{ip: 95.159.116.209, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,570 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4eb844e6-0519-43a0-83e0-8bf07dab0507, Nodes: 9acd1dbe-8fc3-4c60-8a4a-21a89c5ca9ff{ip: 97.214.221.50, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,571 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 980e34ad-98f0-4ca6-bca5-a8b8ab80c700, Nodes: 9acd1dbe-8fc3-4c60-8a4a-21a89c5ca9ff{ip: 97.214.221.50, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
