2019-06-17 18:01:31,997 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0a8fc916-94d1-4814-92e1-89b5c581eb0c, Nodes: d7aed3a3-398a-483d-b842-49522c95d001{ip: 75.16.89.12, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,997 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4a03abd7-48b8-48ef-b170-bfc4fefc3490, Nodes: d7aed3a3-398a-483d-b842-49522c95d001{ip: 75.16.89.12, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,998 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e540bda2-3093-4fd6-aca0-08d85c46f9a1, Nodes: 2fe70572-4b1c-44d4-98a8-7218fab45a33{ip: 155.70.9.120, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,999 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dccfdd18-9e07-4ebc-be6d-71ccb1f07fd3, Nodes: 3fc26221-4c6d-42c4-aef2-1d406f699f62{ip: 18.23.217.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,999 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f3e5f29d-a843-4339-9172-4508b4213819, Nodes: 66bf01bd-c2d0-4fb6-b9ff-8232188c1b85{ip: 129.201.100.154, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:32,000 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 740157da-2c04-49de-bf2f-5b3e55b19b66, Nodes: d7aed3a3-398a-483d-b842-49522c95d001{ip: 75.16.89.12, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:32,001 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dfea2c64-9fe8-4f03-81df-69c7bfd22b08, Nodes: 66bf01bd-c2d0-4fb6-b9ff-8232188c1b85{ip: 129.201.100.154, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:32,001 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5ff9a5c8-430f-4c1c-bc92-671302a79b31, Nodes: 3fc26221-4c6d-42c4-aef2-1d406f699f62{ip: 18.23.217.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:32,002 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c222931a-782a-4906-8ce4-383dcc54a72f, Nodes: f40dc595-a466-45a3-a614-b364d1df8c89{ip: 36.64.233.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:32,003 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1dbd2bb8-fcb7-4a2f-988b-b2e72360f973, Nodes: 66bf01bd-c2d0-4fb6-b9ff-8232188c1b85{ip: 129.201.100.154, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:32,003 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 150dcbe1-febf-4771-b34a-add7e3b34aff, Nodes: 5ef9e8db-c7e1-46e5-a11b-12a59194b5f6{ip: 10.124.16.221, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:32,004 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b58b8d28-b94c-46cd-a7a2-82b96d6f48f8, Nodes: 44d3b025-b15b-462c-a26d-dac4fb15abdc{ip: 240.2.81.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:32,006 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 28bc3d9f-62fa-4374-8eb8-0b59afad384a, Nodes: 3fc26221-4c6d-42c4-aef2-1d406f699f62{ip: 18.23.217.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:32,007 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 089b9420-c04a-4228-b9e6-fc5ef130257a, Nodes: 3fc26221-4c6d-42c4-aef2-1d406f699f62{ip: 18.23.217.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
