2019-06-17 11:49:36,708 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b836a3af-3254-4520-91a8-03d9b2f73fff, Nodes: 84135a41-66c1-4c92-90a1-13b66ea5e2ec{ip: 32.85.134.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,709 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aabddfb6-e2c1-49d5-8b83-72461112cead, Nodes: 1457555a-0c3f-4510-8c4f-8b0caa8ed002{ip: 118.160.184.177, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,709 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2648b766-6346-4556-84f3-5f09c1019aab, Nodes: f3623844-fdd7-471e-a975-2a7a56cb5eba{ip: 241.31.104.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,710 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cda56c4c-8499-40ad-bfe6-f65f51029f24, Nodes: ed811062-3000-472f-b957-9f45da32949a{ip: 251.58.202.190, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,710 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6f4fe2c3-f3ee-4b01-8da3-b1a8a4a84b9f, Nodes: 1457555a-0c3f-4510-8c4f-8b0caa8ed002{ip: 118.160.184.177, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,711 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9ac47d88-ff71-4fda-9184-54e9b63f6309, Nodes: 84135a41-66c1-4c92-90a1-13b66ea5e2ec{ip: 32.85.134.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,711 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 92472a84-da68-4108-9912-06226f675ed6, Nodes: 67657e2b-3648-4465-9877-ce341db9a333{ip: 104.56.238.9, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,712 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9e9dc5e6-3321-46b2-a441-40dc162b935d, Nodes: 67657e2b-3648-4465-9877-ce341db9a333{ip: 104.56.238.9, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,712 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5e40fefa-a418-4b20-9607-788118967c8d, Nodes: 1b6a5211-3a32-4b38-a357-20f7d4ca3b55{ip: 121.209.17.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,713 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f4f8aa28-b4c4-41fe-8367-6603af560dd7, Nodes: 1457555a-0c3f-4510-8c4f-8b0caa8ed002{ip: 118.160.184.177, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,716 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 25d238df-a868-4b9b-9d78-b8944b38bce7, Nodes: 67657e2b-3648-4465-9877-ce341db9a333{ip: 104.56.238.9, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,716 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ae83ddeb-f516-480b-8071-7c44a073be97, Nodes: 84135a41-66c1-4c92-90a1-13b66ea5e2ec{ip: 32.85.134.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
