2019-07-03 06:58:38,828 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 280a3e86-b49d-4f80-8af5-6351d6e9a63c, Nodes: ac0a6b76-267d-469e-b5ed-e21f0da6244a{ip: 97.225.11.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,829 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d72a9c61-44fd-4f33-9dd5-cd1fcd3cefd4, Nodes: 7115a25d-d1df-40a2-ae44-27d5e05e0f95{ip: 70.202.72.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,829 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2cc7a217-5f9a-4c63-8075-4f5de738a6bb, Nodes: 535988a2-888d-40f4-a522-bdf93db89dbc{ip: 243.199.137.89, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,830 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: da775506-06ec-4c7d-9c13-97d81999346d, Nodes: 535988a2-888d-40f4-a522-bdf93db89dbc{ip: 243.199.137.89, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,830 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5b09f642-6f7e-4818-9a07-1ee535457f96, Nodes: 1871455b-83b3-4157-ade7-05eacab3ad27{ip: 109.98.188.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,831 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 26c2d585-9628-4988-b469-252ca3914d2a, Nodes: d3cb4535-7287-47ed-b72c-3506069c5769{ip: 171.40.157.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,831 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7457cb46-a578-4045-8dd6-2f1742e76a58, Nodes: 677b61fc-b1e0-42a1-a549-b4cb0c793128{ip: 145.127.13.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,832 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9c76199a-6246-4dbf-a9c4-c407aaf724fa, Nodes: ac0a6b76-267d-469e-b5ed-e21f0da6244a{ip: 97.225.11.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,833 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1b4d0d53-e6ad-49a4-b2ef-9724038a8c61, Nodes: ac0a6b76-267d-469e-b5ed-e21f0da6244a{ip: 97.225.11.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,833 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8dd126c3-55bd-4cbb-8422-fbc983b4d669, Nodes: 9e8f98f4-f877-421f-8aa0-84be1fe1347c{ip: 145.59.40.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,834 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5c5594bc-f730-4433-84ed-d216a907be0f, Nodes: d3cb4535-7287-47ed-b72c-3506069c5769{ip: 171.40.157.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,834 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 19b2729f-5ab8-4a64-8259-bccd4f8a397f, Nodes: ac0a6b76-267d-469e-b5ed-e21f0da6244a{ip: 97.225.11.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,835 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9c920190-11e4-43dd-ad38-fa034f84ee0b, Nodes: d3cb4535-7287-47ed-b72c-3506069c5769{ip: 171.40.157.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,835 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 71f70342-a2ef-4ad4-bf10-2acb369d009b, Nodes: 677b61fc-b1e0-42a1-a549-b4cb0c793128{ip: 145.127.13.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,836 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 35ff61df-2c7a-4094-ae9b-7e6208ee7b83, Nodes: 535988a2-888d-40f4-a522-bdf93db89dbc{ip: 243.199.137.89, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,836 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9075fee0-3dcf-4883-be64-75a9a35fa0a9, Nodes: ac0a6b76-267d-469e-b5ed-e21f0da6244a{ip: 97.225.11.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,837 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 74ec7258-f347-459b-a939-87434d986fec, Nodes: 55f8e29b-8f6e-4e02-8bfd-c2ead3ed7af4{ip: 129.13.253.152, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,838 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a408c8ac-3d09-4d6e-885a-8213f75d62ad, Nodes: 7115a25d-d1df-40a2-ae44-27d5e05e0f95{ip: 70.202.72.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
