2019-06-17 17:11:44,965 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 17:11:45,595 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7a961371-defc-4724-bef2-8056467e193a, Nodes: b0755659-8b9c-48da-ae9a-0165b67ad1fd{ip: 228.182.253.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,595 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1571a919-a937-42c5-8628-dedf51302963, Nodes: 1b93d5e5-89af-483f-8688-2f1c872d3be5{ip: 178.226.79.66, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,596 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8f87000f-44d8-4138-9863-4fc352f5a00e, Nodes: b0755659-8b9c-48da-ae9a-0165b67ad1fd{ip: 228.182.253.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,597 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bc210f8a-2745-4a48-93ba-61d5351287b6, Nodes: ea58aa43-5c26-4eaa-8248-e1af1fd8f188{ip: 183.42.239.241, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,597 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f23ca183-e950-443a-8ac3-6ecc9ea570a4, Nodes: 0ff1902a-5364-44ca-8cde-23c75ea9f3af{ip: 222.11.150.193, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,598 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 69aa10ca-89cc-4813-ba4b-f46bf43a926d, Nodes: c1599e31-bb5c-40d3-b51e-06562c19ec59{ip: 94.9.50.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,599 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1fed1589-04f4-480d-aeb8-2a998251b752, Nodes: ea58aa43-5c26-4eaa-8248-e1af1fd8f188{ip: 183.42.239.241, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,599 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9149e592-fce6-4f58-a13c-7d85a7583b63, Nodes: 73765f32-33ea-4436-8b7f-70e9f4f57b25{ip: 149.227.218.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,600 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 90a5b5ed-17c5-4ad6-9c58-1b98793d774e, Nodes: 0ff1902a-5364-44ca-8cde-23c75ea9f3af{ip: 222.11.150.193, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,601 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e6650bf8-ba59-46db-906b-b754cfce8583, Nodes: 73765f32-33ea-4436-8b7f-70e9f4f57b25{ip: 149.227.218.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,602 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 800fcab8-dd06-4d43-84dd-24f577ca9988, Nodes: b0755659-8b9c-48da-ae9a-0165b67ad1fd{ip: 228.182.253.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,602 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3ffdb1f8-1e5a-4f37-9433-bcc8626e1621, Nodes: c1599e31-bb5c-40d3-b51e-06562c19ec59{ip: 94.9.50.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,603 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6259afd6-9b76-4e73-834f-dc2ec22a59c8, Nodes: 73765f32-33ea-4436-8b7f-70e9f4f57b25{ip: 149.227.218.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,603 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b110189d-3025-49bd-8942-0e6580c7c9be, Nodes: b0755659-8b9c-48da-ae9a-0165b67ad1fd{ip: 228.182.253.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,604 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8df2fd3e-8f09-4c77-a580-52130f90ed01, Nodes: c86122e7-b199-4476-80dd-37bdd326505f{ip: 107.253.249.42, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,604 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c077cb86-ca96-4488-94d2-a3c35b1793de, Nodes: 0ff1902a-5364-44ca-8cde-23c75ea9f3af{ip: 222.11.150.193, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,605 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5b1a770c-85d1-4db5-8db2-5ddd0662afde, Nodes: ea58aa43-5c26-4eaa-8248-e1af1fd8f188{ip: 183.42.239.241, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,606 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 421f1404-a7af-4394-aa2c-eac0ff394dea, Nodes: ea58aa43-5c26-4eaa-8248-e1af1fd8f188{ip: 183.42.239.241, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,607 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b07605b1-eb97-4f5e-aa5d-34b3a3c84d1e, Nodes: b0755659-8b9c-48da-ae9a-0165b67ad1fd{ip: 228.182.253.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,607 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 93e76b71-1491-4d16-852c-4029cd7c9a83, Nodes: 0ff1902a-5364-44ca-8cde-23c75ea9f3af{ip: 222.11.150.193, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,608 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2525ada5-a01e-4e48-abad-4e5e46faf165, Nodes: 1b93d5e5-89af-483f-8688-2f1c872d3be5{ip: 178.226.79.66, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
