2019-06-17 04:11:08,929 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 04:11:09,477 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3e7c817a-12dc-413f-a3d1-abeb214983bc, Nodes: b6763371-b2a9-4ea6-8bec-ced013be9916{ip: 24.179.246.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,478 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4a0233df-cb94-4f19-8ef4-22d138f19c32, Nodes: 1a022e16-1bf9-4338-8123-bfe17e0a998a{ip: 215.220.61.160, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,479 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 73e0a578-9dec-4140-a2ed-a3a7543e5b7a, Nodes: 7fd2491b-c8d0-4c02-9232-2c68900ec049{ip: 31.71.242.90, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,479 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 02876734-aee9-4026-a542-d911eca02830, Nodes: 7fd2491b-c8d0-4c02-9232-2c68900ec049{ip: 31.71.242.90, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,480 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fa5623d2-8372-48c4-bda2-0ebcb618266b, Nodes: 1a022e16-1bf9-4338-8123-bfe17e0a998a{ip: 215.220.61.160, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,481 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1cf766c6-4ace-4a9b-a80c-79f90c970f1c, Nodes: 1a022e16-1bf9-4338-8123-bfe17e0a998a{ip: 215.220.61.160, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,481 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9ca2183c-1702-4d22-a8e2-2b38e5ee40a5, Nodes: 7e11f7f9-d96d-42c1-a844-cd4f81b7ac63{ip: 108.29.17.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,482 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2ff3990a-ce37-4c21-9f3a-d1736830727a, Nodes: 0fbe5eb9-446e-467d-ab07-b96681873e81{ip: 26.240.208.141, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,483 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aa03bfb3-d74e-4fb4-b627-b216efc915fb, Nodes: de4464c7-f8c0-4a62-8d5b-0c8f5a0e555e{ip: 243.33.125.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,483 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a62a33a7-9bbd-4a00-91bf-bae29b2cfd13, Nodes: 1a022e16-1bf9-4338-8123-bfe17e0a998a{ip: 215.220.61.160, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,484 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c1cf2d02-f2d7-4d74-9491-0708c136cb4a, Nodes: 7fd2491b-c8d0-4c02-9232-2c68900ec049{ip: 31.71.242.90, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,485 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d8a3fe18-c15f-44ed-97f9-847c70ef8770, Nodes: 554947ec-bb6f-4f05-b8d7-b9d070881352{ip: 39.194.198.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,485 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7a8d21bf-dd98-48fe-b8f5-ad413ea7d9c0, Nodes: 1a022e16-1bf9-4338-8123-bfe17e0a998a{ip: 215.220.61.160, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,486 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 037789b0-e826-4294-833b-3905d2214539, Nodes: 7fd2491b-c8d0-4c02-9232-2c68900ec049{ip: 31.71.242.90, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,487 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 89095893-c1da-460d-a709-7e0f22796889, Nodes: 1a022e16-1bf9-4338-8123-bfe17e0a998a{ip: 215.220.61.160, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,487 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2958732d-9d4b-4922-8231-da37451b6d7a, Nodes: b6763371-b2a9-4ea6-8bec-ced013be9916{ip: 24.179.246.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,488 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 190e4516-96fd-4d62-b4e4-e939ee10f75d, Nodes: 329d726f-94d3-4eb6-be3b-f8a7fcedc9e3{ip: 55.193.16.74, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,488 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4983f96b-4387-45d2-a17c-6548e7aa81be, Nodes: b6763371-b2a9-4ea6-8bec-ced013be9916{ip: 24.179.246.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,489 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6aadd6f0-96d9-47dd-8ffb-707b55567be8, Nodes: 0fbe5eb9-446e-467d-ab07-b96681873e81{ip: 26.240.208.141, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,490 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 141d5174-da4c-47f2-b643-02a560f7e95e, Nodes: 7fd2491b-c8d0-4c02-9232-2c68900ec049{ip: 31.71.242.90, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
