2019-06-17 20:02:53,952 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 20:02:54,655 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a6585510-18c2-4653-93e3-a474a243df9b, Nodes: 1f939da1-9f96-4409-85dd-40a48fc7f99b{ip: 123.107.205.110, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,656 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c30b1cf5-28a6-4bd2-89c8-193476f054a5, Nodes: abe1b39b-0dfe-40f2-9dc0-0d45644d5bdf{ip: 145.97.197.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,657 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 13187335-8d4a-41af-a55e-6dfd2692995b, Nodes: 9487089d-aa62-45c6-8351-ea00660ea931{ip: 192.70.210.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,658 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9fb3c405-15cc-4dbb-a3fd-85cd8cde9507, Nodes: 1f939da1-9f96-4409-85dd-40a48fc7f99b{ip: 123.107.205.110, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,658 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 320a370c-480f-4f51-9a8c-9b2fc4d7eeb1, Nodes: abe1b39b-0dfe-40f2-9dc0-0d45644d5bdf{ip: 145.97.197.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,659 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d4ab4aee-5b54-4f9d-b5f6-43c41565bb75, Nodes: eba09d05-afef-4915-a7f5-79de109d8d76{ip: 12.58.242.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,660 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5800f06b-c326-4b80-8826-7b24104d262d, Nodes: 1f939da1-9f96-4409-85dd-40a48fc7f99b{ip: 123.107.205.110, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,660 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1e6fd5fb-ab5a-4b40-81da-defac3abb0fc, Nodes: b3e1d455-215b-49c6-8903-ce6f8e9e2444{ip: 41.236.151.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,661 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dc222b9f-e5e9-489a-8551-74142369f38c, Nodes: 9487089d-aa62-45c6-8351-ea00660ea931{ip: 192.70.210.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,662 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 03af17e9-0746-4e7c-8dc1-e6e095fac3a0, Nodes: abe1b39b-0dfe-40f2-9dc0-0d45644d5bdf{ip: 145.97.197.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
