2019-06-17 02:21:44,726 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 02:21:44,897 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 02:21:44,898 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 02:21:45,217 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3a7626bd-160b-4e3c-910c-a8df2ff46f4f, Nodes: 222a4e3a-8775-4d6c-a550-b91955182b02{ip: 16.3.100.31, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,218 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 11435336-99a6-4ff3-927d-10ede59313fc, Nodes: 3d6cf464-bfff-4077-a697-298f6608f6b5{ip: 189.113.206.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,218 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 26dbdc52-3e4e-4f41-b71b-512c0de25151, Nodes: 5f18aa2b-f58a-48ba-87a7-3f2264e81397{ip: 35.146.44.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,219 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 79cb6843-7c12-40a9-bf72-4d40a2a9d27c, Nodes: da136822-84a0-48d7-a974-04177e2f6f1b{ip: 193.153.8.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,219 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f140bcfc-c97d-4943-b981-31f848dee536, Nodes: 3d6cf464-bfff-4077-a697-298f6608f6b5{ip: 189.113.206.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,220 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 58056282-dc82-43ee-8905-3b48b227b033, Nodes: 3d6cf464-bfff-4077-a697-298f6608f6b5{ip: 189.113.206.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,220 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d59f72ce-b049-49b6-8de1-24b80ac84cbf, Nodes: 222a4e3a-8775-4d6c-a550-b91955182b02{ip: 16.3.100.31, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,221 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 58c96255-b25d-4f00-83f4-6e8a8dd51794, Nodes: 3d6cf464-bfff-4077-a697-298f6608f6b5{ip: 189.113.206.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,221 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 03dccfb4-cc6a-4848-8061-622285d52dba, Nodes: 222a4e3a-8775-4d6c-a550-b91955182b02{ip: 16.3.100.31, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,222 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2b8816e1-6056-4891-bb6c-408a4c6605ec, Nodes: da136822-84a0-48d7-a974-04177e2f6f1b{ip: 193.153.8.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,222 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: be766ee3-ff3a-4d6e-a49a-972d7192166f, Nodes: da136822-84a0-48d7-a974-04177e2f6f1b{ip: 193.153.8.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
