2019-06-17 00:35:55,645 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 286c47b9-6392-4fa4-ad6e-d86a473eaa78, Nodes: 8f492f23-dbd4-4e80-8cf9-c563152bd93a{ip: 252.27.183.86, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,645 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c7e8fd48-0aa8-4ed8-9f6a-a6170dd49885, Nodes: f2958fb1-3f22-4fb1-888c-bccb2d8a9b98{ip: 31.83.143.253, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,646 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7be25d54-ba46-409e-85be-6cf3cfc295ca, Nodes: 424d09e3-b802-4001-8a04-5464c32a0b44{ip: 235.96.43.190, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,646 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 815b87c1-b71b-4485-9a5d-cedac679f69e, Nodes: f2958fb1-3f22-4fb1-888c-bccb2d8a9b98{ip: 31.83.143.253, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,647 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 964be3da-0e40-4c6b-bcdc-487c87c81a64, Nodes: f2958fb1-3f22-4fb1-888c-bccb2d8a9b98{ip: 31.83.143.253, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,647 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6e4e1262-2c8c-4993-a0b0-4dc878285f17, Nodes: c055c261-f0d0-47d4-93b7-a010b96a0de2{ip: 154.117.213.3, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,648 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d5a1a547-ccb1-4ebd-9dbf-7a967f1e0cdc, Nodes: 6ba85cf2-b565-46fd-ab5c-78da4340190b{ip: 19.1.11.165, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,648 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ac54e0dd-9495-4f2f-80b4-5c423666f4ef, Nodes: eb8d5ab7-1341-4158-9947-0f7a0ae1c7b2{ip: 43.180.22.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,649 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4a72c727-b23b-4a52-b325-7581f1c48e7c, Nodes: f2958fb1-3f22-4fb1-888c-bccb2d8a9b98{ip: 31.83.143.253, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,649 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 15090c7f-d69b-4502-923e-d17c609df074, Nodes: f5ad8f19-ffc5-4c9b-aacd-84ee5d743013{ip: 161.129.211.141, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,650 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8fb12fd2-8abd-41e7-9959-a3bd4eec2628, Nodes: eb8d5ab7-1341-4158-9947-0f7a0ae1c7b2{ip: 43.180.22.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,650 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1629f107-cd78-4d99-a456-0f55a36ca550, Nodes: c055c261-f0d0-47d4-93b7-a010b96a0de2{ip: 154.117.213.3, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,650 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 28dcc88b-e4bb-444d-aab3-3f8dc85f4f2f, Nodes: 424d09e3-b802-4001-8a04-5464c32a0b44{ip: 235.96.43.190, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,651 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2d48e5c3-b1f5-4791-b8c3-79ab7bbba6e5, Nodes: eb8d5ab7-1341-4158-9947-0f7a0ae1c7b2{ip: 43.180.22.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,652 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a7e18cec-f8fa-4ecd-bc6b-2471e1d7f61d, Nodes: 8f492f23-dbd4-4e80-8cf9-c563152bd93a{ip: 252.27.183.86, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,653 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 00fe6888-3206-4b86-96c9-1f00da34e2f7, Nodes: c055c261-f0d0-47d4-93b7-a010b96a0de2{ip: 154.117.213.3, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
