2019-06-18 13:04:24,932 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6fcdd698-95d4-4f5e-bed0-83f9e76013ef, Nodes: cf8b687d-693b-4018-8229-ab33aacf37d4{ip: 4.85.6.227, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,933 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e905a2bf-a14f-42be-beb7-5597ef10f125, Nodes: f4f83fdc-47e4-47d8-af76-2ab86995448f{ip: 178.179.220.194, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,934 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 665acb69-37d4-402d-8229-db3cbe7ee501, Nodes: 8c3a4041-7b12-447d-82fc-3fb200490389{ip: 188.41.189.43, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,935 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: de867e2c-abc6-4d50-87cb-29d89b4c3ca6, Nodes: 733a1b4e-5885-4884-91fe-faa84ab02ec9{ip: 74.69.87.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,937 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 769e0479-c7ce-40d9-b3cc-d2926d5cfd88, Nodes: e904e489-59d0-4301-8b98-18fa4a7bac04{ip: 105.3.192.159, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,939 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 357e7b86-0f3e-48ab-be7f-6b97413d80ca, Nodes: e56b68c8-175e-4093-91e4-961ab3eef953{ip: 224.190.192.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,941 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 632f4375-928c-4010-98fc-a9586aa2276a, Nodes: cf8b687d-693b-4018-8229-ab33aacf37d4{ip: 4.85.6.227, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,942 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: eba1cf7b-83d6-4f08-a739-825b57f117e3, Nodes: 46e55598-9efc-4f9d-b13e-3ea7447e68d7{ip: 179.165.88.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,943 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 572153ee-deef-4148-ba51-13c0d575bc77, Nodes: 46e55598-9efc-4f9d-b13e-3ea7447e68d7{ip: 179.165.88.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,946 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d2be7989-09a3-4fcd-8a35-b10128adba7f, Nodes: cf8b687d-693b-4018-8229-ab33aacf37d4{ip: 4.85.6.227, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,948 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2f0d211b-a605-4f83-8f8d-025d8a652c0d, Nodes: cf8b687d-693b-4018-8229-ab33aacf37d4{ip: 4.85.6.227, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,949 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 884eb2b6-556e-4189-b84c-e5819e2e9408, Nodes: 46e55598-9efc-4f9d-b13e-3ea7447e68d7{ip: 179.165.88.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
