2019-06-18 06:25:41,835 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 23d33793-0d01-45e3-9ff4-fb644753a37e, Nodes: 1eb9c7d3-5445-47a4-95cd-8e4eb2fd2397{ip: 136.97.227.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,835 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 01492a1f-cbcf-4101-9a1c-aae4bbb66465, Nodes: 745c42bb-5ee7-40f3-a348-45d7c088e0de{ip: 208.231.215.162, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,836 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 39b60b95-396b-49b5-bac1-813ca4ecc387, Nodes: 1eb9c7d3-5445-47a4-95cd-8e4eb2fd2397{ip: 136.97.227.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,837 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7f732393-572f-41b9-8423-607827ee0d2b, Nodes: 6d20a19e-6e28-461a-a6d1-f234861392d5{ip: 21.143.117.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,837 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: be1a54f3-3be0-403c-aacc-d0c6229ebf2b, Nodes: 1167ff2a-dcbe-4c3a-91c2-ef577f440dca{ip: 42.56.189.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,838 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6e4406d4-3a27-4248-8e9b-5e01a81f7daf, Nodes: 7b7a0668-2f98-4f65-8a8e-d5d43c00ef0e{ip: 99.192.90.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,839 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 780dd1cc-f7dd-43db-a136-63ea059d09a4, Nodes: 745c42bb-5ee7-40f3-a348-45d7c088e0de{ip: 208.231.215.162, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,839 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 905c4f66-4318-4000-a1be-fe92fd1598a6, Nodes: 35b4b115-0605-4922-a8f8-15d6c9997a01{ip: 18.225.170.192, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,840 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a7ea92cb-5f24-4cd6-beba-b2d5feb65a02, Nodes: 7b7a0668-2f98-4f65-8a8e-d5d43c00ef0e{ip: 99.192.90.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,841 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8d66ec94-0219-4255-94b3-3d95375542a2, Nodes: 6d20a19e-6e28-461a-a6d1-f234861392d5{ip: 21.143.117.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,841 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d4da55e9-dcbd-41f9-9e59-c8de8ba09826, Nodes: 7b7a0668-2f98-4f65-8a8e-d5d43c00ef0e{ip: 99.192.90.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,842 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dd714ea5-92e2-441b-aa1e-adbb63cd05d4, Nodes: 745c42bb-5ee7-40f3-a348-45d7c088e0de{ip: 208.231.215.162, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,843 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5168a51e-d73a-4da9-9117-dfa0fc4e75c5, Nodes: 6d20a19e-6e28-461a-a6d1-f234861392d5{ip: 21.143.117.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,843 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 819058f8-fc24-46d7-98c5-a78d59357212, Nodes: 35b4b115-0605-4922-a8f8-15d6c9997a01{ip: 18.225.170.192, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,844 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a511513b-9bb7-497b-94a3-40203df8806d, Nodes: 1167ff2a-dcbe-4c3a-91c2-ef577f440dca{ip: 42.56.189.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,844 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5f1bdbd8-a9c7-49ae-8933-9158e0306e4d, Nodes: 456485bf-40ab-456d-a128-635f96a93679{ip: 226.102.165.59, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,846 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 59f0a038-5178-42f2-881b-591dd8cd4dc0, Nodes: 456485bf-40ab-456d-a128-635f96a93679{ip: 226.102.165.59, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,847 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c314704a-7f5e-4fc9-b432-c0f43f9beb74, Nodes: 1167ff2a-dcbe-4c3a-91c2-ef577f440dca{ip: 42.56.189.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,848 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 218dd69a-5389-4ff7-8a9c-c17472b5cc52, Nodes: 1eb9c7d3-5445-47a4-95cd-8e4eb2fd2397{ip: 136.97.227.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
