2019-06-18 03:51:53,841 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cec9ba4d-a43b-4568-993c-786d92991349, Nodes: a562e751-56b0-4ed7-931d-3a009c237104{ip: 191.62.0.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,842 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7cf3ac37-f5cb-4768-a8f7-b435b2117420, Nodes: 15fddc31-80d2-48e1-8c33-f35fc332f631{ip: 53.212.139.84, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,842 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 483b8454-701b-45e2-bccf-fcc2ad917903, Nodes: b70913a9-03d9-4a2b-ace3-1dcb720a7b01{ip: 226.178.57.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,843 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 20a25504-a59b-4587-a878-c855332a778c, Nodes: a562e751-56b0-4ed7-931d-3a009c237104{ip: 191.62.0.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,843 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ac21ee10-be87-4798-acb7-f6dd02bae84f, Nodes: ad8b9183-e43d-45d1-91e7-3dd0757f8da9{ip: 34.10.142.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,844 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: be10bc67-e962-4e7a-88dc-64bafa37e851, Nodes: a562e751-56b0-4ed7-931d-3a009c237104{ip: 191.62.0.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,844 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: beac40cd-5c2c-4740-8a81-e004ca917328, Nodes: b70913a9-03d9-4a2b-ace3-1dcb720a7b01{ip: 226.178.57.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,845 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a10c991e-46f5-4631-aba7-11f1215765e6, Nodes: c7b122e5-b4fc-4fac-b57f-8a9050017d58{ip: 177.194.219.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,845 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 357c0db2-961e-4f31-822b-58d708373023, Nodes: a562e751-56b0-4ed7-931d-3a009c237104{ip: 191.62.0.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,846 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 21a897d4-30ea-4092-8139-5c923addedd8, Nodes: c7b122e5-b4fc-4fac-b57f-8a9050017d58{ip: 177.194.219.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,846 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 276717dc-1e5e-44b7-9233-8b2c4e949062, Nodes: c7b122e5-b4fc-4fac-b57f-8a9050017d58{ip: 177.194.219.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,847 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0b639ac5-5860-48b4-aa39-af296d3436fe, Nodes: c7b122e5-b4fc-4fac-b57f-8a9050017d58{ip: 177.194.219.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,847 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f5614c96-2d0d-4cfc-85f6-e7f11116498e, Nodes: ad8b9183-e43d-45d1-91e7-3dd0757f8da9{ip: 34.10.142.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,848 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9c200986-b254-44ff-bc85-39e467a7fde6, Nodes: 63c9c97e-8b59-40ff-8db0-dd846a324ee8{ip: 223.35.254.81, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
