2019-06-16 21:28:28,929 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-16 21:28:29,493 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ee0b3986-030e-4f8c-ac87-6cd2dc9a9cd7, Nodes: 4dcff70a-94fa-4f80-b497-d5cabad73e96{ip: 197.21.215.188, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,494 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 910d292b-b87c-40d6-bfad-cbe2f0093684, Nodes: 63e55470-cbcd-448c-88c1-8508e67f7436{ip: 220.32.71.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,494 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b51eb28b-b4b5-48ee-8bd5-d469f8d5dae1, Nodes: 89bf2f7b-e0f3-438a-99de-634456432835{ip: 192.2.73.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,495 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4c0e6440-8cc0-4397-a5d2-6357074b2982, Nodes: b3aeb7a8-1537-4622-b90f-b28e8f13db33{ip: 16.210.208.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,495 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 83f34d04-81d0-4010-a3e8-a7e55a5380f9, Nodes: 960e33df-1266-4d56-8511-5db0f5f83bb6{ip: 153.74.131.53, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,496 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 51916db3-37b2-4be2-823f-f3f0cfd10447, Nodes: 9f03c104-52a1-41f5-ac5e-eb53c28cf632{ip: 57.249.28.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,496 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aa55c2da-afb3-4329-a090-4e4668cb06bb, Nodes: b3aeb7a8-1537-4622-b90f-b28e8f13db33{ip: 16.210.208.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,497 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 14ddaa48-a633-431e-9588-04877f78970e, Nodes: 4dcff70a-94fa-4f80-b497-d5cabad73e96{ip: 197.21.215.188, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,497 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b3a4f919-68c1-4859-91f2-0b829a2f3794, Nodes: 9843ff86-e26a-4608-ab2f-7a366276e3b2{ip: 7.126.117.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,498 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 91da25c6-7e50-45ce-a164-921b0eea21c9, Nodes: 9f03c104-52a1-41f5-ac5e-eb53c28cf632{ip: 57.249.28.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,498 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5f6b7f1d-00d3-4297-9818-2d06625c0a39, Nodes: 73058fcb-4859-48c2-b9aa-854c562722f8{ip: 143.111.97.127, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,499 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a68f4c59-134e-4b5e-a634-f1ab5aa7769d, Nodes: 89bf2f7b-e0f3-438a-99de-634456432835{ip: 192.2.73.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,499 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1279b715-cc3a-44e9-a06f-84e6bca959a3, Nodes: 9843ff86-e26a-4608-ab2f-7a366276e3b2{ip: 7.126.117.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,500 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6e3a62c6-cfe1-436a-9e8f-252e772a3d90, Nodes: b3aeb7a8-1537-4622-b90f-b28e8f13db33{ip: 16.210.208.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,500 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1aceacc0-5954-41ce-8fdd-e288469b77f6, Nodes: 73058fcb-4859-48c2-b9aa-854c562722f8{ip: 143.111.97.127, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,500 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0dcad028-31fa-4c0f-bc59-1a89386d590d, Nodes: b3aeb7a8-1537-4622-b90f-b28e8f13db33{ip: 16.210.208.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,501 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d2482702-06b6-4f8a-ac5c-d017dc836d44, Nodes: 63e55470-cbcd-448c-88c1-8508e67f7436{ip: 220.32.71.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,501 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5cb2ad71-1cc4-4f12-988a-a5f7bc96b8c9, Nodes: b3aeb7a8-1537-4622-b90f-b28e8f13db33{ip: 16.210.208.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,502 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 18258850-c99d-41bb-946e-15f62def94fa, Nodes: 63e55470-cbcd-448c-88c1-8508e67f7436{ip: 220.32.71.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,503 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 15a0666d-4426-434f-96e2-a0988ea1069e, Nodes: 4dcff70a-94fa-4f80-b497-d5cabad73e96{ip: 197.21.215.188, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,503 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 36a94686-94a6-470c-8e30-f16158a9d143, Nodes: 9843ff86-e26a-4608-ab2f-7a366276e3b2{ip: 7.126.117.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,504 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 10f6f91b-5803-45ce-b769-6c4b892dd799, Nodes: 960e33df-1266-4d56-8511-5db0f5f83bb6{ip: 153.74.131.53, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,504 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 31e14ec0-0e57-44c3-920a-158a95e092f0, Nodes: 73058fcb-4859-48c2-b9aa-854c562722f8{ip: 143.111.97.127, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,505 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d356c569-a604-4758-bc86-43bd08d8db53, Nodes: 4dcff70a-94fa-4f80-b497-d5cabad73e96{ip: 197.21.215.188, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,506 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 716bdca8-96d4-486a-9c0a-5b00f0076ebe, Nodes: b3aeb7a8-1537-4622-b90f-b28e8f13db33{ip: 16.210.208.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,506 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2dfbb306-3756-4023-992d-d95134b14928, Nodes: 9f03c104-52a1-41f5-ac5e-eb53c28cf632{ip: 57.249.28.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,507 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d7de230d-3214-493e-bb29-3a3343dba3fa, Nodes: 63e55470-cbcd-448c-88c1-8508e67f7436{ip: 220.32.71.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,508 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 42df6775-b6ac-4032-be8e-ba0e5801beff, Nodes: 960e33df-1266-4d56-8511-5db0f5f83bb6{ip: 153.74.131.53, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,509 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 904553aa-e13b-425a-b735-af96c53d03a4, Nodes: 89bf2f7b-e0f3-438a-99de-634456432835{ip: 192.2.73.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,510 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8d1f6c7d-3354-4e5a-b88a-6e6d4efaaed5, Nodes: 4dcff70a-94fa-4f80-b497-d5cabad73e96{ip: 197.21.215.188, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,511 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 62fa3f6c-a954-4739-854e-f0db5f3e5401, Nodes: 9843ff86-e26a-4608-ab2f-7a366276e3b2{ip: 7.126.117.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
