2019-06-16 22:16:39,721 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b6d3b625-e02e-438f-94d7-738ff8fe07c7, Nodes: 98fff66b-221b-4651-97f2-205471389e50{ip: 2.135.178.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,722 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 454bc233-d4e4-447a-b4f5-e4c1835a6f81, Nodes: 0c5692f9-75b1-452c-901d-940f546a77e4{ip: 215.239.179.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,722 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e5ff1e59-6c81-4bf2-8b12-65647dcd1954, Nodes: 2671b0b3-6e8b-410f-9504-5469c5581a47{ip: 142.80.23.158, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,723 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b504790a-527d-4661-b372-065dc77c2be5, Nodes: bcecc318-a930-41eb-b108-1912bd98ca11{ip: 34.163.165.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,723 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: db447fab-7843-408c-8b51-56e8344943f1, Nodes: 98fff66b-221b-4651-97f2-205471389e50{ip: 2.135.178.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,724 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 42e77b1c-81ed-41a3-8983-a12392b4c34f, Nodes: 98fff66b-221b-4651-97f2-205471389e50{ip: 2.135.178.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,724 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 79b7de1b-9c12-4089-a8bd-50694f3a2f7f, Nodes: 6ba11038-229c-4c5d-8ab3-827e4a028b67{ip: 209.42.111.155, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,725 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 01148af2-833d-428e-aaa2-525050298163, Nodes: bcecc318-a930-41eb-b108-1912bd98ca11{ip: 34.163.165.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,725 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7905824c-571b-4c7e-82bc-e67e4004d7f8, Nodes: b1941c48-0b1a-45ba-8dcc-86e4ad264293{ip: 156.239.10.46, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,726 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3b24c0fa-679d-4ae1-b482-740f5c8f9491, Nodes: 98fff66b-221b-4651-97f2-205471389e50{ip: 2.135.178.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
