2019-06-16 22:12:10,779 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1d88b8ec-63ea-425d-b582-16b6c9089183, Nodes: 9631f3e7-ed50-4f4b-8ee2-6b885c237584{ip: 208.201.78.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,780 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 83cd30f6-9ec9-4dfc-b322-b4ba00bc4db9, Nodes: 7f56b330-9443-44bc-abef-fd4788d33d13{ip: 164.87.150.107, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,781 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fa07d5c0-bb5b-46ba-9664-bf7aeede0d8d, Nodes: 9631f3e7-ed50-4f4b-8ee2-6b885c237584{ip: 208.201.78.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,782 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 49a35713-f760-4336-bc22-0d7c73b21d48, Nodes: eb765e51-c48e-471f-b531-a3c60320bafc{ip: 39.159.147.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,782 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d61548ae-d21c-4d1f-a47e-e632c49627f3, Nodes: 7f56b330-9443-44bc-abef-fd4788d33d13{ip: 164.87.150.107, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,783 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 254441da-ade1-4cf8-96d4-bcbb72e89beb, Nodes: f87991f6-8bdc-472f-ac59-b4d162d764d2{ip: 218.78.137.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,784 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 70cad43e-e7b6-4ea1-90f1-d7a4c99372d8, Nodes: eb765e51-c48e-471f-b531-a3c60320bafc{ip: 39.159.147.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,784 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 71d565f7-0806-4d42-ad1e-9c1440da0d52, Nodes: 9631f3e7-ed50-4f4b-8ee2-6b885c237584{ip: 208.201.78.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,785 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1a88c83f-c916-4cac-ac8a-233b25438ddd, Nodes: 77067cf4-44e5-4769-97aa-d741e7f87f96{ip: 159.113.9.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,789 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b78eac2e-013f-4771-b09a-c0ba7c10978b, Nodes: 7f56b330-9443-44bc-abef-fd4788d33d13{ip: 164.87.150.107, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,790 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 354210f3-802c-4921-911f-3337177aeffe, Nodes: 9631f3e7-ed50-4f4b-8ee2-6b885c237584{ip: 208.201.78.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,791 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e6757b53-efc5-47fd-b932-45d989aeecff, Nodes: f87991f6-8bdc-472f-ac59-b4d162d764d2{ip: 218.78.137.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,791 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c1873042-4dfe-4002-aca8-0ea61229717b, Nodes: 44723c6e-8805-4691-827d-e90f9ae7ddb8{ip: 169.182.172.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,792 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 664a472a-749b-4e5e-8b69-1a0c2fa8b20a, Nodes: f87991f6-8bdc-472f-ac59-b4d162d764d2{ip: 218.78.137.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
