2019-06-17 14:27:17,828 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:27:18,382 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2827494c-e47a-4c0a-b05b-85b2e6ca8c4a, Nodes: 6887e7b4-0a39-428d-8829-11b8e11d731f{ip: 32.116.172.231, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,383 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ae6d8929-7d99-4fb2-bac5-6d812c1e756a, Nodes: 5565a83c-1d31-403b-8c48-c0becc383f5d{ip: 59.145.147.106, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,384 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 036658c9-09c9-43bf-95a3-40b62b772ff4, Nodes: b0824588-5ed0-4be7-8e3c-775d0de31509{ip: 206.235.153.181, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,384 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3cb5c2d7-bca3-470c-a456-79996ab2060d, Nodes: 2bd11c49-0d33-4517-811a-3eabb2016481{ip: 161.114.102.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,385 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2928fc83-39b5-4a03-adef-2f6e69ba61f9, Nodes: f8c9670e-b2a3-4d2c-a349-a90fd7de7ca1{ip: 133.92.226.54, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,386 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3c29784b-fa80-4780-b6b7-7dc684055ce9, Nodes: f8c9670e-b2a3-4d2c-a349-a90fd7de7ca1{ip: 133.92.226.54, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,386 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9ee73aca-ccb0-4048-b9f0-e8d5b5ca547b, Nodes: b0824588-5ed0-4be7-8e3c-775d0de31509{ip: 206.235.153.181, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,387 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 600baedb-2688-49ef-a2be-430c4a8898f6, Nodes: f8a0f02f-a999-46ee-897c-50a35e56ef84{ip: 96.88.200.239, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,388 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6da0899b-dad0-4cb4-a683-7a8bde3830bb, Nodes: 05be6a42-7120-426a-a962-c7a2f14dc844{ip: 153.220.91.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,388 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 49caf528-7e74-433c-9d8e-6c76c9af4fc4, Nodes: 2bd11c49-0d33-4517-811a-3eabb2016481{ip: 161.114.102.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,389 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 988e48c7-0215-4cd3-83e8-2691da56eceb, Nodes: 2bd11c49-0d33-4517-811a-3eabb2016481{ip: 161.114.102.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,390 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7193de9f-afe8-4303-b17e-e2605969c528, Nodes: 2bd11c49-0d33-4517-811a-3eabb2016481{ip: 161.114.102.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,390 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f3666072-5a20-43fd-80d0-c46c73f71fc1, Nodes: 2bd11c49-0d33-4517-811a-3eabb2016481{ip: 161.114.102.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,391 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c6fc2429-ccce-45bc-8195-db68c2a2acf1, Nodes: f8c9670e-b2a3-4d2c-a349-a90fd7de7ca1{ip: 133.92.226.54, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,392 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6d46cb2c-078b-4c19-93a6-bdf747f1d0d3, Nodes: b0824588-5ed0-4be7-8e3c-775d0de31509{ip: 206.235.153.181, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,392 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aefd0626-24c5-425a-bb9f-96c17f911278, Nodes: 5565a83c-1d31-403b-8c48-c0becc383f5d{ip: 59.145.147.106, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,393 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 163656c7-9ac3-4f0c-9f63-aeca7a737461, Nodes: 2bd11c49-0d33-4517-811a-3eabb2016481{ip: 161.114.102.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,394 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c9a886e4-9406-443b-95ad-49beadcc0657, Nodes: 5565a83c-1d31-403b-8c48-c0becc383f5d{ip: 59.145.147.106, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,395 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 982c939d-225f-4cae-bc8d-c45d025addc2, Nodes: 05be6a42-7120-426a-a962-c7a2f14dc844{ip: 153.220.91.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,396 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 32776b04-7e6b-459a-9b98-e35a2ce74ac9, Nodes: 6887e7b4-0a39-428d-8829-11b8e11d731f{ip: 32.116.172.231, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,397 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: eea6d369-e2b6-44c5-a011-0cb8637fb0f7, Nodes: f8a0f02f-a999-46ee-897c-50a35e56ef84{ip: 96.88.200.239, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
