2019-06-17 05:19:28,623 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b1bc1b1e-fe49-4f30-bebe-bff74905d859, Nodes: 8ea9c812-5ba9-4fac-98b9-e1132f05ad35{ip: 130.106.49.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,624 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cf03e668-70c9-425f-9a20-40cde57a9d73, Nodes: a32bb9d2-b7f3-4e2d-bd9e-cbe7588785ee{ip: 38.30.235.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,625 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d7bc03b3-5725-4d8e-9494-9a4f8f9ebe9d, Nodes: 8ea9c812-5ba9-4fac-98b9-e1132f05ad35{ip: 130.106.49.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,625 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b2f96293-d1f8-4aac-b122-d93d85ce2109, Nodes: 4da28960-afe1-4f5f-9e75-23a6500fb29d{ip: 31.83.155.93, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,626 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b35f4a67-298a-483b-bc3e-18349eb05659, Nodes: 6cae779b-f614-464f-a01f-9fa1d30b90fd{ip: 206.248.22.86, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,627 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9b380c23-6b57-4542-814a-3fbf4b1775bc, Nodes: 241c97da-10c3-4e6a-8995-3aaa3fd2c5bc{ip: 119.106.207.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,627 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bd769a15-e896-4b54-b2e7-84f5692c7014, Nodes: 241c97da-10c3-4e6a-8995-3aaa3fd2c5bc{ip: 119.106.207.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,628 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 417dde2b-1d07-448d-abbe-1a08f6dc049f, Nodes: a32bb9d2-b7f3-4e2d-bd9e-cbe7588785ee{ip: 38.30.235.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,629 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0d89516f-0760-471e-8746-0bf5a47ce87c, Nodes: 241c97da-10c3-4e6a-8995-3aaa3fd2c5bc{ip: 119.106.207.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,629 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 17bd3539-f3a5-4f35-bc51-d85861974890, Nodes: 45f2ec3c-bf86-4d1e-9333-1862caa3d95d{ip: 227.227.111.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,630 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d32c25d6-65d5-45c5-839c-92448ffc7327, Nodes: 8ea9c812-5ba9-4fac-98b9-e1132f05ad35{ip: 130.106.49.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,631 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4002cf3f-d040-446f-999e-a17b67327412, Nodes: a32bb9d2-b7f3-4e2d-bd9e-cbe7588785ee{ip: 38.30.235.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,631 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1dbe8376-5d9f-4d29-8ed2-bd21324cfd85, Nodes: a7f5f792-ac29-4310-b1da-e419120cb61f{ip: 106.181.104.54, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,632 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0a02605c-1b26-4200-88d0-be32d411abd8, Nodes: 45f2ec3c-bf86-4d1e-9333-1862caa3d95d{ip: 227.227.111.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,632 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0f754dbb-f138-4f42-9582-3d139a1fa2f1, Nodes: 241c97da-10c3-4e6a-8995-3aaa3fd2c5bc{ip: 119.106.207.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,633 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8eec65d1-1756-4048-aa94-1b56bae5c6c2, Nodes: 8ea9c812-5ba9-4fac-98b9-e1132f05ad35{ip: 130.106.49.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,634 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4349968f-68c5-4af1-882e-8d348c9731ba, Nodes: a7f5f792-ac29-4310-b1da-e419120cb61f{ip: 106.181.104.54, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,634 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3d544013-a135-4392-b042-aed57e21e105, Nodes: 6cae779b-f614-464f-a01f-9fa1d30b90fd{ip: 206.248.22.86, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,635 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aba1707f-8ebf-41fa-b80c-82a5973f483b, Nodes: 45f2ec3c-bf86-4d1e-9333-1862caa3d95d{ip: 227.227.111.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,636 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9d43b0d3-29f2-4bef-92f7-f92419e76568, Nodes: 0f1e433b-1f09-44f9-98cf-ea91f545ffc4{ip: 9.128.224.20, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,636 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 47b51db6-5835-43b2-ae05-17a283d785be, Nodes: 45f2ec3c-bf86-4d1e-9333-1862caa3d95d{ip: 227.227.111.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,637 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 41c8d35b-9074-47e4-b185-2960047767de, Nodes: 0f1e433b-1f09-44f9-98cf-ea91f545ffc4{ip: 9.128.224.20, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,638 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 09742472-0a63-4ab6-aea7-16478229a05a, Nodes: a7f5f792-ac29-4310-b1da-e419120cb61f{ip: 106.181.104.54, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,638 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a4a11342-71b8-468c-8755-5d4072edd395, Nodes: a32bb9d2-b7f3-4e2d-bd9e-cbe7588785ee{ip: 38.30.235.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,639 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1d84ce07-a1ff-41b0-93d3-a1f8f86b0499, Nodes: a32bb9d2-b7f3-4e2d-bd9e-cbe7588785ee{ip: 38.30.235.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,639 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ed6c80ec-d1a2-4e37-8773-23612db295f3, Nodes: 8ea9c812-5ba9-4fac-98b9-e1132f05ad35{ip: 130.106.49.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,640 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d167c18e-f953-4173-96e8-c81c38ea3abe, Nodes: 45f2ec3c-bf86-4d1e-9333-1862caa3d95d{ip: 227.227.111.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,641 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a38dd571-d807-4234-be11-4ced7a87b24c, Nodes: 4da28960-afe1-4f5f-9e75-23a6500fb29d{ip: 31.83.155.93, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,641 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 70b63ebc-84d3-4acb-b121-9126d41902ab, Nodes: 6cae779b-f614-464f-a01f-9fa1d30b90fd{ip: 206.248.22.86, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,642 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0c197ba5-f2dc-4ce2-9ba3-5ac14ff55fa3, Nodes: 45f2ec3c-bf86-4d1e-9333-1862caa3d95d{ip: 227.227.111.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,644 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4913ecaf-eda5-433c-a3cd-c846442b808a, Nodes: 4da28960-afe1-4f5f-9e75-23a6500fb29d{ip: 31.83.155.93, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,645 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ba7b40db-f06c-40cb-b9cc-5538ab4ee315, Nodes: 241c97da-10c3-4e6a-8995-3aaa3fd2c5bc{ip: 119.106.207.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
