2019-06-17 16:36:45,788 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 16:36:45,956 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 16:36:45,956 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 16:36:46,284 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e4c300fc-30b4-4489-a6fa-620a800eceb9, Nodes: a274e9d6-1334-44a0-9b55-2b72daffbdd5{ip: 214.40.9.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,285 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a862e270-6364-4738-8723-ebb3d9078909, Nodes: 00ab1354-8acb-43ad-9044-ba5947d300d6{ip: 88.122.221.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,285 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 24291c29-48aa-4a35-afb3-d9ac890bb1d6, Nodes: 298d1585-133d-46e4-b539-317897a9392d{ip: 72.66.7.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,286 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dae9c187-098b-4aec-8027-749d4c890a99, Nodes: 78c3320e-7f61-4612-8a2b-5f74b63d5d3a{ip: 47.23.87.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,286 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 21e434b5-e77c-4836-aa5b-bc73922fb977, Nodes: 298d1585-133d-46e4-b539-317897a9392d{ip: 72.66.7.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,287 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0a4f6b11-a1a0-45f2-b2ac-b54c3553d75d, Nodes: 9c2fae53-4588-488e-a742-c73a6a77508b{ip: 45.207.111.112, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,287 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 719b434b-c522-4178-9fca-16fd645ccee7, Nodes: a274e9d6-1334-44a0-9b55-2b72daffbdd5{ip: 214.40.9.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,288 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ef340f87-9fb7-400f-9dbb-f72c2cdf0034, Nodes: 78c3320e-7f61-4612-8a2b-5f74b63d5d3a{ip: 47.23.87.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,288 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 10365a92-c9f7-4d3d-91fd-dcfad5c87367, Nodes: 298d1585-133d-46e4-b539-317897a9392d{ip: 72.66.7.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,289 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 23ce0d42-d194-45cf-8a12-8c4efcf1b07d, Nodes: c708f58a-3ec0-4248-8261-c1e727665a59{ip: 175.247.2.18, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,289 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 09e1443d-0d8a-44df-9a43-8784abd4b5f1, Nodes: c708f58a-3ec0-4248-8261-c1e727665a59{ip: 175.247.2.18, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,290 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 595f5e09-58a3-4358-bfbe-1c7dcb292ea3, Nodes: 72560309-bb48-4307-bfec-a2f390d44abc{ip: 47.239.236.212, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,290 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 002c82fd-6866-446f-b7e4-afab9740f0f8, Nodes: c708f58a-3ec0-4248-8261-c1e727665a59{ip: 175.247.2.18, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
