2019-06-17 10:55:51,651 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d7de1f86-d833-4b6e-80d8-e7467799dc9d, Nodes: 356692c7-c286-47ee-a1d5-732f37c1eb53{ip: 206.162.179.103, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,653 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fdd80714-9638-4fcd-adfe-dc3f9778af15, Nodes: b455c611-d211-4362-8a5c-6c03005bbe61{ip: 128.61.123.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,654 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: afd9303b-82b2-40ec-b15f-358efd7b57ed, Nodes: 19c7711f-1829-44b0-9220-ed6459455278{ip: 78.49.251.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,655 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 93295644-443f-4a2d-89db-c4de08bad394, Nodes: b455c611-d211-4362-8a5c-6c03005bbe61{ip: 128.61.123.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,656 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d3b39938-47d9-4d89-b589-63caa049bbec, Nodes: 9ed4a8ee-11f5-4c53-b592-69d2691b2e54{ip: 3.3.117.118, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,656 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3c299137-dd08-455a-9a60-a80c5e3257d5, Nodes: 19c7711f-1829-44b0-9220-ed6459455278{ip: 78.49.251.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,657 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e0363e71-943f-4778-8356-4a541b8743cd, Nodes: d81f6d61-b8ac-4a79-b8c7-367da122f21c{ip: 233.70.89.213, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,658 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0d48da19-2e0f-48e0-9814-e49e739a9900, Nodes: 356692c7-c286-47ee-a1d5-732f37c1eb53{ip: 206.162.179.103, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,659 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4802727b-80f9-47f6-833e-b6fdf54c8ea7, Nodes: b0a6e3f3-6d11-4b2e-967c-4d4933a45e01{ip: 95.120.166.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,660 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5b086ff4-ded4-4d7b-9b11-c7b856cec536, Nodes: 0c80bc97-e52c-4d1d-b656-5adeff268f2b{ip: 55.18.196.67, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
