2019-06-15 12:48:11,894 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: feb3d938-db85-4ed7-b410-3693c620c633, Nodes: c1964d72-5fe6-4101-b93c-e136e6f70aac{ip: 200.90.67.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,895 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d7b6bc0c-304a-4ba8-9666-3c26eff21204, Nodes: 56154212-31f7-44d6-be0c-70d21a6ec62c{ip: 213.249.163.62, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,896 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 24b6c051-8cb1-411e-8c09-e6ad4db7907d, Nodes: bf83748e-d570-475e-81e0-e2ce9c68d5a5{ip: 123.234.11.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,896 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ed42f8a3-e7cd-45a7-afd7-dcf857170157, Nodes: 81301fae-cb56-4ff8-8319-65509ead28a9{ip: 208.138.207.169, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,897 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 14d6c988-5dff-43f9-82aa-d7273bf283d0, Nodes: 1603ec57-0851-4af2-9d87-d1f3a0b108f3{ip: 130.178.207.197, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,897 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1dd6df19-1c02-4cb0-9068-0fead81def39, Nodes: 56154212-31f7-44d6-be0c-70d21a6ec62c{ip: 213.249.163.62, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,898 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4dd9b304-c18c-4ba3-8c23-591a065a42f3, Nodes: 81301fae-cb56-4ff8-8319-65509ead28a9{ip: 208.138.207.169, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,898 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 502ed928-05d6-46e7-944e-c1a89ea1fa67, Nodes: 440c0a30-17a3-413b-ad3e-569da7cd870f{ip: 222.236.139.241, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,899 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 953bbd98-0d30-4b9d-a286-c57d054ebaea, Nodes: 1603ec57-0851-4af2-9d87-d1f3a0b108f3{ip: 130.178.207.197, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,899 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a031a043-6d5c-47fa-ac73-ff7446705b77, Nodes: 9f4b0365-8dc6-427b-8489-9485605cf9ab{ip: 99.237.168.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,900 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3964c32c-ff79-4b4b-a38b-7c7506aca8a6, Nodes: 9f4b0365-8dc6-427b-8489-9485605cf9ab{ip: 99.237.168.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,901 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4d7c1022-35ac-47a2-b66b-633f6fb9eb5a, Nodes: bf83748e-d570-475e-81e0-e2ce9c68d5a5{ip: 123.234.11.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,901 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 711cf53a-d08f-47f4-9e49-dfdff902a076, Nodes: 57603e2c-b858-4daf-a33e-1ad6285206fe{ip: 83.51.75.211, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
