2019-06-15 12:32:22,697 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 12:32:22,912 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-15 12:32:22,913 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 12:32:23,299 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1e3b1f78-266b-4f54-8f90-3db6eb7ddd9a, Nodes: 21436478-d8c4-400f-af39-fcb8cd7aac96{ip: 157.166.202.94, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,300 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8d9e2d75-d268-4a3e-af56-19f92f6549c4, Nodes: 5af913da-5001-4e6b-a5f6-3eda2c2693c0{ip: 112.133.230.32, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,300 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d13a3fc3-1269-4263-a4df-92771d12996d, Nodes: f0ff2144-6fb6-4c90-9760-d415ceadf72e{ip: 149.69.122.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,301 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f1a3bc17-f5d5-4ff4-9508-9b367d2f44a5, Nodes: 88e76b48-29aa-4af9-8589-a237a611cec9{ip: 64.73.252.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,301 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 17a779b6-e1a7-4432-a1eb-c7026c4bbfce, Nodes: f161f9e2-7b44-47d3-99ec-0ff827efdb38{ip: 49.153.112.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,302 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0ac92769-5095-4de9-be64-2ae7f6bc219c, Nodes: 5af913da-5001-4e6b-a5f6-3eda2c2693c0{ip: 112.133.230.32, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,303 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ee55836c-bc46-411e-b86c-6023b2ebf17c, Nodes: 88e76b48-29aa-4af9-8589-a237a611cec9{ip: 64.73.252.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,303 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1ab7d5ba-76c8-4c0c-9c86-f38d2205c9e7, Nodes: 21436478-d8c4-400f-af39-fcb8cd7aac96{ip: 157.166.202.94, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,304 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6bcac8fa-b1a9-4c72-a07b-ec63603113ab, Nodes: 21436478-d8c4-400f-af39-fcb8cd7aac96{ip: 157.166.202.94, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,304 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 827628b9-f23c-4ed7-a048-2c67eca6648a, Nodes: 21436478-d8c4-400f-af39-fcb8cd7aac96{ip: 157.166.202.94, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
