2019-06-17 15:21:15,786 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4875a737-f7e6-4806-85b5-d1d29094d38a, Nodes: bc592f49-b596-45d2-8d5f-34031c60e346{ip: 250.43.24.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,787 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f9c7e41e-fc02-478b-9a0d-5a4d39d59305, Nodes: bc592f49-b596-45d2-8d5f-34031c60e346{ip: 250.43.24.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,788 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 24139ca9-df1f-41d5-9c94-96c5b2694556, Nodes: f63433ef-727c-4743-8a62-0fe9e4855400{ip: 250.45.141.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,788 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 53b6985c-671d-4b07-98f0-7d20621eb6b4, Nodes: b2b48733-b460-4161-94e7-61a28d6bf9ca{ip: 214.31.53.121, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,789 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b8eeab91-0802-4fa9-9f05-a32b62126805, Nodes: 4e67b965-49fa-40c3-9484-3c657f424074{ip: 35.113.214.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,789 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e1d56660-3696-4440-a0af-e10d64474cd0, Nodes: bc592f49-b596-45d2-8d5f-34031c60e346{ip: 250.43.24.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,790 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cc5f7e6d-73e4-4fe5-a79b-f1c82b351559, Nodes: bc592f49-b596-45d2-8d5f-34031c60e346{ip: 250.43.24.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,790 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cce25293-5514-4c75-8fc0-56c51c81bb52, Nodes: b2b48733-b460-4161-94e7-61a28d6bf9ca{ip: 214.31.53.121, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,791 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7b380e8a-4b57-412a-8ddc-9a10faba9c13, Nodes: 5dc6014e-7f3f-406f-8cd7-ab392aaf28cc{ip: 100.111.198.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,791 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e1adf55f-4805-4b8a-a90c-33765d5f1c18, Nodes: 450c62e6-d962-4444-b748-c382a6f99bb3{ip: 97.123.225.124, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
