2019-06-17 11:50:09,788 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 11:50:09,949 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 11:50:09,950 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 11:50:10,271 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7e330b96-87ea-4755-b174-69769c85ecfe, Nodes: e0e9b685-7908-42d5-bc89-f2b7ad5ad55d{ip: 98.237.191.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,271 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c824ce71-25c2-4e6f-92ca-e316c1f32f1d, Nodes: 09a0c046-ab11-4dda-a730-196fff98a759{ip: 28.147.105.14, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,272 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5a03ec60-fd73-4ae1-b2b1-34dc3c689d8b, Nodes: e0e9b685-7908-42d5-bc89-f2b7ad5ad55d{ip: 98.237.191.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,272 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9baedda3-eb47-49b7-b357-42a256951781, Nodes: 2d0a5fea-ea22-49cf-89dc-8aa7bccb20f5{ip: 52.237.78.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,273 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d2fe3c64-d1f1-4004-af4b-61e4c85d6e01, Nodes: 0a7d0cd3-06ed-4f9c-babe-e9f76734b062{ip: 137.55.144.67, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,273 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d7377aa4-09a7-4097-ae7e-7ad33fe37b05, Nodes: 9b39e15d-7926-494b-a77a-bbca35138d8f{ip: 208.101.68.62, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,274 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d611c36a-ed20-4213-904a-dffac79aa9b1, Nodes: e0e9b685-7908-42d5-bc89-f2b7ad5ad55d{ip: 98.237.191.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,275 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 84d3f321-fa98-491f-a5ab-882ad6ca6246, Nodes: 0a7d0cd3-06ed-4f9c-babe-e9f76734b062{ip: 137.55.144.67, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,275 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d6f059e6-91e2-4e7c-b5d0-4d566a1c3bca, Nodes: e0e9b685-7908-42d5-bc89-f2b7ad5ad55d{ip: 98.237.191.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,275 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3bce7d43-caa6-43a1-97b2-d0def2217bd4, Nodes: 23bde844-7052-40fa-9020-f3cb97d2b887{ip: 90.29.173.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,276 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ffd36a9a-225b-4ffe-b166-11b6ed77396f, Nodes: db956d7f-78a6-4f0c-abea-f470d7d8db43{ip: 31.38.241.44, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,276 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0d09645b-90c4-4663-99c7-b97a9e72af6e, Nodes: e0e9b685-7908-42d5-bc89-f2b7ad5ad55d{ip: 98.237.191.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,277 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a4948c0c-69fc-48c4-a568-3fd879ad2a61, Nodes: 9953e32f-ac54-4f26-9516-9066d1626429{ip: 248.239.185.160, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,277 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e08f043f-fba1-40f8-8cf9-8d71eda7581a, Nodes: 0a7d0cd3-06ed-4f9c-babe-e9f76734b062{ip: 137.55.144.67, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,278 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d14aac77-b460-4d1c-9120-0171c5cfa6d3, Nodes: 9953e32f-ac54-4f26-9516-9066d1626429{ip: 248.239.185.160, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,278 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7c0383ed-0b3e-4c16-9db8-0d90207a14bd, Nodes: 9b39e15d-7926-494b-a77a-bbca35138d8f{ip: 208.101.68.62, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,279 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a3e114a1-404b-4bbc-843c-23208be31f4e, Nodes: 2d0a5fea-ea22-49cf-89dc-8aa7bccb20f5{ip: 52.237.78.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,279 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8542c6ce-459b-49e3-b86f-0db2ef6124fa, Nodes: 0a7d0cd3-06ed-4f9c-babe-e9f76734b062{ip: 137.55.144.67, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,281 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0a0ccd21-b00c-4f43-b1fc-8ccf38c77f49, Nodes: 9b39e15d-7926-494b-a77a-bbca35138d8f{ip: 208.101.68.62, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,282 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b69c982c-fd34-4f95-aa7c-55dd1381e580, Nodes: 9953e32f-ac54-4f26-9516-9066d1626429{ip: 248.239.185.160, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
