2019-06-15 10:24:33,887 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7732b2f6-2ddb-4c49-9a0d-3c0257907dd7, Nodes: f4df90ce-8071-458e-b08c-bb2354f711fa{ip: 63.44.11.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,888 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 87b00c25-fc8c-4b25-9588-8dddf3f8957e, Nodes: f4df90ce-8071-458e-b08c-bb2354f711fa{ip: 63.44.11.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,889 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 13b7a9b6-d0d2-440a-bbb1-fc2bf4d1e7c4, Nodes: 66aae252-9d63-4ca9-9a44-ffe103a38fb2{ip: 253.229.105.113, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,889 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 02466f25-0753-42c0-9f54-a5c6585a7ab8, Nodes: 66aae252-9d63-4ca9-9a44-ffe103a38fb2{ip: 253.229.105.113, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,890 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b42acf1e-276a-4be0-9426-bb7d62e31cfa, Nodes: 58c9d224-727f-4da7-9508-24aef449c67e{ip: 244.13.159.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,891 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f582717e-8a85-4900-add5-0cbc37f33c83, Nodes: 66aae252-9d63-4ca9-9a44-ffe103a38fb2{ip: 253.229.105.113, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,892 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 51bd5ad4-8dba-4902-b66b-300dacb5d005, Nodes: ae428adf-17fd-4575-8877-bc5586de57eb{ip: 22.221.187.74, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,892 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f0522fe0-f7fb-4930-85da-4637e2419e14, Nodes: 66aae252-9d63-4ca9-9a44-ffe103a38fb2{ip: 253.229.105.113, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,893 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5f64ce23-9bd8-4015-b580-f91eb6acc564, Nodes: a8f9d12b-6fb8-4a30-bde0-10870b3c7c63{ip: 193.239.46.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,894 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2d28ca23-5948-44ae-9178-6a89ff5e3e96, Nodes: c24b3278-1624-49f8-8c2d-8f8cc5e944c3{ip: 210.75.191.53, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,894 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cdc8c3b9-ad87-4cdc-828d-a0c5849df8a9, Nodes: 66aae252-9d63-4ca9-9a44-ffe103a38fb2{ip: 253.229.105.113, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,895 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1ec1c9de-67e5-4135-a9c6-966a275cf789, Nodes: 5e8c2d22-47e9-4d5d-b1ce-88bb9c6f5c6e{ip: 151.130.216.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,896 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 802757e6-580e-4044-8c75-14c62cfb1a68, Nodes: 5e8c2d22-47e9-4d5d-b1ce-88bb9c6f5c6e{ip: 151.130.216.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,896 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4c3e3060-daed-4944-bd7d-e58b4f4f0e2e, Nodes: c24b3278-1624-49f8-8c2d-8f8cc5e944c3{ip: 210.75.191.53, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,897 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 00cc65d5-8e98-474e-ad64-dc8edd1f149d, Nodes: c24b3278-1624-49f8-8c2d-8f8cc5e944c3{ip: 210.75.191.53, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,898 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: eab0da91-950f-4693-b601-f1d917adda59, Nodes: c24b3278-1624-49f8-8c2d-8f8cc5e944c3{ip: 210.75.191.53, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,898 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2b062462-2874-495b-a185-92ef38e50616, Nodes: f4df90ce-8071-458e-b08c-bb2354f711fa{ip: 63.44.11.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,899 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: de9fbbac-5a15-4f26-a60b-988d3446cc29, Nodes: f4df90ce-8071-458e-b08c-bb2354f711fa{ip: 63.44.11.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,900 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6aef049b-aa86-47d8-bf11-ebfa6fcca5c4, Nodes: 66aae252-9d63-4ca9-9a44-ffe103a38fb2{ip: 253.229.105.113, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,900 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b1e55aa0-83f9-4622-8523-7a02615464b6, Nodes: 66aae252-9d63-4ca9-9a44-ffe103a38fb2{ip: 253.229.105.113, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,901 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 23c38a84-f93b-4bb1-b310-7e7f90527f81, Nodes: f4df90ce-8071-458e-b08c-bb2354f711fa{ip: 63.44.11.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,902 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8937f54b-8dfa-4061-b4f9-f578cd2bb438, Nodes: 5e8c2d22-47e9-4d5d-b1ce-88bb9c6f5c6e{ip: 151.130.216.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,902 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cb6d17f1-c239-4184-946f-cf3792362f6e, Nodes: 5e8c2d22-47e9-4d5d-b1ce-88bb9c6f5c6e{ip: 151.130.216.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,903 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b1f75e4a-1847-4b77-bc17-a876a778509e, Nodes: 58c9d224-727f-4da7-9508-24aef449c67e{ip: 244.13.159.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,904 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d301d4ac-14eb-443b-a99a-55db67d005d6, Nodes: c24b3278-1624-49f8-8c2d-8f8cc5e944c3{ip: 210.75.191.53, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,904 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 629e0a5e-1e50-4268-9d7a-2e3654d9956b, Nodes: 3ee7042a-47bf-41ad-97d5-1618592f8ede{ip: 36.134.124.15, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,905 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3ab08800-88f3-4795-9c45-134f59c60f5e, Nodes: a8f9d12b-6fb8-4a30-bde0-10870b3c7c63{ip: 193.239.46.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,905 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0b6eb72d-c419-4dd2-a07f-d54898c6bd1d, Nodes: 58c9d224-727f-4da7-9508-24aef449c67e{ip: 244.13.159.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,906 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d086d8a9-26c4-48cc-b6a6-1a5e0b9b148b, Nodes: ae428adf-17fd-4575-8877-bc5586de57eb{ip: 22.221.187.74, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,907 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c096c998-ffda-4c6f-b470-a71c1b35426a, Nodes: ae428adf-17fd-4575-8877-bc5586de57eb{ip: 22.221.187.74, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,907 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7d71b164-b13a-4eec-9926-6f244239fa5a, Nodes: a8f9d12b-6fb8-4a30-bde0-10870b3c7c63{ip: 193.239.46.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,908 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fa6c8a7c-d0c4-412c-9ef5-b6ee7492ce19, Nodes: 58c9d224-727f-4da7-9508-24aef449c67e{ip: 244.13.159.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,909 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f3f44db5-769b-4fd8-ab43-c478a7b89620, Nodes: 58c9d224-727f-4da7-9508-24aef449c67e{ip: 244.13.159.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,911 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a5ca64d5-aada-4387-8bae-e158c06f84ce, Nodes: 66aae252-9d63-4ca9-9a44-ffe103a38fb2{ip: 253.229.105.113, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
