2019-06-18 07:22:19,867 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 07:22:20,403 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 914c43b5-9916-4c09-9717-e9470911af9a, Nodes: c8d4c769-a472-421a-8bae-904d81fa4418{ip: 245.93.43.140, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,403 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 10da8633-23e0-4ec9-b8b4-5af1c8bfb1c2, Nodes: 8246c55e-7a26-44e3-91e4-091c538fa21b{ip: 229.48.95.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,404 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 26c746ae-f184-4c31-b1cc-1c5dc3a2cc01, Nodes: 0031e9e6-91fd-4ce8-8a31-d75d40926688{ip: 135.61.207.153, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,405 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6daaa33d-e2b5-4f87-9ecd-f2d89802dc84, Nodes: c8d4c769-a472-421a-8bae-904d81fa4418{ip: 245.93.43.140, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,406 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a6fbae35-d881-4205-b4a7-f68cb9d5d5c1, Nodes: 0031e9e6-91fd-4ce8-8a31-d75d40926688{ip: 135.61.207.153, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,406 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c03ff1f9-725e-4bd7-85fe-5c1878c0848a, Nodes: 8c0e7d3a-da83-4562-8235-c61002f4bf0e{ip: 221.108.56.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,407 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3e401a45-aabb-4cff-a82c-27564b90e00a, Nodes: 097d8eeb-06ec-47bf-b779-b780f164d743{ip: 248.62.189.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,408 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 627bdabd-2eb5-4288-93d2-fceff5faf8f0, Nodes: 8246c55e-7a26-44e3-91e4-091c538fa21b{ip: 229.48.95.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,409 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d4013993-1838-4af3-8755-60db64cc6332, Nodes: 8c0e7d3a-da83-4562-8235-c61002f4bf0e{ip: 221.108.56.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,409 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8728dad5-e700-41ba-b67c-89aaf8cd55fa, Nodes: 8246c55e-7a26-44e3-91e4-091c538fa21b{ip: 229.48.95.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,410 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 44545076-639d-43d1-be21-6671b0537b45, Nodes: c8d4c769-a472-421a-8bae-904d81fa4418{ip: 245.93.43.140, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,411 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2000ab81-18e4-49c4-b02b-eb79a1319dfd, Nodes: 8c0e7d3a-da83-4562-8235-c61002f4bf0e{ip: 221.108.56.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,411 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b136ff9a-2488-47d3-9821-713411b46934, Nodes: 8c0e7d3a-da83-4562-8235-c61002f4bf0e{ip: 221.108.56.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,412 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 966f2dc2-f186-4b3f-8069-fa816e054fea, Nodes: 097d8eeb-06ec-47bf-b779-b780f164d743{ip: 248.62.189.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,413 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 01d445af-c143-4b43-afe7-43db0134780b, Nodes: 0031e9e6-91fd-4ce8-8a31-d75d40926688{ip: 135.61.207.153, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,414 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2f405bf9-b5b6-4563-bbe9-d9a693a6902e, Nodes: 1c47532f-c782-4894-889f-bba721eeaa39{ip: 86.9.208.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,415 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c06303bf-2fbe-47fb-bcbd-32cc0370bd5a, Nodes: 39d14ef8-6927-46b7-9f10-60b4f73ea3cb{ip: 198.25.6.105, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,416 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1dcc2cb4-b023-4311-be0a-92b81cbba742, Nodes: 097d8eeb-06ec-47bf-b779-b780f164d743{ip: 248.62.189.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,416 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3661277a-3bb5-455a-b003-19fd6ddb4f67, Nodes: 097d8eeb-06ec-47bf-b779-b780f164d743{ip: 248.62.189.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,417 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2cc76ddf-f0e2-4ada-9164-047db08af30a, Nodes: 097d8eeb-06ec-47bf-b779-b780f164d743{ip: 248.62.189.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,418 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4a07a89b-2907-4221-ac50-02c7eb8e0fe6, Nodes: 1c47532f-c782-4894-889f-bba721eeaa39{ip: 86.9.208.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,419 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9a588278-6782-4ed3-b001-ff3c20ededdf, Nodes: 8c0e7d3a-da83-4562-8235-c61002f4bf0e{ip: 221.108.56.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,419 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 62929c0a-7be8-4fc0-9fc7-84b634d87988, Nodes: 097d8eeb-06ec-47bf-b779-b780f164d743{ip: 248.62.189.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,420 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 748c33fc-01ab-49ce-aed5-529687dbf085, Nodes: 39d14ef8-6927-46b7-9f10-60b4f73ea3cb{ip: 198.25.6.105, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,421 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bf1287ef-aab3-4e1b-a72d-314424f73cf5, Nodes: 53a34aff-a174-4e70-9ace-29c906b5503f{ip: 15.133.212.44, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,422 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a17ea682-3b02-4ab3-ba0b-0ab838e8ce93, Nodes: c8d4c769-a472-421a-8bae-904d81fa4418{ip: 245.93.43.140, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,424 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 088fc8cf-9fa0-423e-b882-2f5d366591f3, Nodes: 39d14ef8-6927-46b7-9f10-60b4f73ea3cb{ip: 198.25.6.105, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,425 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f2c46f04-9dc9-43a0-9d28-6b0f4e5c82f2, Nodes: 8246c55e-7a26-44e3-91e4-091c538fa21b{ip: 229.48.95.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
