2019-06-17 04:27:12,986 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 14a2bd44-4bbc-4c99-b2ee-062226b65230, Nodes: ffb32c31-8a07-4e47-8a9d-e254744cf5aa{ip: 151.77.145.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,986 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a8fabecd-9fcb-4ee3-b7f6-8d6b418840a9, Nodes: 860e7995-6ec8-4e98-902d-ba752529b1a7{ip: 49.129.150.60, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,987 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b9cf353b-aaf0-40c0-aed2-04549b90a1c6, Nodes: b70fbe8d-89c4-4a07-82e1-6b0a9bd11149{ip: 251.185.180.166, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,988 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e20bcf11-2233-4c7d-b688-c48b09551018, Nodes: 8245915c-9ef8-4f67-9c4d-58f02b0020d5{ip: 2.13.174.119, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,988 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 225d3c8d-bb2f-45a3-a0df-51de9f231a16, Nodes: c099b116-3d23-4e72-8b1a-df04c8ba0380{ip: 235.17.244.130, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,989 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 98269aa8-3131-4196-8ac9-04f80101eb7c, Nodes: 8245915c-9ef8-4f67-9c4d-58f02b0020d5{ip: 2.13.174.119, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,989 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 63d093c6-a32f-454b-88a2-ece0ffcd7777, Nodes: b70fbe8d-89c4-4a07-82e1-6b0a9bd11149{ip: 251.185.180.166, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,990 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 789e2579-ddba-4e14-8397-719b2930e70b, Nodes: daeb296a-1d66-4a60-b3f2-45fa32430371{ip: 252.254.252.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,991 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2b13681d-d2b0-4f79-ad84-66456f254c83, Nodes: 8245915c-9ef8-4f67-9c4d-58f02b0020d5{ip: 2.13.174.119, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,991 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9b701da7-696a-4225-b2ce-c20500c03613, Nodes: 8245915c-9ef8-4f67-9c4d-58f02b0020d5{ip: 2.13.174.119, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,992 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aa3aa463-b666-45dc-a74b-db7868319899, Nodes: b70fbe8d-89c4-4a07-82e1-6b0a9bd11149{ip: 251.185.180.166, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,993 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0201aab3-3d9c-4dbb-b867-405a0550529b, Nodes: 644ac647-cca9-4605-ba53-daa8a12fdf2e{ip: 233.200.113.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,993 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cc8afd6e-798f-4cb6-940a-9ecc6e156d40, Nodes: ffb32c31-8a07-4e47-8a9d-e254744cf5aa{ip: 151.77.145.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,994 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cb30479e-43ec-4927-bdc2-16728d683142, Nodes: b70fbe8d-89c4-4a07-82e1-6b0a9bd11149{ip: 251.185.180.166, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,995 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 560f747e-2aa6-4c73-a2e5-07d49e9826a4, Nodes: b70fbe8d-89c4-4a07-82e1-6b0a9bd11149{ip: 251.185.180.166, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,995 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b0d228ee-2f00-492e-91cd-d5e36a901ab0, Nodes: c099b116-3d23-4e72-8b1a-df04c8ba0380{ip: 235.17.244.130, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,996 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1265e778-3da5-455c-af49-3e4dc54f3395, Nodes: d37c39d1-587f-4cce-8322-03d9c86174a4{ip: 79.190.134.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,997 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7bd87feb-5204-4e83-ac15-ea7084f7dfde, Nodes: b70fbe8d-89c4-4a07-82e1-6b0a9bd11149{ip: 251.185.180.166, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,997 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 366bf215-f6dd-48bb-b0d1-0b07fd131d88, Nodes: c099b116-3d23-4e72-8b1a-df04c8ba0380{ip: 235.17.244.130, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,998 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c08d4b6c-6f27-4341-b2b9-5a8cbee9d90e, Nodes: d37c39d1-587f-4cce-8322-03d9c86174a4{ip: 79.190.134.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,998 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e2260e60-bc30-4b13-9fc4-ab780d0e6efe, Nodes: daeb296a-1d66-4a60-b3f2-45fa32430371{ip: 252.254.252.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,999 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 58a55db5-ab1b-4263-8cab-260bd3eb8285, Nodes: 644ac647-cca9-4605-ba53-daa8a12fdf2e{ip: 233.200.113.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:13,000 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c986ef15-91d7-4fd0-9771-8b25e93f3a2e, Nodes: b70fbe8d-89c4-4a07-82e1-6b0a9bd11149{ip: 251.185.180.166, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:13,001 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 59170446-d904-47c3-a654-0a6451b727cf, Nodes: 860e7995-6ec8-4e98-902d-ba752529b1a7{ip: 49.129.150.60, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
