2019-06-17 14:54:34,533 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:54:34,772 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 14:54:34,773 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:54:35,239 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f22585da-dc37-4a7d-b897-a7c9d9158dce, Nodes: 30a93007-b423-4ed9-9670-ef9f5a15e77f{ip: 248.107.192.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,239 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b7507581-224e-4b4b-953a-1f53e8c6ddfa, Nodes: b0cc9993-eab1-490d-b5a6-febb60c61939{ip: 229.124.145.85, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,240 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 600d59d3-36c9-4e94-8755-f2591156b4ed, Nodes: 32f66e0e-5da4-42a5-afef-ad26808c4575{ip: 233.131.135.238, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,241 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9693dbfb-d948-47e9-859a-cacb88a997c8, Nodes: 67303f6c-fc7c-4cc6-92f4-0bcf501284ce{ip: 12.34.147.123, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,242 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cc56aff4-11cf-405e-a355-2c6358549431, Nodes: 67303f6c-fc7c-4cc6-92f4-0bcf501284ce{ip: 12.34.147.123, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,242 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1c11088f-4d43-4c2b-9d94-dd9866797bb9, Nodes: b0cc9993-eab1-490d-b5a6-febb60c61939{ip: 229.124.145.85, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,243 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f3b949dc-e247-4078-8b31-292cf9fe77e6, Nodes: 30a93007-b423-4ed9-9670-ef9f5a15e77f{ip: 248.107.192.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,244 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: acb3291b-d6d7-453d-8f7d-0f56353668f9, Nodes: bcc5c36e-cd42-4502-a04c-7368fd08e359{ip: 58.60.82.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,244 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e46c7e3b-6f6c-42fd-94ec-d41c25d94360, Nodes: bcc5c36e-cd42-4502-a04c-7368fd08e359{ip: 58.60.82.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,245 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8cfb8615-df0c-4e6c-96af-c520f5f1b769, Nodes: 67303f6c-fc7c-4cc6-92f4-0bcf501284ce{ip: 12.34.147.123, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,246 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9eb10bff-7828-4531-b492-5972ac381543, Nodes: 5b0ab174-36b6-4c68-be67-a67aba31d85a{ip: 136.122.166.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,247 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5e0aa4dc-90cc-4b24-afde-8823b9c8bc83, Nodes: 32f66e0e-5da4-42a5-afef-ad26808c4575{ip: 233.131.135.238, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
