2019-06-18 04:30:55,800 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 04:30:56,364 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1a0f5bad-a97b-46b1-a56d-a26827a59b75, Nodes: 4ea2b856-b382-4363-adcd-124941efb202{ip: 192.219.172.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,365 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 761e62cf-cd3d-4f9d-a527-e57738d0fceb, Nodes: edcb4816-5a40-4e25-9ad3-85707a855e5b{ip: 177.200.38.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,366 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 19fe97cc-5e6b-48b1-970d-ee20ef907f4b, Nodes: bb196f80-0aea-4965-af86-3f173cf6c84b{ip: 225.232.90.168, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,366 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 16742a29-66ea-49e6-bbb1-39d799eb9d58, Nodes: 4ea2b856-b382-4363-adcd-124941efb202{ip: 192.219.172.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,367 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ab4a8061-cb77-4af6-ab19-6989cfe32056, Nodes: bdd317e3-19e2-41c9-8089-6ba5d8f533e3{ip: 163.23.28.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,368 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a8ffe54b-e1fa-4b9b-95a4-b0480edfbe42, Nodes: a7862b11-0f51-4f55-9fdc-3aa02a7d9c90{ip: 29.98.81.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,368 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 35567040-ee04-43fc-92ab-a7d4a6003863, Nodes: edcb4816-5a40-4e25-9ad3-85707a855e5b{ip: 177.200.38.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,369 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9660691b-ec13-4422-99df-4aac40baf895, Nodes: 5bc46636-6622-4820-8044-2409967b0aa3{ip: 101.84.118.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,369 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 83884d53-4a83-4614-8e35-e92ebf2822d5, Nodes: bb196f80-0aea-4965-af86-3f173cf6c84b{ip: 225.232.90.168, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,370 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bf550138-1d48-4ec9-b55c-f548f7e68e86, Nodes: c489f549-1a5c-428c-b7c1-3f05617d54b4{ip: 114.114.164.53, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
