2019-06-17 10:34:31,724 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 10:34:31,899 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 10:34:31,900 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 10:34:32,237 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d0798a7a-b3b7-496b-b7ec-f825c81d3dfd, Nodes: 00624e39-eb16-411b-8f91-25a76f41e324{ip: 82.170.235.249, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,237 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f4942dac-02e3-45c3-954b-a2e289a9786d, Nodes: 709d7fed-0676-47fb-b3ae-4e19090c2267{ip: 55.236.238.153, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,238 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8098790a-d427-47a5-86c8-472135fa985e, Nodes: 709d7fed-0676-47fb-b3ae-4e19090c2267{ip: 55.236.238.153, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,239 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2119ef65-3e1a-47b4-965b-f6bb60fe4c97, Nodes: 00624e39-eb16-411b-8f91-25a76f41e324{ip: 82.170.235.249, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,239 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d737493c-f7d9-40cd-b947-69f91eac1357, Nodes: d622d2ea-8502-4e42-8db7-79d34a723bff{ip: 83.187.92.186, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,240 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 87c0db12-74ba-4ca1-8dfe-f3f5cffe5f7a, Nodes: 83a28012-0d69-4e91-89a3-d7440f1fb3f7{ip: 253.104.79.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,241 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dbccba32-4cf0-4f12-b7b4-017ff0683d15, Nodes: 00624e39-eb16-411b-8f91-25a76f41e324{ip: 82.170.235.249, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,241 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b2538d78-2ca5-4041-8704-2d3392d249ef, Nodes: 4b7df9a1-12a7-4700-84bc-ea39f5770a5d{ip: 254.246.125.223, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,242 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2aa962f9-16ee-4794-a1a5-55d0cc6940a4, Nodes: 4b7df9a1-12a7-4700-84bc-ea39f5770a5d{ip: 254.246.125.223, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,242 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 49e50393-1c63-4529-97df-e5502ced77be, Nodes: edefcaee-88a4-4010-9bf4-3a12964d31d2{ip: 163.125.128.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,243 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 46fa3c11-189e-43d2-a707-d6bc26b872a8, Nodes: 4b7df9a1-12a7-4700-84bc-ea39f5770a5d{ip: 254.246.125.223, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,243 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: efd591c3-bb5e-41e4-b23e-fa8f45d57a10, Nodes: d565af49-559b-4c81-85c7-7bdc199e3bae{ip: 182.26.153.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,244 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fbd88d0b-0c7c-48c4-b0ee-15aad10c53f2, Nodes: 83a28012-0d69-4e91-89a3-d7440f1fb3f7{ip: 253.104.79.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,245 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 435f4190-0ca1-4e1f-a80c-66725d08cc0d, Nodes: edefcaee-88a4-4010-9bf4-3a12964d31d2{ip: 163.125.128.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,246 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7b7387c9-afd8-4e22-bb2f-4b9cb91bcd12, Nodes: cd3afdfd-b244-4aaa-81f0-0e8ed5aa2766{ip: 15.25.106.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,246 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 16636046-f599-4759-80f1-e23c46611bf2, Nodes: edefcaee-88a4-4010-9bf4-3a12964d31d2{ip: 163.125.128.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,247 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9ff3d742-ee32-46fb-8da7-1deb3d8c9643, Nodes: 83a28012-0d69-4e91-89a3-d7440f1fb3f7{ip: 253.104.79.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,247 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d111f228-b533-4346-9aab-6793c6cb4c38, Nodes: edefcaee-88a4-4010-9bf4-3a12964d31d2{ip: 163.125.128.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,248 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: beec1042-e62a-479d-a3a4-30de98785462, Nodes: 00624e39-eb16-411b-8f91-25a76f41e324{ip: 82.170.235.249, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,248 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4148e479-cb78-401a-a2cc-67d9ec00bdcc, Nodes: d622d2ea-8502-4e42-8db7-79d34a723bff{ip: 83.187.92.186, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,249 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f98f8533-c2c9-40ac-8941-1e077d335dbf, Nodes: 709d7fed-0676-47fb-b3ae-4e19090c2267{ip: 55.236.238.153, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,250 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2dbef3f8-5f9f-4d0d-96f2-84adbb8a7af4, Nodes: 83a28012-0d69-4e91-89a3-d7440f1fb3f7{ip: 253.104.79.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,250 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 283aeda8-f02c-47bb-838f-355032c06efb, Nodes: 4b7df9a1-12a7-4700-84bc-ea39f5770a5d{ip: 254.246.125.223, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,251 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 577350df-014b-449f-99bf-83c4e2df3efe, Nodes: edefcaee-88a4-4010-9bf4-3a12964d31d2{ip: 163.125.128.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,252 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e7ee384a-908a-43cb-bf5c-937d5dd45543, Nodes: edefcaee-88a4-4010-9bf4-3a12964d31d2{ip: 163.125.128.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,254 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 35bd6e67-005d-4929-b7af-8a40b111adf1, Nodes: 709d7fed-0676-47fb-b3ae-4e19090c2267{ip: 55.236.238.153, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
