2019-06-17 08:55:44,973 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 08:55:45,490 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2c27d339-f7c2-4b84-94cd-0ac1b7012f36, Nodes: a51d5196-ed12-4ff4-8896-a9fe5a0bb653{ip: 83.190.63.220, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,491 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 440047de-9432-4856-8872-735abab2d377, Nodes: 6ee85f51-7bdc-4c44-9e5a-db73f0760ade{ip: 181.219.176.173, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,491 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3a9e276a-884b-40e7-bee6-9640bdc24d56, Nodes: c05e3d72-c511-4b48-b522-93ac7368c7f5{ip: 223.127.75.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,492 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a9011689-eee1-42b9-91ab-7afa60b41e07, Nodes: a50f0434-ee10-4d25-a359-82b83a9452ea{ip: 86.236.30.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,492 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c7a555aa-38a7-4c64-8053-772edb01a596, Nodes: c05e3d72-c511-4b48-b522-93ac7368c7f5{ip: 223.127.75.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,493 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: efb39891-9319-4bbb-827a-271ec59c358a, Nodes: a51d5196-ed12-4ff4-8896-a9fe5a0bb653{ip: 83.190.63.220, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,493 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9334e700-351f-4f51-b3cd-540519d238b4, Nodes: dd7c3732-6ec9-4bbe-abf0-c12b9c60602e{ip: 161.114.6.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,494 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8a36ca22-1cd1-4dd8-b1cc-bf04cdfb8ff6, Nodes: a50f0434-ee10-4d25-a359-82b83a9452ea{ip: 86.236.30.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,494 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ce8c3045-b602-4a08-a729-47c31ef0f495, Nodes: a50f0434-ee10-4d25-a359-82b83a9452ea{ip: 86.236.30.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,495 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e94246cb-b24f-4d94-a412-0d96e2498eb3, Nodes: 6ee85f51-7bdc-4c44-9e5a-db73f0760ade{ip: 181.219.176.173, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
