2019-06-17 18:54:04,822 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 18:54:04,995 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 18:54:04,996 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 18:54:05,309 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 80b430e5-beac-43cb-88a5-e3a2439a639a, Nodes: 9660c9ff-65aa-46e4-9729-d9dca894bb98{ip: 36.125.75.204, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,310 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2111926f-3705-4619-9959-36d922efd165, Nodes: 41294248-11aa-403b-ba7d-083cdd4aecfa{ip: 46.124.252.227, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,310 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3287ff47-102b-40aa-8ba8-16983579b493, Nodes: 5f452cec-69be-491f-b629-a37ca6847808{ip: 219.161.69.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,311 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d81d9c76-0616-4836-af91-aa8e4960aafa, Nodes: 0157829a-5f77-418f-8e1f-a34fe9f30b11{ip: 243.105.77.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,311 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 18e531cc-c675-45a3-a3d0-83de43936aa1, Nodes: 0aa7898f-c0d6-42a7-9feb-fa93300084f8{ip: 28.74.150.168, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,311 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 59edb196-8c8a-43f1-98fe-4828ed0185b4, Nodes: 0157829a-5f77-418f-8e1f-a34fe9f30b11{ip: 243.105.77.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,312 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 98a34cf7-40d3-47b4-b0e9-11f237c9232b, Nodes: 9660c9ff-65aa-46e4-9729-d9dca894bb98{ip: 36.125.75.204, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,312 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c951f949-90aa-46ec-bb4a-cda4d5f027cc, Nodes: 0157829a-5f77-418f-8e1f-a34fe9f30b11{ip: 243.105.77.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,313 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d71726ac-22cf-4f80-b4da-9b7f15f497e6, Nodes: 0157829a-5f77-418f-8e1f-a34fe9f30b11{ip: 243.105.77.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,313 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b0d1db3c-4316-4778-851e-d53f1f423c95, Nodes: 41294248-11aa-403b-ba7d-083cdd4aecfa{ip: 46.124.252.227, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,314 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7c104b8f-8711-4731-8171-a4435ad61b1e, Nodes: 0875889d-ea15-4fcf-901f-045115f7f3f4{ip: 169.206.111.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,314 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 60eb0f7f-c4c4-4a7e-828f-db369db7135d, Nodes: 5f452cec-69be-491f-b629-a37ca6847808{ip: 219.161.69.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,315 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b2b07ea6-ee2b-499a-b370-43086437c00b, Nodes: 9660c9ff-65aa-46e4-9729-d9dca894bb98{ip: 36.125.75.204, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,315 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: be1f4a7e-c222-4050-868f-8f1cf4f631d4, Nodes: 5f452cec-69be-491f-b629-a37ca6847808{ip: 219.161.69.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,316 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 85779d88-14d6-4595-aeb7-ee531ba3e85a, Nodes: 0157829a-5f77-418f-8e1f-a34fe9f30b11{ip: 243.105.77.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,316 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 68fb991f-81eb-4921-978c-5194c8f117aa, Nodes: 0aa7898f-c0d6-42a7-9feb-fa93300084f8{ip: 28.74.150.168, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,317 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 80a5c607-4aa3-4d0e-b4f4-5da015336a4a, Nodes: 0aa7898f-c0d6-42a7-9feb-fa93300084f8{ip: 28.74.150.168, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,317 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 01fe08e3-6328-4e3b-b83f-b96073dee5c6, Nodes: 41294248-11aa-403b-ba7d-083cdd4aecfa{ip: 46.124.252.227, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,318 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8f60123e-47ad-414d-9b2f-070e9576d90e, Nodes: 5f452cec-69be-491f-b629-a37ca6847808{ip: 219.161.69.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,318 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a88e7209-9a44-4c09-b5b6-69bdaf33540d, Nodes: 41294248-11aa-403b-ba7d-083cdd4aecfa{ip: 46.124.252.227, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,318 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d98fd625-880a-4ca3-beaf-8afc3921d72e, Nodes: 5f452cec-69be-491f-b629-a37ca6847808{ip: 219.161.69.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,319 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 39644624-dfbb-4ba6-b1ca-c10c6bdc5838, Nodes: 9660c9ff-65aa-46e4-9729-d9dca894bb98{ip: 36.125.75.204, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,319 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 08e0fa8f-5c51-493c-9eb2-587f22d54bdd, Nodes: 5f452cec-69be-491f-b629-a37ca6847808{ip: 219.161.69.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,320 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ce5874ac-17cb-4411-a543-909af784809b, Nodes: e593daae-ee41-47dd-9ab0-36e2cb6651c5{ip: 142.49.205.50, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,320 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c13667b9-7b24-4154-acc7-0f4c2b573716, Nodes: 0aa7898f-c0d6-42a7-9feb-fa93300084f8{ip: 28.74.150.168, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,321 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4afcc30f-bed6-4f1a-8f26-bcd8b5016619, Nodes: 5f452cec-69be-491f-b629-a37ca6847808{ip: 219.161.69.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,321 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5ffda76f-640a-43b9-a7bb-7b3209b92c41, Nodes: 9660c9ff-65aa-46e4-9729-d9dca894bb98{ip: 36.125.75.204, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,322 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 204dbb9e-960a-485b-85a6-a81fbe1d1e4b, Nodes: e593daae-ee41-47dd-9ab0-36e2cb6651c5{ip: 142.49.205.50, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,322 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 006ae514-6c66-4e87-a772-1927e9d082f4, Nodes: 41294248-11aa-403b-ba7d-083cdd4aecfa{ip: 46.124.252.227, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,324 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5ce7c8ba-62bc-438b-9484-c0d9057c2bcc, Nodes: 0157829a-5f77-418f-8e1f-a34fe9f30b11{ip: 243.105.77.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,324 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7ac5309a-7402-4611-a354-7eb7bea58ae2, Nodes: 5f452cec-69be-491f-b629-a37ca6847808{ip: 219.161.69.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
