2019-06-18 08:56:34,928 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 08:56:35,483 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bb186883-2942-4f46-be9d-2f2fe2a073e7, Nodes: 20f0b767-6ecf-4e40-9d52-2b17156b0019{ip: 39.30.147.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,484 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c68c3c86-bd84-4ec7-b6a4-5f8d66fe12d2, Nodes: 41ac6248-8c1b-4057-ba74-23fed4b2f82e{ip: 88.68.14.5, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,485 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 29084387-f4a5-4f6d-bd98-2a1d2e98fa51, Nodes: 69024bfc-e3ed-4dfa-9c24-0c0ee1fc26a0{ip: 33.98.206.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,485 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 859c48fe-3bbd-45cc-8e29-ed075fba0b01, Nodes: 503a7fd2-83e5-42a6-bf66-1eafeeeddc1d{ip: 248.68.59.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,486 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 93a731c7-e47f-4fb9-9642-64593d05ab93, Nodes: 461dbbaa-b2c2-4824-94a6-177e83e9db09{ip: 128.68.132.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,487 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0be7edb8-3424-4ae2-9fe4-451d00497886, Nodes: 20f0b767-6ecf-4e40-9d52-2b17156b0019{ip: 39.30.147.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,488 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: db8334d4-4153-4da4-9f8b-fa4eee31ee5c, Nodes: 20f0b767-6ecf-4e40-9d52-2b17156b0019{ip: 39.30.147.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,489 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5251e6db-713d-45fc-93e8-5a86c1ce351d, Nodes: 41ac6248-8c1b-4057-ba74-23fed4b2f82e{ip: 88.68.14.5, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,489 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1ea49cf7-54e2-4e2b-ae32-5432d0b424f3, Nodes: fe3131e2-8e0c-489e-a2e3-6fa2fc1800e5{ip: 66.132.145.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,490 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 672ba6cd-f560-42ea-ac0b-6106c9ce6f37, Nodes: 41ac6248-8c1b-4057-ba74-23fed4b2f82e{ip: 88.68.14.5, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,491 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a785eb4a-a038-4d12-a61a-2b27b19c36fe, Nodes: f2297223-4d6f-45bc-8bf0-787fed0a5439{ip: 86.68.168.119, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,491 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 22f49ea7-61de-4b9e-a660-b2fb45c23cc6, Nodes: 461dbbaa-b2c2-4824-94a6-177e83e9db09{ip: 128.68.132.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,492 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 903c33bb-5217-4c81-9b8c-69b391976345, Nodes: 20f0b767-6ecf-4e40-9d52-2b17156b0019{ip: 39.30.147.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,493 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9cd6f5b9-9923-49f0-960c-7122b3ee4d66, Nodes: 41ac6248-8c1b-4057-ba74-23fed4b2f82e{ip: 88.68.14.5, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,494 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 16a94565-306e-4c1c-be5d-e9d2e88a98f4, Nodes: f2297223-4d6f-45bc-8bf0-787fed0a5439{ip: 86.68.168.119, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,494 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3b8aaecd-9e91-4299-b8e6-59104667d80d, Nodes: 461dbbaa-b2c2-4824-94a6-177e83e9db09{ip: 128.68.132.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,495 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 33bb1171-110d-4092-8050-6e6921cd8e40, Nodes: f2297223-4d6f-45bc-8bf0-787fed0a5439{ip: 86.68.168.119, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,496 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 38afbd8c-1985-4ce7-9eec-f3bfe3d06899, Nodes: 90c1550c-bdb0-4428-aa17-0fce1ad1496b{ip: 80.193.149.28, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,497 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b68e78e2-8095-48a3-a58e-233f03aab3a7, Nodes: 90c1550c-bdb0-4428-aa17-0fce1ad1496b{ip: 80.193.149.28, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,497 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7776aa17-6805-4e37-a652-d94199372ca1, Nodes: f2297223-4d6f-45bc-8bf0-787fed0a5439{ip: 86.68.168.119, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,498 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a75792d3-2616-4822-ad50-c5e28e44eea3, Nodes: 503a7fd2-83e5-42a6-bf66-1eafeeeddc1d{ip: 248.68.59.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,499 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b0343d7c-7369-476f-af1a-4d50e461fe64, Nodes: 69024bfc-e3ed-4dfa-9c24-0c0ee1fc26a0{ip: 33.98.206.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,500 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 224b0be2-b1aa-46fc-aa7d-c1760d3a21df, Nodes: 41ac6248-8c1b-4057-ba74-23fed4b2f82e{ip: 88.68.14.5, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,500 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 48a0e40a-8106-4a52-b1bd-b3bce6b581f9, Nodes: 503a7fd2-83e5-42a6-bf66-1eafeeeddc1d{ip: 248.68.59.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,501 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 18d11542-23d4-4ad9-9ff9-e8a749c7074e, Nodes: 69024bfc-e3ed-4dfa-9c24-0c0ee1fc26a0{ip: 33.98.206.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,502 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4f112c6e-d453-4c6a-a89d-10b115c86918, Nodes: 90c1550c-bdb0-4428-aa17-0fce1ad1496b{ip: 80.193.149.28, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,503 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 869ab04f-ae5e-4be0-8ea9-fbca12b94d97, Nodes: 20f0b767-6ecf-4e40-9d52-2b17156b0019{ip: 39.30.147.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,503 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1d82acd1-5e38-4e9c-9331-0d5098dd9817, Nodes: 20f0b767-6ecf-4e40-9d52-2b17156b0019{ip: 39.30.147.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,504 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6febaec2-87a6-4769-8f06-ae64b5ebfb54, Nodes: fe3131e2-8e0c-489e-a2e3-6fa2fc1800e5{ip: 66.132.145.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,505 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b101640e-db34-4f27-a485-1b2b35fe1ce5, Nodes: fe3131e2-8e0c-489e-a2e3-6fa2fc1800e5{ip: 66.132.145.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,506 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 32a3df19-12a0-4e47-9ec9-eaac29806622, Nodes: 503a7fd2-83e5-42a6-bf66-1eafeeeddc1d{ip: 248.68.59.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
