2019-06-18 09:07:12,330 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 09:07:12,611 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-18 09:07:12,612 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 09:07:13,083 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 706dc3f7-ae39-412a-9674-734af142169f, Nodes: a6b733eb-8ba5-47cf-a680-9d495006ef31{ip: 3.130.206.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,085 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2ff8a968-68b5-4f87-9032-2e74b640befb, Nodes: 8de5f59c-74b9-47dd-a8ab-270df4501d6a{ip: 126.53.5.71, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,086 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 31beb2b3-e9ed-40fd-b12a-6ee0b3debca0, Nodes: 84de6b6f-2e11-4ff5-9522-bfd53f997a4d{ip: 107.228.113.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,087 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6ff94ea5-da0a-49e5-a763-40cef9433947, Nodes: 778d0410-6d77-4902-98c3-a3db077c25e5{ip: 128.44.162.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,088 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b0a2247d-239a-4576-a939-5f86c4d06fa8, Nodes: 9fe75db3-df70-420c-b74e-d486beed8717{ip: 253.44.179.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,090 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b5cea9a6-71b9-4903-abd1-3a50e6382d83, Nodes: dce49f3e-99d8-410f-a4af-66d6a29610e0{ip: 122.130.52.57, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,090 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9b33b96e-3ee8-4417-bd44-4a1d43db3821, Nodes: 9fe75db3-df70-420c-b74e-d486beed8717{ip: 253.44.179.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,091 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ecd05bb7-aff4-4cff-870c-6c0eb5f52235, Nodes: 84de6b6f-2e11-4ff5-9522-bfd53f997a4d{ip: 107.228.113.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,092 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 35da9789-e592-4096-827f-2b35cf19f95f, Nodes: 9fe75db3-df70-420c-b74e-d486beed8717{ip: 253.44.179.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,093 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ab8d9dba-fc9f-4f49-8614-6522ad695305, Nodes: 9fe75db3-df70-420c-b74e-d486beed8717{ip: 253.44.179.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
