2019-06-17 14:53:57,688 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:53:57,847 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 14:53:57,848 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:53:58,186 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ea5a0a18-1754-4310-8be1-7aa6554702d5, Nodes: c9e3814a-cf23-41f4-8f8b-03ae33febf77{ip: 161.117.96.202, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,187 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8d9d5f4a-5057-4f54-95db-9c94d1161ecd, Nodes: e38ae64b-6a65-4d74-8731-7bc631a06e84{ip: 156.61.88.9, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,187 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7f4baddc-8463-4baf-ad70-e7085d94e6b1, Nodes: c9e3814a-cf23-41f4-8f8b-03ae33febf77{ip: 161.117.96.202, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,188 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8930f68a-06a6-4efd-ade0-e84f8e1ebce3, Nodes: 12f48ad6-6ce4-4539-bcee-c0c680bc8aaa{ip: 8.64.223.87, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,189 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 570982c4-f0bc-4a23-8f97-b4a86a93555d, Nodes: 9cb934b7-0e35-4abd-9df4-45145c5c32db{ip: 177.167.209.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,189 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9f5d0ea5-c5e2-420e-b734-902d5cfe661a, Nodes: e38ae64b-6a65-4d74-8731-7bc631a06e84{ip: 156.61.88.9, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,189 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 63192fef-43b0-40c3-951d-c546fcccc3ec, Nodes: 12f48ad6-6ce4-4539-bcee-c0c680bc8aaa{ip: 8.64.223.87, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,190 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5b9c4cc7-66ea-4999-96d3-b79ecfe432ea, Nodes: 8b5d5afe-4486-40ff-b8fd-7d22b3cca1a5{ip: 145.118.244.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,190 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c5b78600-6a43-4aaa-9c56-e924cc6c5405, Nodes: daf0d721-efe9-4e00-b64a-0673411e1928{ip: 30.153.98.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,191 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d341a595-2ab5-4d41-83de-f1955b3b38d0, Nodes: da67bbf7-021a-4ca1-b8c2-5dbe3a1afe1c{ip: 105.3.56.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,191 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d587fe37-3805-4451-ae9d-8b784ee191cf, Nodes: f554b4a9-07dd-492f-9dba-48905d5bd16f{ip: 46.57.205.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,192 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 28f8076c-075c-4efc-acc2-e85f68c2c96b, Nodes: e38ae64b-6a65-4d74-8731-7bc631a06e84{ip: 156.61.88.9, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
