2019-06-16 20:15:53,632 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 22f7f72e-99fd-4bc7-a314-c400fda1bcbb, Nodes: 5b6a035d-e6bd-4449-b74b-bed5543a0d37{ip: 5.130.138.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,633 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 132beec3-e688-4de0-a442-a8cddabddfb1, Nodes: 8ce9ba21-d891-45b0-b040-f13a43703654{ip: 236.177.242.128, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,633 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ab29da0b-2078-45b8-be03-b2fddd5280ee, Nodes: 8ce9ba21-d891-45b0-b040-f13a43703654{ip: 236.177.242.128, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,634 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c8b77b22-b7c7-4b25-a61c-e46540952708, Nodes: 2da7ef30-f2fe-40eb-92a6-fa29edb5a9da{ip: 235.115.142.6, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,634 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 24dc2c76-1576-4143-a76b-fc717d39933b, Nodes: 7b3f9247-e88e-47f2-ad45-84719b1cd0ac{ip: 249.169.77.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,635 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3cb5d609-9f3d-4232-bb54-ce44235ae2d4, Nodes: 5b6a035d-e6bd-4449-b74b-bed5543a0d37{ip: 5.130.138.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,636 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 57b29258-e3d0-40c0-a67a-832cd4f37e45, Nodes: 259b88a1-9de1-4a79-b851-d5c78fa3f5ba{ip: 124.255.115.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,636 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 93d1d548-ff6b-4951-9496-1a71a722e34c, Nodes: 5b6a035d-e6bd-4449-b74b-bed5543a0d37{ip: 5.130.138.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,637 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 15096b2f-2121-4d78-bba4-6c051bf0e5c4, Nodes: 5b6a035d-e6bd-4449-b74b-bed5543a0d37{ip: 5.130.138.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,637 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1bdb2f0b-7bcd-4221-aa02-67536674c2b5, Nodes: 2c3ab137-2b7d-4c14-88cc-8ccce94e09dc{ip: 25.176.208.22, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,638 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f1d3605e-1a22-49de-a8f6-d2dd9ae5395b, Nodes: 7b3f9247-e88e-47f2-ad45-84719b1cd0ac{ip: 249.169.77.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,638 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0f99a7be-3368-45d7-9f24-7921c09a41d7, Nodes: 80404945-3738-438e-aff3-c898399c397d{ip: 234.88.127.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,639 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c7a4ef65-e447-4d64-8a89-6f61f73e2549, Nodes: 259b88a1-9de1-4a79-b851-d5c78fa3f5ba{ip: 124.255.115.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,640 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1ee4fcbd-fef6-4eb8-a909-cee719ec370f, Nodes: 2da7ef30-f2fe-40eb-92a6-fa29edb5a9da{ip: 235.115.142.6, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,640 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 46f1c593-9af2-4e0e-ac51-2173326e6649, Nodes: 2da7ef30-f2fe-40eb-92a6-fa29edb5a9da{ip: 235.115.142.6, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,641 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 66926151-24fe-4c7e-8f32-4fbcebd6c642, Nodes: 2da7ef30-f2fe-40eb-92a6-fa29edb5a9da{ip: 235.115.142.6, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,641 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1899581a-e887-426e-9ce7-196bfb8941d0, Nodes: ddcbb88c-b8f4-4100-95b3-79ac15bc4600{ip: 226.210.41.9, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,642 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8f729bf3-11d3-4bf6-a5ee-53e2f32be22a, Nodes: 2da7ef30-f2fe-40eb-92a6-fa29edb5a9da{ip: 235.115.142.6, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,642 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5d72da4d-b040-4ceb-9053-70037acccd21, Nodes: 80404945-3738-438e-aff3-c898399c397d{ip: 234.88.127.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
