2019-06-17 09:43:10,802 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 09:43:10,958 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 09:43:10,959 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 09:43:11,286 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 326923ee-f6d0-4724-8fdb-94fe70c97f91, Nodes: fa676437-f64a-4ee4-883f-e15a94c316e9{ip: 43.25.245.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,286 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a928aaaa-c8d1-4cc1-b5aa-05aa027f8e82, Nodes: 31f5d14d-d3ae-467f-a426-33ba284d45a2{ip: 205.138.135.198, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,287 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: da01232a-d43b-4c92-bf0d-a65d59f53d6d, Nodes: 26d8fa27-b439-4555-b4b3-02ee5c322155{ip: 236.135.86.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,288 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 161100a6-a0ed-452d-8605-bcfb6bcf8826, Nodes: 948f6501-573d-4da3-9997-1181642735ca{ip: 73.173.111.130, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,288 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: be3e45f2-48a0-46c2-9374-7b28898a443b, Nodes: 31f5d14d-d3ae-467f-a426-33ba284d45a2{ip: 205.138.135.198, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,289 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c1154fef-190d-47b4-98ab-97e3239d43a3, Nodes: 2ac9946f-addf-4ae5-99f0-65b12f45bbae{ip: 223.86.255.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,290 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 26202c0b-6622-4c76-b993-194f02d1a042, Nodes: aa55d23b-3167-48a9-b3b1-35041f70145a{ip: 184.7.39.81, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,290 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1c183b17-413a-4dd0-8a7f-412b50763fdc, Nodes: 3982294c-6925-4593-8e9f-70a8b40f4f8b{ip: 169.81.142.47, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,291 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 452531e9-aa0c-4b31-a907-3af577ebff50, Nodes: 26d8fa27-b439-4555-b4b3-02ee5c322155{ip: 236.135.86.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,291 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fe54ee60-35df-4b47-b92b-cd66fd17e8d2, Nodes: 31f5d14d-d3ae-467f-a426-33ba284d45a2{ip: 205.138.135.198, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,292 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: da464e12-d867-415f-b029-a2400cba94ec, Nodes: 3982294c-6925-4593-8e9f-70a8b40f4f8b{ip: 169.81.142.47, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,293 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 748b55a9-06dc-4401-9fca-550a1f40df05, Nodes: 26d8fa27-b439-4555-b4b3-02ee5c322155{ip: 236.135.86.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,293 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d94269b2-a53e-4395-9d8d-ee64f291550f, Nodes: 31f5d14d-d3ae-467f-a426-33ba284d45a2{ip: 205.138.135.198, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,294 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1d477589-9e06-4c19-a485-ac59b863e5ec, Nodes: 3982294c-6925-4593-8e9f-70a8b40f4f8b{ip: 169.81.142.47, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,295 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0ae1e6d5-f74e-4925-804e-589b6284de13, Nodes: 26d8fa27-b439-4555-b4b3-02ee5c322155{ip: 236.135.86.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,295 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1663af32-3703-4321-bf00-eea4b8861de4, Nodes: 3982294c-6925-4593-8e9f-70a8b40f4f8b{ip: 169.81.142.47, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,296 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ecb255f2-f393-491f-92fc-85609c619e28, Nodes: 3982294c-6925-4593-8e9f-70a8b40f4f8b{ip: 169.81.142.47, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,296 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 605e3a27-3d91-41f4-a67a-0bd4e39de1a3, Nodes: 26d8fa27-b439-4555-b4b3-02ee5c322155{ip: 236.135.86.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,297 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: abbb44a2-77a8-433f-8e7a-624e9c7c1a5e, Nodes: fa676437-f64a-4ee4-883f-e15a94c316e9{ip: 43.25.245.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,298 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 009a7bfd-96af-462b-a996-772940aa1bcb, Nodes: ea09549c-5038-4792-a3f3-be2791e82f3e{ip: 244.197.83.30, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,299 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: adf26363-13ab-4f2c-ab14-04b18f78c806, Nodes: 2ac9946f-addf-4ae5-99f0-65b12f45bbae{ip: 223.86.255.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,299 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cfd61f31-5f17-4a48-9c05-32c0af8b23f7, Nodes: aa55d23b-3167-48a9-b3b1-35041f70145a{ip: 184.7.39.81, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,300 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 72641ca6-824e-4f3c-9725-d1eaf3b8a680, Nodes: 2ac9946f-addf-4ae5-99f0-65b12f45bbae{ip: 223.86.255.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,300 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a3e79504-869c-4a69-ba58-4bdbd77d2a4e, Nodes: 31f5d14d-d3ae-467f-a426-33ba284d45a2{ip: 205.138.135.198, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,301 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c485fb4f-70b5-4a90-8491-ff8a17cb6c05, Nodes: 31f5d14d-d3ae-467f-a426-33ba284d45a2{ip: 205.138.135.198, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,302 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 607566ed-4a18-4978-b108-5b52b1d9bcb5, Nodes: 2ac9946f-addf-4ae5-99f0-65b12f45bbae{ip: 223.86.255.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,302 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fa7a7a98-c96c-4c51-9ff3-b50f3c9f093e, Nodes: 3982294c-6925-4593-8e9f-70a8b40f4f8b{ip: 169.81.142.47, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,303 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: db4356a0-a1a7-49b2-a6b3-88595b7b3cb3, Nodes: ea09549c-5038-4792-a3f3-be2791e82f3e{ip: 244.197.83.30, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,304 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f289ee91-f7ea-4550-a426-a7313fa6a398, Nodes: fa676437-f64a-4ee4-883f-e15a94c316e9{ip: 43.25.245.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,304 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9c9596f7-ecdb-487f-84cc-d4e85edae24d, Nodes: aa55d23b-3167-48a9-b3b1-35041f70145a{ip: 184.7.39.81, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,305 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d5295103-4773-493e-8e22-35ba62215db8, Nodes: 26d8fa27-b439-4555-b4b3-02ee5c322155{ip: 236.135.86.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,307 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b84013dd-1572-45bb-a782-9b1113d87da0, Nodes: 948f6501-573d-4da3-9997-1181642735ca{ip: 73.173.111.130, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,308 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1bb355bb-86eb-4612-9a7e-e8e4f82e334c, Nodes: fa676437-f64a-4ee4-883f-e15a94c316e9{ip: 43.25.245.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
