2019-06-17 00:40:46,975 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2c26fc63-7565-407a-bce3-469d651dc21c, Nodes: 62c3e553-6702-42e4-ae29-4f7015ef9d44{ip: 80.231.211.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,976 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0e931619-e91b-442d-b03f-7226a2d6e579, Nodes: 62c3e553-6702-42e4-ae29-4f7015ef9d44{ip: 80.231.211.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,977 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 193cdafa-f90e-46f6-abe8-acf6404d332a, Nodes: a9fcc31a-9ad4-4acd-8c0b-46adc249acb2{ip: 214.56.130.25, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,978 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 361713ef-ac34-455b-8bfb-348d3dcd9fdc, Nodes: d812ca02-2ed2-42d6-9fe7-f277c3e31d96{ip: 137.149.64.233, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,978 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7fd64e13-0486-4c5a-a2f4-fab09cf61390, Nodes: a9fcc31a-9ad4-4acd-8c0b-46adc249acb2{ip: 214.56.130.25, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,979 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3ce85fbc-2327-479f-9674-d5395195ae07, Nodes: 98d6c13e-cf20-4d68-9a9a-af1686bbdb82{ip: 32.145.250.157, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,980 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6a01069e-de38-45a8-8148-64d00fbdf9f1, Nodes: d812ca02-2ed2-42d6-9fe7-f277c3e31d96{ip: 137.149.64.233, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,980 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ae1cd01c-7cbb-4650-bcfd-f0f6227a3108, Nodes: ca878f14-8cda-4c2c-8c35-b6bca4debde6{ip: 159.182.23.212, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,981 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bf0beb63-9cdb-48d7-97a7-08b3788539f5, Nodes: f909ddf9-0728-4a23-806a-8149110919a8{ip: 15.234.126.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,982 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9b106933-5e22-4e73-afc8-4bbcc36bf3ff, Nodes: 16572fbc-537a-4d94-a603-3b36e453567e{ip: 130.206.111.244, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,982 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bd2ca686-a92f-471e-9207-29c1e8a19a63, Nodes: 62c3e553-6702-42e4-ae29-4f7015ef9d44{ip: 80.231.211.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,983 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e721a8cf-390a-46c8-962a-ec9191b77db2, Nodes: d812ca02-2ed2-42d6-9fe7-f277c3e31d96{ip: 137.149.64.233, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,984 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c5cd85d5-aa53-4dab-b1f9-0542d1773daa, Nodes: a9fcc31a-9ad4-4acd-8c0b-46adc249acb2{ip: 214.56.130.25, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,984 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a620e601-50f6-42b5-8fad-949dd80c3aa2, Nodes: d812ca02-2ed2-42d6-9fe7-f277c3e31d96{ip: 137.149.64.233, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,985 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 347e1979-6651-4d47-a3ab-7ada9b511d7b, Nodes: 41658532-ed82-4c52-b616-d4824d00500c{ip: 46.122.104.24, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,986 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 44ba28a1-3544-4cad-ad9e-74d3a37d19b9, Nodes: 16572fbc-537a-4d94-a603-3b36e453567e{ip: 130.206.111.244, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,986 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b3c812f2-6e74-4efe-82e3-aeed0681eafd, Nodes: 16572fbc-537a-4d94-a603-3b36e453567e{ip: 130.206.111.244, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,987 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 901cc812-bf86-4a49-83ca-3e8da9210a6e, Nodes: f909ddf9-0728-4a23-806a-8149110919a8{ip: 15.234.126.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,987 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9dd215ad-b9c9-4597-be7b-7c5220620079, Nodes: f909ddf9-0728-4a23-806a-8149110919a8{ip: 15.234.126.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,988 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b2fc6569-e4b9-43a2-b8b5-cab4786f5cd2, Nodes: f909ddf9-0728-4a23-806a-8149110919a8{ip: 15.234.126.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
