2019-06-17 05:18:56,824 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 05:18:57,324 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d793ef25-c38f-44d5-bf71-1ba1085a404b, Nodes: c269e28b-65c0-4dcc-904e-a76a4389a89e{ip: 134.24.141.164, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,325 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 21063f49-62b6-4228-b0b9-e4338d776f38, Nodes: c269e28b-65c0-4dcc-904e-a76a4389a89e{ip: 134.24.141.164, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,326 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 683c36d4-5d4e-498a-a113-39869a1b06da, Nodes: de6df4cc-3a48-4407-a0bf-bb13992e7d62{ip: 64.128.149.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,326 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dcfbdd16-0260-4b27-95f5-a817b005da35, Nodes: 5e0e557d-f226-4eca-a5d8-5bc85d23d3f2{ip: 91.171.57.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,326 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3e828d10-47fa-4bc2-8615-0f3182ffaa54, Nodes: 5e0e557d-f226-4eca-a5d8-5bc85d23d3f2{ip: 91.171.57.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,327 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ba57c4b7-0bf9-4b0c-a03d-eb969e29aaa8, Nodes: c269e28b-65c0-4dcc-904e-a76a4389a89e{ip: 134.24.141.164, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,327 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9a68641e-9e83-4228-9788-03a4f818747b, Nodes: 0a7418d9-8c04-490e-bc20-5d6cac792718{ip: 152.15.164.22, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,328 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 459d624c-63f0-4368-8401-d3ef5dda3245, Nodes: 0a7418d9-8c04-490e-bc20-5d6cac792718{ip: 152.15.164.22, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,328 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fa017a75-ecad-404f-b893-e411bbe23aeb, Nodes: 2a45af83-4f55-46f5-b0da-033c3112867d{ip: 139.152.51.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,329 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2f40649a-570b-425d-8a2b-37601393dbc3, Nodes: 0a7418d9-8c04-490e-bc20-5d6cac792718{ip: 152.15.164.22, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,329 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d66157fa-6835-4a03-b571-fbdd941fc094, Nodes: e5670c5c-e58e-467f-b5f9-d0258de32ada{ip: 113.223.82.173, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,330 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 16108a93-d335-4f14-b711-d92d9c42b236, Nodes: 5e0e557d-f226-4eca-a5d8-5bc85d23d3f2{ip: 91.171.57.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
