2019-06-16 21:23:21,815 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-16 21:23:21,971 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-16 21:23:21,972 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-16 21:23:22,298 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 47fd6eb0-16c6-4597-b12f-2948923e23d0, Nodes: 0f3c7658-c4b8-4caf-9fac-4e5412d8d149{ip: 77.85.215.128, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,298 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b0f9e832-50e7-4284-ac89-92d845c2de6d, Nodes: 3f707bee-aca4-4387-8f9f-6b0df11e31b9{ip: 134.130.16.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,299 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5e325e59-160c-4242-8196-74838b811a65, Nodes: 6a724f5b-b6cb-4804-8349-f0233e07bd78{ip: 165.56.239.248, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,299 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8d514faa-924d-4942-8d4f-1763eb45b539, Nodes: cb496961-1f53-4cb2-bf1d-1297ceb931f8{ip: 88.18.107.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,300 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 66f6dd72-74b3-47e6-862d-4d5c269c1d2d, Nodes: 96b27fcf-f229-4181-b65f-7a1859245368{ip: 52.49.87.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,300 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 30f567b7-404c-4e2f-ba36-1c30f0dbf9e2, Nodes: cb496961-1f53-4cb2-bf1d-1297ceb931f8{ip: 88.18.107.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,301 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a30a714b-110f-41b9-82a3-38e576e1196e, Nodes: 6a724f5b-b6cb-4804-8349-f0233e07bd78{ip: 165.56.239.248, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,301 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b5cdc250-4de4-44c2-8dbb-ce9bf3e3591e, Nodes: cb496961-1f53-4cb2-bf1d-1297ceb931f8{ip: 88.18.107.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,302 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2d4c9cdb-c45c-4d5a-a65f-b2d59f411547, Nodes: 807d3eab-584f-46f7-90ad-42e3f6c4fc0a{ip: 152.86.27.94, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,302 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d9fe87cc-8409-4ccb-a891-c4f0fefa6b7e, Nodes: d8cd6d09-c33e-4335-b211-b2c9f7922454{ip: 73.108.24.49, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
