2019-06-16 20:12:04,618 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 787cc47e-006c-4be8-bfb9-718fcad99a99, Nodes: 80f99fec-3c53-4d3d-b9db-d2d438df08f5{ip: 73.143.145.73, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,619 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a014a081-fbe3-4cea-828b-4757545fd7cf, Nodes: 05a97507-d314-4a7c-870e-811b8f2e7610{ip: 110.242.95.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,619 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4f250f02-faee-468d-b94a-4660c0ada9d7, Nodes: 80f99fec-3c53-4d3d-b9db-d2d438df08f5{ip: 73.143.145.73, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,620 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 341bf4f1-0daf-4271-8ead-ebca708372c7, Nodes: 6c2f0ba7-d901-4f50-a346-2f23aa3af451{ip: 182.90.122.220, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,620 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9cc0d7c5-b8d3-4792-bc02-85b323908dea, Nodes: 6c2f0ba7-d901-4f50-a346-2f23aa3af451{ip: 182.90.122.220, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,621 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ef7c1958-d7cb-48eb-bffd-ab05ace75026, Nodes: 05a97507-d314-4a7c-870e-811b8f2e7610{ip: 110.242.95.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,622 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6e98708f-1a0d-4d55-a2c3-ed0750a1d560, Nodes: 6c2f0ba7-d901-4f50-a346-2f23aa3af451{ip: 182.90.122.220, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,622 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d7889293-b6ab-43e6-88b9-4882dee1916d, Nodes: 7cd9597e-9e7f-4ef8-afa2-4b875129e465{ip: 140.212.47.233, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,623 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 920c526c-350b-483a-b68c-20c570fe17b5, Nodes: 60efe2a1-4949-4063-ae01-c2bb029571e5{ip: 182.186.141.173, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,624 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1cc613fc-2371-4717-b2a3-9e50e8683bd9, Nodes: 98676812-e41b-45b3-b1ea-fa1a04ee2652{ip: 177.105.236.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,624 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 665838c4-3197-4d2e-8e68-02dba1b1024c, Nodes: 05a97507-d314-4a7c-870e-811b8f2e7610{ip: 110.242.95.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,625 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 10dcbf7e-69aa-4340-a934-8a1a87b7bc15, Nodes: 6c2f0ba7-d901-4f50-a346-2f23aa3af451{ip: 182.90.122.220, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,626 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 14ca9687-061f-4a09-b926-122af04211de, Nodes: 04caa853-0987-44e4-bbea-4c412dd741cd{ip: 136.165.231.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,626 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d44ab38b-f3e3-4b0b-a5de-07d6a2220ec2, Nodes: 04caa853-0987-44e4-bbea-4c412dd741cd{ip: 136.165.231.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,627 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9874512e-f9e0-463c-a922-c9fcb3063cb7, Nodes: 7cd9597e-9e7f-4ef8-afa2-4b875129e465{ip: 140.212.47.233, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,628 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6cc58299-58d1-425f-8691-2c55e2e89292, Nodes: 98676812-e41b-45b3-b1ea-fa1a04ee2652{ip: 177.105.236.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,628 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f94042dd-3b5e-4faf-a2c4-257e303a3f2f, Nodes: 04caa853-0987-44e4-bbea-4c412dd741cd{ip: 136.165.231.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,629 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: db73633a-899a-4105-8385-5341a0e0faaf, Nodes: 60efe2a1-4949-4063-ae01-c2bb029571e5{ip: 182.186.141.173, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,630 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8a4f9951-8c23-4406-adb4-67e99f151be3, Nodes: 80f99fec-3c53-4d3d-b9db-d2d438df08f5{ip: 73.143.145.73, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,630 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3b67fbd7-145d-4421-911e-f7722459b036, Nodes: 80f99fec-3c53-4d3d-b9db-d2d438df08f5{ip: 73.143.145.73, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
