2019-06-17 09:17:56,601 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 09:17:56,772 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 09:17:56,773 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 09:17:57,111 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 084153d7-1351-4103-8225-c1c1087fec01, Nodes: 3190fa88-82f9-45a2-b738-7876cf4b0887{ip: 133.125.249.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,111 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0ef474a8-ee14-4c85-b994-4289ade5b2b2, Nodes: 805b5cc2-f67a-4b18-a040-d20ff0e4407e{ip: 109.53.92.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,112 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 842d7d96-9ba4-400a-a795-33d43a40d48a, Nodes: 45ec3832-f342-42c3-9fe2-b46acec13622{ip: 18.10.116.170, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,112 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7d1f57b0-d57f-4f89-8646-fc87a7d6cd31, Nodes: 93dfc435-fcac-462b-a144-29f8c0796e1a{ip: 228.15.226.179, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,113 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bea38085-88dd-43e7-a586-50e1f50b9cc6, Nodes: a89c2da4-654a-465d-940e-8147ec256a13{ip: 158.225.122.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,113 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 675cf1be-695e-46e7-ac60-0de10ec2f821, Nodes: 810255b2-086f-4dca-b06a-25a8d5be258f{ip: 184.21.29.32, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,114 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2ba2118a-c274-46c8-8839-b0edd790d8cb, Nodes: 45ec3832-f342-42c3-9fe2-b46acec13622{ip: 18.10.116.170, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,114 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c0f642df-ce51-47a9-b81f-276bea427513, Nodes: 3190fa88-82f9-45a2-b738-7876cf4b0887{ip: 133.125.249.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,115 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 00dc8837-19b3-4279-848c-dff1259a8d13, Nodes: 805b5cc2-f67a-4b18-a040-d20ff0e4407e{ip: 109.53.92.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,117 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e5ef967f-f172-4560-b3ea-8c36b2392198, Nodes: 3190fa88-82f9-45a2-b738-7876cf4b0887{ip: 133.125.249.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,118 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b3ef00dd-d812-4731-b684-f5e32ef011e3, Nodes: 93dfc435-fcac-462b-a144-29f8c0796e1a{ip: 228.15.226.179, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
