2019-06-17 21:27:30,607 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d76358cb-112a-435c-a168-95e70a85c105, Nodes: 955393d4-7f35-4847-b62c-d4976eb140e0{ip: 4.192.24.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,608 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 52c6cd16-e8c9-47ed-9d82-43990cc8ffa2, Nodes: 2cd475f8-8013-4063-b9e0-f60fcfe87ded{ip: 95.113.244.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,609 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8b89967a-7df9-4115-8707-acf794d1e95c, Nodes: e4d83cae-9645-4fa4-9171-3938b9814783{ip: 230.208.246.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,609 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a0147763-409d-447f-bd30-55570b619fe2, Nodes: 8a868fec-106b-4380-bdd2-f3c056735908{ip: 224.142.86.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,610 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1e564396-a748-4009-b9c5-66332f5834d7, Nodes: e4d83cae-9645-4fa4-9171-3938b9814783{ip: 230.208.246.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,611 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: de118a4c-6f72-4624-9f64-d31b5556b54f, Nodes: 2cd475f8-8013-4063-b9e0-f60fcfe87ded{ip: 95.113.244.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,612 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0a9496af-f887-4342-b568-7b066d377bb0, Nodes: 955393d4-7f35-4847-b62c-d4976eb140e0{ip: 4.192.24.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,613 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d4580a0b-9b3a-4310-8917-ee1cf0f510b2, Nodes: 7d3dd249-71de-4720-8b14-46e76d1f3276{ip: 18.243.195.31, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,613 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ce30abc2-bc02-4692-a2bc-ed1d8c139300, Nodes: 955393d4-7f35-4847-b62c-d4976eb140e0{ip: 4.192.24.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,614 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f4ee32c2-510c-4bb5-b258-1777444f248f, Nodes: bf7d24ae-0193-4f07-af16-4092fc3471b5{ip: 224.73.248.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,615 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: da329830-4b52-4cfe-962e-660b065e5673, Nodes: d1119e28-5709-47a3-aebb-c27d7225488c{ip: 28.230.152.170, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,616 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fa9eb2ef-c338-4ec2-9a3e-8d33b78bcc3a, Nodes: 7d3dd249-71de-4720-8b14-46e76d1f3276{ip: 18.243.195.31, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,616 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a7d4a26b-374e-4f11-8595-b22ab3df06c7, Nodes: 8a868fec-106b-4380-bdd2-f3c056735908{ip: 224.142.86.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,617 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 129c66b7-072a-49c4-b65f-d2f22572264c, Nodes: bf7d24ae-0193-4f07-af16-4092fc3471b5{ip: 224.73.248.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,618 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 718672d3-ee0e-4093-9347-7b3434c7328a, Nodes: 2cd475f8-8013-4063-b9e0-f60fcfe87ded{ip: 95.113.244.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,618 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3d05884b-1347-4c77-ba1c-db2a28789308, Nodes: 955393d4-7f35-4847-b62c-d4976eb140e0{ip: 4.192.24.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,619 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5641a62c-f8d6-4daa-aa8b-7512095c87a2, Nodes: d1119e28-5709-47a3-aebb-c27d7225488c{ip: 28.230.152.170, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
