2019-06-17 01:32:55,906 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 01:32:56,395 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f35fb7a2-880f-4f77-8dd3-f8368216ab3d, Nodes: 33b7efba-6535-4011-929a-a7c5512e9756{ip: 226.102.173.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,396 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 26171b07-e069-4db0-9534-8bbd9f3f5141, Nodes: b5326425-1b46-46ed-8c2c-25b5f6e50c09{ip: 175.243.144.41, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,396 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 219df3a0-098c-45da-8e32-436555de64a3, Nodes: f8d2dd55-d33a-4292-86d2-96ec547bcade{ip: 184.22.28.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,397 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 003cc3bb-dbc5-4650-b111-bf73bfc8e505, Nodes: 33b7efba-6535-4011-929a-a7c5512e9756{ip: 226.102.173.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,397 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7b1dd876-e269-4709-83b8-80a92a436888, Nodes: d3b54f40-eff2-4093-a590-23df5710e569{ip: 34.165.41.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,398 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 35d362cc-4778-4a48-a89a-8d3e0c20737b, Nodes: 9cb0c20d-3506-451e-89e2-80e62145210d{ip: 14.10.107.192, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,398 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f9aeeb3d-e0ea-4ad2-a0fe-2af1d92e272f, Nodes: b5326425-1b46-46ed-8c2c-25b5f6e50c09{ip: 175.243.144.41, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,399 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8b2bd89d-f812-4946-9c45-341f3ead5a3d, Nodes: b5326425-1b46-46ed-8c2c-25b5f6e50c09{ip: 175.243.144.41, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,399 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 445ed751-83fc-4f8e-ae82-04cb44b10813, Nodes: 33b7efba-6535-4011-929a-a7c5512e9756{ip: 226.102.173.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,400 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c30e3b84-efc3-45f0-b163-6aaa4d9bea36, Nodes: f84a7a4d-c11c-4a63-a497-0b8c40277c06{ip: 246.138.28.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
