2019-06-17 12:16:06,644 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 12:16:06,837 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 12:16:06,838 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 12:16:07,171 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c13939a3-aa2c-40f7-8307-03c4f035ffd4, Nodes: a28e1692-7300-461b-886e-2678d1450ebc{ip: 148.84.235.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,172 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e56eb6cc-1bb6-47ad-80eb-38f292c0cfbb, Nodes: 227a584b-4f05-4b00-b3f2-9ba13f79c8a3{ip: 105.212.106.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,172 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6c010b0b-e0f8-44bb-a6cd-c38bc3762428, Nodes: 227a584b-4f05-4b00-b3f2-9ba13f79c8a3{ip: 105.212.106.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,173 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 66e903f0-4b79-4848-ad34-25f576e74865, Nodes: f44b0581-5689-4500-9e76-b6cd7030e00b{ip: 128.122.142.65, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,173 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9f789b4a-641c-4ab0-9dc5-aa2ebe6b4b5b, Nodes: 6e550cb6-6e27-440f-b3be-e471ca0f75d4{ip: 127.130.40.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,174 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e35ee96d-a215-441a-a89d-62856df39bbe, Nodes: f44b0581-5689-4500-9e76-b6cd7030e00b{ip: 128.122.142.65, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,174 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cd9159a2-0030-4933-b9f3-49774f5c949d, Nodes: 8b97a3a2-6be2-4301-abf0-7f80b3dc490e{ip: 68.20.3.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,174 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6304bb59-9e82-4c58-a4dd-ab8837e7a0ed, Nodes: e3d22181-7bb6-426a-b9e3-e542b37164eb{ip: 122.84.64.181, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,175 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 846bf951-2796-4067-be02-9961a1ffe838, Nodes: 55a739cb-88cd-47c4-bf66-5f62f5c8dfeb{ip: 113.234.229.87, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,175 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9edea731-48e1-4874-a9ae-77569ea0345a, Nodes: a28e1692-7300-461b-886e-2678d1450ebc{ip: 148.84.235.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,176 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 872cafcf-2dd4-4072-8ec5-705722ae9bc6, Nodes: f44b0581-5689-4500-9e76-b6cd7030e00b{ip: 128.122.142.65, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,177 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 24138844-ab26-49c7-9185-06ef5f0a649f, Nodes: a28e1692-7300-461b-886e-2678d1450ebc{ip: 148.84.235.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,178 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7c5eebda-cf8e-4f13-ab30-b806d98634d5, Nodes: 55a739cb-88cd-47c4-bf66-5f62f5c8dfeb{ip: 113.234.229.87, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,180 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f1543e91-c228-4c62-87a1-fc3777cd4942, Nodes: a28e1692-7300-461b-886e-2678d1450ebc{ip: 148.84.235.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
