2019-06-17 22:12:53,843 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9685029c-c902-4793-9713-77620f86788a, Nodes: 866f6dc5-c3ec-4ea3-bcbb-f597c652b512{ip: 30.223.202.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,844 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f69f4f65-30ef-4643-a3c8-657e25bbd20b, Nodes: c943b79f-fc19-49bd-a487-43edf5d8fa16{ip: 139.21.82.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,844 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d6d2550c-55fc-4638-bf96-8f9a5a17511c, Nodes: 1a15f220-b354-4744-8a81-d24b0aae8172{ip: 83.128.182.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,845 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d572869a-c3cd-4cd9-adf6-e8caa998d2e4, Nodes: fbeff6ea-5c07-4ee1-a1bd-dd312eb88c19{ip: 180.96.177.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,846 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a82603f9-a3b1-4f58-b960-b1c3d265aa21, Nodes: fbeff6ea-5c07-4ee1-a1bd-dd312eb88c19{ip: 180.96.177.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,846 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e72045b6-ede6-491d-83e6-3dc310cd2f1f, Nodes: 8f87e9c1-3413-47b4-af7c-e12ecc4bdfdf{ip: 84.24.92.44, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,847 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c9e8edf9-8de0-4087-a1a7-8b727fea8ae0, Nodes: c943b79f-fc19-49bd-a487-43edf5d8fa16{ip: 139.21.82.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,848 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9323a519-33b9-4697-9802-8ca8f7c6897d, Nodes: e327e674-187a-4fcd-9392-804127a12d87{ip: 251.196.184.24, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,849 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1397d363-26fc-49e0-8ed2-abd2d96815e5, Nodes: e327e674-187a-4fcd-9392-804127a12d87{ip: 251.196.184.24, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,849 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a980621e-6705-4087-ad2e-4886344c6dcb, Nodes: fbeff6ea-5c07-4ee1-a1bd-dd312eb88c19{ip: 180.96.177.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
