2019-06-18 05:37:27,745 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fb862a0d-4e0d-44b5-aa5c-395173a8e4e7, Nodes: 237c79f0-6937-409e-ac7f-f4ceff1f03f2{ip: 61.60.94.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,746 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2ddca480-e535-4a8e-8473-feb9d89998e0, Nodes: 309d4a7e-69d5-4a5e-8c82-054858aaed46{ip: 191.116.19.200, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,746 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3fdfd469-fde6-4dca-af61-3cdf4a3857cd, Nodes: 237c79f0-6937-409e-ac7f-f4ceff1f03f2{ip: 61.60.94.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,747 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6976ae13-4eca-4d8c-9b0f-790b0bfbb9f6, Nodes: 95d0f369-f30e-4fa8-8f54-a54de97e2d49{ip: 18.4.243.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,747 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4068cfbd-8a83-484e-9119-a190a6d56da4, Nodes: 309d4a7e-69d5-4a5e-8c82-054858aaed46{ip: 191.116.19.200, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,748 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 44c9b124-4569-46bb-bc54-dddfef23015d, Nodes: e07ba243-c1ad-42f0-b92b-67db1de05c96{ip: 94.12.203.236, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,748 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7ff4b864-6e62-450d-a5bb-dcf487a2c410, Nodes: f265201d-4825-4ec3-9473-bc684dc44287{ip: 148.174.148.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,749 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fe6c86b4-35bb-4193-9cbf-e15a128129ec, Nodes: 237c79f0-6937-409e-ac7f-f4ceff1f03f2{ip: 61.60.94.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,750 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7b7018fb-f52c-473b-bce9-5532e5b407d5, Nodes: f265201d-4825-4ec3-9473-bc684dc44287{ip: 148.174.148.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,751 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 709d7c33-ecd2-4fd4-876e-cf781fcaf25c, Nodes: e07ba243-c1ad-42f0-b92b-67db1de05c96{ip: 94.12.203.236, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
