2019-06-16 23:51:09,564 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-16 23:51:09,737 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-16 23:51:09,738 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-16 23:51:10,082 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 02e5022c-f4fd-488c-9b46-715fc69f7f4a, Nodes: efe30e32-1073-47dd-bf0a-294e71f8fb6d{ip: 243.231.214.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,082 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b099ce72-9dcc-43b3-a598-3008edffb8b2, Nodes: 6664f79b-b9b9-4852-99ef-f45428687516{ip: 217.79.255.14, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,083 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 72d4f5a9-7b2a-4ffa-8e0a-0715fde988c1, Nodes: a8363143-b40e-4938-bcac-ad4d322d7789{ip: 207.175.167.111, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,084 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2f51125b-f845-40d6-b162-86b373dbfe75, Nodes: c1848355-d066-428e-9300-9a9f48d47f1f{ip: 118.253.198.188, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,084 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1e7191a4-4061-443c-a4c1-67f1d98942e9, Nodes: 20f2dabf-27ad-4007-88a8-c544276c6f3a{ip: 114.111.34.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,085 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9046bbba-031a-43e2-8bf8-8d41c171ee38, Nodes: bb1c5fa7-50bb-4b83-a7e9-a512c78b6311{ip: 130.213.57.131, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,086 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 05d03c52-9a41-4871-ba6d-088fdd5c350c, Nodes: 6664f79b-b9b9-4852-99ef-f45428687516{ip: 217.79.255.14, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,086 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9aace8f8-f732-43ef-96db-1103d9ae5e11, Nodes: 6664f79b-b9b9-4852-99ef-f45428687516{ip: 217.79.255.14, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,087 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b3068393-e467-416d-908d-d277b0921d45, Nodes: bb1c5fa7-50bb-4b83-a7e9-a512c78b6311{ip: 130.213.57.131, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,087 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cb700099-21ef-42bf-8275-62870ef64772, Nodes: efe30e32-1073-47dd-bf0a-294e71f8fb6d{ip: 243.231.214.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,088 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8ef10a42-685d-4a49-9068-0bbc74514626, Nodes: 6eb2fcf5-8328-46eb-b2b3-017ab38e983e{ip: 107.186.24.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,088 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0a5349cd-2ccd-4511-b9a5-3f4321463e49, Nodes: bb1c5fa7-50bb-4b83-a7e9-a512c78b6311{ip: 130.213.57.131, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,089 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 33b86e99-ec83-4fbe-9fe2-a9ce19416b91, Nodes: c1848355-d066-428e-9300-9a9f48d47f1f{ip: 118.253.198.188, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,091 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 439a46f7-da29-4a73-af68-b7f4cfa5e7a5, Nodes: 20f2dabf-27ad-4007-88a8-c544276c6f3a{ip: 114.111.34.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,092 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d0bb610c-2c96-43a5-88e2-fc0ca4f41107, Nodes: a8363143-b40e-4938-bcac-ad4d322d7789{ip: 207.175.167.111, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
