2019-06-17 08:06:47,700 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2f0c8d5d-643e-42b8-b21f-88ccf569dcbc, Nodes: ca5c7e29-9a04-4aa5-984e-cf2724388581{ip: 171.27.67.93, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,701 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f9c35177-f4b2-49fc-906d-806754481bc0, Nodes: 0c73f966-c6d1-47c3-92e4-1f137bac95d7{ip: 119.113.10.211, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,701 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4f7f4e2b-61c5-4e43-ac24-23a87ba83fa8, Nodes: 0c73f966-c6d1-47c3-92e4-1f137bac95d7{ip: 119.113.10.211, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,702 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6021437a-a917-4ea5-b566-b3e0542675f7, Nodes: 0c73f966-c6d1-47c3-92e4-1f137bac95d7{ip: 119.113.10.211, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,702 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 13225e53-9f14-4119-8d3b-46756bdc04ce, Nodes: ca5c7e29-9a04-4aa5-984e-cf2724388581{ip: 171.27.67.93, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,703 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 09723c7d-4fc1-43bc-aa01-6fde059ea5fa, Nodes: ca5c7e29-9a04-4aa5-984e-cf2724388581{ip: 171.27.67.93, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,704 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 60d760f1-1be8-4e25-a739-e36ff83528ae, Nodes: f80a3f63-7235-4c0d-bad0-794e967fd78e{ip: 127.174.68.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,704 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b935ecf4-005b-43f3-931c-79385669a4f5, Nodes: f80a3f63-7235-4c0d-bad0-794e967fd78e{ip: 127.174.68.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,705 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9e641b2e-73a5-402e-b3d3-2cdedb9d5079, Nodes: 1fceba7f-b537-4932-a64a-755705f3d2ac{ip: 46.93.227.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,706 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a933d5bb-bd97-4a14-942c-90ae57a2baee, Nodes: 0442011f-a0d4-4005-b8c8-5c5b7f6bf029{ip: 189.216.160.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,706 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dc4d8fa1-729c-4be4-874a-c1ab6f7bbf84, Nodes: f80a3f63-7235-4c0d-bad0-794e967fd78e{ip: 127.174.68.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,707 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 205a5dc7-123c-4c85-800f-a17ad15cf798, Nodes: 37bb1261-46ea-4892-ad4e-b34461d4d4fa{ip: 127.173.140.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,708 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b480c93e-c443-46ed-b65e-52d33367d1b7, Nodes: ceb2dee9-b7e8-467c-90e3-ee427e7b4cd9{ip: 38.129.79.62, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,708 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b230e7a6-0760-44c7-b611-1cd350ae7924, Nodes: f80a3f63-7235-4c0d-bad0-794e967fd78e{ip: 127.174.68.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,709 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8f92bdb9-8b8f-40a7-82f6-90c6b44e886f, Nodes: 37bb1261-46ea-4892-ad4e-b34461d4d4fa{ip: 127.173.140.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,710 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 00d6e7ab-2d14-4083-b4dd-43e99c89c78a, Nodes: ca5c7e29-9a04-4aa5-984e-cf2724388581{ip: 171.27.67.93, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,711 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d09cfb18-7892-4793-a3ba-4d017b10a4b5, Nodes: 37bb1261-46ea-4892-ad4e-b34461d4d4fa{ip: 127.173.140.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,713 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 64742b47-f200-4fdc-9d10-22deb798cfc4, Nodes: 1fceba7f-b537-4932-a64a-755705f3d2ac{ip: 46.93.227.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
