2019-06-17 19:33:29,599 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 145a710c-1f8e-4c71-8ca9-00194f9cbf5d, Nodes: b4fc4ff1-a265-446a-a366-f92d9073f655{ip: 149.135.84.189, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,600 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f8505255-60ee-4376-96ba-3bbe28653548, Nodes: b4fc4ff1-a265-446a-a366-f92d9073f655{ip: 149.135.84.189, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,601 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 19e91d42-a6cf-41b5-b394-615027ab2f5d, Nodes: 3d944385-86dc-456c-87b7-bc068d2c4b1e{ip: 215.156.224.180, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,602 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cd288cba-c77d-4ad1-9ea0-3aab00e695da, Nodes: 78316442-bce7-40a2-8358-a3b99c811ce9{ip: 182.74.24.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,602 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7e104096-f9cf-4bb2-b9be-5d09692177cf, Nodes: 78316442-bce7-40a2-8358-a3b99c811ce9{ip: 182.74.24.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,603 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 56e09fb5-3045-40fe-a3f2-0138dbe05b16, Nodes: ddcb77e2-a2ac-47e4-9aca-5d6383a512e7{ip: 20.48.184.242, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,603 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6dce1944-e06d-4911-8142-337c15a25b62, Nodes: ddcb77e2-a2ac-47e4-9aca-5d6383a512e7{ip: 20.48.184.242, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,604 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a62d8d40-9ee3-4490-b1c2-ca39012826bf, Nodes: aafb5960-4c0b-4026-8844-1af8d74743c3{ip: 18.118.130.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,605 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d795bb5c-16c9-4201-8ff6-94a4e4b0cc64, Nodes: 0bbc27b4-d25a-4a2e-b3c7-534ba9492f37{ip: 108.68.235.122, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,605 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2382b9b0-a622-4750-b730-227a14c6e0dc, Nodes: ddcb77e2-a2ac-47e4-9aca-5d6383a512e7{ip: 20.48.184.242, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,606 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 84caaef8-2a58-4d05-b37c-39f9dc4a680a, Nodes: 3d944385-86dc-456c-87b7-bc068d2c4b1e{ip: 215.156.224.180, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,606 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 28134f20-a653-4f55-9a81-860778e0bf0e, Nodes: ddcb77e2-a2ac-47e4-9aca-5d6383a512e7{ip: 20.48.184.242, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,607 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 86b01442-80ef-491a-979b-14a87fd98d5a, Nodes: ddcb77e2-a2ac-47e4-9aca-5d6383a512e7{ip: 20.48.184.242, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,608 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e04a7fce-afcd-458d-baf0-0d8bee943750, Nodes: 78316442-bce7-40a2-8358-a3b99c811ce9{ip: 182.74.24.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,608 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7d85c8b9-c12a-4f72-bd62-dda7f33a0ea8, Nodes: e012eb82-7538-4fa1-a68c-387ef280060b{ip: 86.233.197.140, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,609 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9d551385-43ca-429f-b882-4c5b8684b715, Nodes: e012eb82-7538-4fa1-a68c-387ef280060b{ip: 86.233.197.140, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,609 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4afc6b4b-b44a-4765-a4b4-4d64ab4f7755, Nodes: 0bbc27b4-d25a-4a2e-b3c7-534ba9492f37{ip: 108.68.235.122, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,610 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e8008f2b-a8b6-41d6-b819-d78083cd650c, Nodes: 3d944385-86dc-456c-87b7-bc068d2c4b1e{ip: 215.156.224.180, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,610 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e62ae3ac-edb3-4a0c-a3ea-f134210d0709, Nodes: 3d944385-86dc-456c-87b7-bc068d2c4b1e{ip: 215.156.224.180, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,611 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4e495cda-860a-46a5-a48e-6afc095ad4f0, Nodes: 0bbc27b4-d25a-4a2e-b3c7-534ba9492f37{ip: 108.68.235.122, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,612 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ff86d846-682a-4f8a-a2a1-3cd141cc44bd, Nodes: ddcb77e2-a2ac-47e4-9aca-5d6383a512e7{ip: 20.48.184.242, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,613 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a09dfff5-fa7f-4ef4-8d6a-ed7d91353d22, Nodes: aafb5960-4c0b-4026-8844-1af8d74743c3{ip: 18.118.130.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,614 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f39528ee-72c1-4b86-a706-33b1e3463f94, Nodes: ddcb77e2-a2ac-47e4-9aca-5d6383a512e7{ip: 20.48.184.242, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
