2019-06-17 07:19:48,755 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f32ea289-2b47-4a83-8621-2a1a20d08e69, Nodes: 826aef48-e34b-4e99-be7f-b2a5dd956fa7{ip: 176.201.68.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,756 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ea7cba17-7a59-493d-8df6-9c045f39d449, Nodes: 9d2e5de3-2cbd-49f9-b9b3-76c11ceb3df6{ip: 129.135.7.117, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,756 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d6ea1b3a-19c4-4cfe-b39f-f1e84ea33f5e, Nodes: c1bf1494-d8b7-404c-b380-fd1176d767c7{ip: 178.80.70.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,757 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 018b3607-2521-4268-9e2b-bce24a11774c, Nodes: c1bf1494-d8b7-404c-b380-fd1176d767c7{ip: 178.80.70.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,757 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6ef724ca-f979-4b23-b77b-a779dc896be1, Nodes: af4ccd41-f3f8-4db6-bb1c-de327ff18da2{ip: 148.195.245.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,758 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 79f6f016-04d7-436f-809a-7a0acfbb81f4, Nodes: 9d2e5de3-2cbd-49f9-b9b3-76c11ceb3df6{ip: 129.135.7.117, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,758 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dcc8b430-a6b9-4b32-b575-3aa371e512f6, Nodes: af4ccd41-f3f8-4db6-bb1c-de327ff18da2{ip: 148.195.245.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,758 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0c1631d3-c2a6-4b89-9c87-097147da8418, Nodes: 1a54014b-652b-4c89-9e62-27c57d12ca04{ip: 46.52.206.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,759 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f87dc86c-6816-4534-b81a-347ac0c2d2ed, Nodes: d3280da4-59b4-4e1c-bf98-48d50427c410{ip: 212.121.130.242, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,759 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 22395b42-393a-4acc-8ea3-8924840c5807, Nodes: 1e05d6cc-e0a6-4a5a-bfff-0ed223263292{ip: 8.56.130.93, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
