2019-06-17 03:24:01,786 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e05e054b-da77-481c-956c-edda579ab626, Nodes: b979b18d-966f-4d8b-8384-23c42159ed0a{ip: 101.248.119.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,787 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2b4f3f79-6bd4-448e-be01-50c460c57901, Nodes: b6f9e47c-2c76-4958-8f1f-adde8bee8f2b{ip: 74.49.40.27, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,787 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d7cf44f9-ebbd-436e-b2b8-9566652c116a, Nodes: 83a1ff8c-c53f-4b08-ad1c-3ceca214ec99{ip: 238.48.174.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,788 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 11f46bde-80be-407e-b47f-cf96601a0720, Nodes: d174db46-dcd9-4a3a-8bcf-0405ce64e236{ip: 103.73.138.152, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,788 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8c12db2a-8f0d-4659-baf3-8bfe201d7b72, Nodes: b979b18d-966f-4d8b-8384-23c42159ed0a{ip: 101.248.119.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,789 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9d93669c-893f-4a50-b39c-88b0565ca13f, Nodes: b979b18d-966f-4d8b-8384-23c42159ed0a{ip: 101.248.119.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,789 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d676eb17-5ecf-4f4a-b66f-193801533062, Nodes: 0233778b-47d5-459d-b991-775defb2e0d8{ip: 157.61.118.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,790 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bbed1e96-9743-40cd-87df-dfa04a50b6a4, Nodes: 83a1ff8c-c53f-4b08-ad1c-3ceca214ec99{ip: 238.48.174.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,790 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 54d891ed-8690-4d7f-a2b0-533e8d13b396, Nodes: b979b18d-966f-4d8b-8384-23c42159ed0a{ip: 101.248.119.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,791 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 41490fb3-e3be-46e9-8101-4e2398d7c1bb, Nodes: b6f9e47c-2c76-4958-8f1f-adde8bee8f2b{ip: 74.49.40.27, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
