2019-06-17 22:25:28,481 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 22:25:28,686 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 22:25:28,687 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 22:25:29,051 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 078bfaf5-d07c-432d-9465-a4a801099903, Nodes: 059744f7-407e-44e8-9245-c768bf95783b{ip: 68.170.158.227, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,052 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 35f8cd69-7213-45a7-88d9-9fcaca4e3936, Nodes: d56d84fc-13a8-475c-b379-5f8f6f35c00b{ip: 33.65.77.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,052 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ffc25e4b-51df-4ad6-8c2b-317d1f361405, Nodes: daa916d0-1342-4bed-abf1-d05bad718a02{ip: 232.214.211.208, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,053 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8c685e0c-4d1a-4d0e-9a2d-691dd9c07fbb, Nodes: 63469ff6-43f3-45f6-a87a-6e7e5c1426c2{ip: 36.38.107.44, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,054 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f3470c56-eed8-4912-813b-729511cb8b62, Nodes: daa916d0-1342-4bed-abf1-d05bad718a02{ip: 232.214.211.208, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,055 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1fc2148a-befd-451f-b1d1-d0e7512beab3, Nodes: 2db82b43-fba7-45fa-93cf-033aa5f67031{ip: 143.157.95.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,055 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a7b7c3d3-c075-4469-a914-07ad4525741a, Nodes: fd15e835-9012-439a-beb6-ee6ddb82dfa6{ip: 20.65.84.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,056 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f446c907-3c93-4eee-9135-750ee79542f1, Nodes: 679e1786-304a-44b9-82b3-f9cce58c0a6c{ip: 84.246.64.212, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,056 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cb8604f5-14e1-4fcc-ac73-5bb1c6064747, Nodes: daa916d0-1342-4bed-abf1-d05bad718a02{ip: 232.214.211.208, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,057 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c84fe6b5-efcf-4158-bbbb-447aef611203, Nodes: daa916d0-1342-4bed-abf1-d05bad718a02{ip: 232.214.211.208, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
