2019-06-17 03:10:18,662 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 03:10:18,874 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 03:10:18,875 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 03:10:19,308 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 36901537-362e-4fdc-b3cc-e6dc1579d289, Nodes: f58c95ea-c6ef-4ddc-80e6-2e29d4ad8271{ip: 185.60.45.96, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,310 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 74fcbc36-006d-46f1-947c-d7287105c0d3, Nodes: 3972bf39-b529-43e6-b87b-9376515c7350{ip: 200.209.40.59, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,310 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 476363e1-48b1-4ba9-bb00-deb124d9ca05, Nodes: 00eaefb5-4964-4ee5-969f-2b4df92e75f6{ip: 156.188.125.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,311 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1afbab06-0b6d-499b-9ad8-428eac3544a1, Nodes: 0856def0-eb87-4d32-a265-eda03d79724d{ip: 168.167.149.221, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,312 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5aa62bfa-d835-4668-9f92-6e698a40125b, Nodes: f58c95ea-c6ef-4ddc-80e6-2e29d4ad8271{ip: 185.60.45.96, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,312 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 790ebf0f-3a3c-4c50-9bf3-c3b8a7d55548, Nodes: 139bbcf6-b58e-41a4-8033-53553676562e{ip: 98.56.36.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,313 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 87441ea5-884d-4a37-a511-2402b4aa55ef, Nodes: 92d82115-e072-463b-b0b3-c553265635ac{ip: 20.193.60.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,314 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6a9fb76b-4b35-4739-8273-aac016b85735, Nodes: f58c95ea-c6ef-4ddc-80e6-2e29d4ad8271{ip: 185.60.45.96, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,314 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0725c055-da79-4e9d-acee-023199cff726, Nodes: 50be713f-77ae-4e43-b3d5-304ae15916af{ip: 153.223.69.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,315 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ab44f6c8-a554-4a4a-860c-50e13839fa9f, Nodes: 139bbcf6-b58e-41a4-8033-53553676562e{ip: 98.56.36.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
