2019-06-17 19:49:00,675 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: de9b9f1c-6a1f-4de2-b915-bab7396c4d7b, Nodes: 9356512c-587f-4528-9a9e-3d9c4a96e509{ip: 125.23.57.30, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,676 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d1ae6c8c-704c-4dbc-91f1-53bb9c5f4f50, Nodes: b38e2fe0-aa3e-451d-b15d-fbfe8b50c5f9{ip: 62.97.143.175, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,676 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0805f880-d13b-4215-9415-2fef434447b8, Nodes: 22670ae4-7130-4841-93ff-9c824c8967b0{ip: 94.120.4.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,677 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 20b90600-2798-4958-bede-27bd757fe799, Nodes: f1acbaba-6d9b-409a-91fc-68903b7e4b00{ip: 11.240.72.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,677 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 35a6988c-fc4a-405d-8f55-1aed50e182cc, Nodes: b11f714d-bb36-4288-8cb1-31584ec59088{ip: 6.96.88.123, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,678 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4c42f3e7-2922-43ac-a426-8b591bffa5d1, Nodes: 3404a9f9-864f-4390-ab52-577fa8746ef0{ip: 172.248.106.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,679 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: eebc9a30-c852-4006-89f4-f1bd4427c40b, Nodes: 9356512c-587f-4528-9a9e-3d9c4a96e509{ip: 125.23.57.30, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,679 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: de3a7454-7902-4d6e-8ee9-24fdc2b87389, Nodes: b11f714d-bb36-4288-8cb1-31584ec59088{ip: 6.96.88.123, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,680 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ad280b09-88d2-4706-b69e-df2e2d47246a, Nodes: b11f714d-bb36-4288-8cb1-31584ec59088{ip: 6.96.88.123, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,680 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6e2f1676-0b57-4c61-b9f6-dfb8687f3b24, Nodes: 22670ae4-7130-4841-93ff-9c824c8967b0{ip: 94.120.4.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,681 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 52875f12-938b-4101-96f5-9161207204c0, Nodes: 3404a9f9-864f-4390-ab52-577fa8746ef0{ip: 172.248.106.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,681 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ab424756-7446-4616-a380-64bf5de0e277, Nodes: 22670ae4-7130-4841-93ff-9c824c8967b0{ip: 94.120.4.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,682 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5b3fd005-8f57-46e4-aed2-854591003b2c, Nodes: 3bb302a9-3068-437a-a8a4-750aa68387f4{ip: 156.180.230.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,682 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 783852fd-d16d-4763-9450-7e12b973c1bc, Nodes: c167b786-6aba-424c-844c-7509531660d5{ip: 129.97.22.17, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,683 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b51b0e98-f93a-4895-9dd5-e2d7e1fe1a36, Nodes: 9356512c-587f-4528-9a9e-3d9c4a96e509{ip: 125.23.57.30, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,684 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 038fe854-c5c8-4f95-8bc9-f763ce611d8e, Nodes: 22670ae4-7130-4841-93ff-9c824c8967b0{ip: 94.120.4.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,686 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d47de080-4326-474c-8df8-debba59bafb5, Nodes: c167b786-6aba-424c-844c-7509531660d5{ip: 129.97.22.17, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,687 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7a2f214a-5b66-40bb-a3de-0048c1c5703f, Nodes: 22670ae4-7130-4841-93ff-9c824c8967b0{ip: 94.120.4.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
