2019-06-17 22:42:57,886 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b923ac7f-a639-428a-94cf-41b8f03f08e4, Nodes: 4b1134a3-a5e6-46a0-89d5-d4b1d0ee34a0{ip: 86.85.176.132, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,887 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2f388f29-78b5-43c9-bd9d-71b7d3de540a, Nodes: 2a343df8-411a-4ac1-b15b-a5e983a6651a{ip: 146.52.167.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,887 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9bd92185-f9ca-4dca-8bba-e500ffe88bfe, Nodes: 351f63d7-b3ca-4cdd-a226-f7cf5a2c3fbb{ip: 235.129.146.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,888 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 20d93899-d7eb-4af4-b6e4-515a9adbc990, Nodes: 2a343df8-411a-4ac1-b15b-a5e983a6651a{ip: 146.52.167.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,889 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7f4f66e5-cd59-4d1f-9261-e59c2146bc3c, Nodes: 12ecaac9-f4a7-4ab6-aa3d-2dee920234a8{ip: 245.206.19.171, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,890 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 44ceec14-9c9b-41c5-84e2-f0b4aaaaace9, Nodes: 5f40d04f-60c3-4034-a569-d4cb30160faa{ip: 160.72.164.232, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,890 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 91f93c63-4704-4cdd-819e-1cd7ceea694b, Nodes: 4b1134a3-a5e6-46a0-89d5-d4b1d0ee34a0{ip: 86.85.176.132, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,891 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e2d29202-934b-409a-982f-3135f6310ecd, Nodes: 53c17031-9b1f-4f5b-a37d-81547a8fc73f{ip: 202.193.16.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,892 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f7f84a2e-498e-4fad-bb27-f1c2f9f1d7fb, Nodes: f7b854c3-0a4d-4ef7-9035-28e003a41467{ip: 76.122.161.10, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,892 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 465ace68-29d9-4077-8cdf-792ce86a9451, Nodes: 12ecaac9-f4a7-4ab6-aa3d-2dee920234a8{ip: 245.206.19.171, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,893 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: de9b93f4-fc30-4fe4-a82b-212842c60581, Nodes: 5f40d04f-60c3-4034-a569-d4cb30160faa{ip: 160.72.164.232, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,894 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: beebf6bd-25d4-48ce-a60b-2b79e247c0b4, Nodes: 12ecaac9-f4a7-4ab6-aa3d-2dee920234a8{ip: 245.206.19.171, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,896 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dc98b99e-0449-4ece-9160-bf69207aaf21, Nodes: 351f63d7-b3ca-4cdd-a226-f7cf5a2c3fbb{ip: 235.129.146.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,897 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9b034382-f46c-4adc-a15b-4a60d519d638, Nodes: 5f40d04f-60c3-4034-a569-d4cb30160faa{ip: 160.72.164.232, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
