2019-06-15 15:40:04,964 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 058cd3c5-eac1-4a22-ab24-ef512bd350d1, Nodes: 09cac20d-717b-4450-868b-d18c80f293b7{ip: 137.100.138.104, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,965 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0b1f0b88-1833-427a-8cbd-18325a470a5a, Nodes: d465b335-d57b-45d0-9759-6acd6065321d{ip: 161.27.158.65, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,965 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1254c1be-1b83-47ba-9af4-fcc32ea92e30, Nodes: bcdd4c87-d813-43e9-94b1-b196e69eb794{ip: 230.96.196.55, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,966 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 53edb0a0-713a-4101-ba30-8ad7a7f99a47, Nodes: 09cac20d-717b-4450-868b-d18c80f293b7{ip: 137.100.138.104, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,967 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: faf08e18-cfca-4910-95ce-07d27047aca3, Nodes: 36eaf9f1-9137-446c-9e9c-3f7493bdf163{ip: 27.223.120.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,967 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e228b21a-4d9c-469d-b394-57b994e08a0e, Nodes: 36eaf9f1-9137-446c-9e9c-3f7493bdf163{ip: 27.223.120.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,968 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: edeba505-02e3-4c19-bfc3-56e9f18e057a, Nodes: 36eaf9f1-9137-446c-9e9c-3f7493bdf163{ip: 27.223.120.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,968 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4a08d9ca-457b-424f-96b0-e83446acfe04, Nodes: 36eaf9f1-9137-446c-9e9c-3f7493bdf163{ip: 27.223.120.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,969 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c39d7c46-d3b1-4118-a178-066cc24aa59d, Nodes: 09cac20d-717b-4450-868b-d18c80f293b7{ip: 137.100.138.104, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,970 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3f9021d7-da54-4528-81ec-ca654b84dd19, Nodes: 36eaf9f1-9137-446c-9e9c-3f7493bdf163{ip: 27.223.120.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,970 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f5d175af-230a-439e-b7c6-20c87cce305f, Nodes: d465b335-d57b-45d0-9759-6acd6065321d{ip: 161.27.158.65, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,971 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 19bdd045-14dd-40f6-9504-6c66f4ccaafc, Nodes: ccded171-e932-4d8b-b88b-c5d8f5470b07{ip: 144.178.58.213, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,971 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 929e0543-7294-48b0-a191-ec7ec93b4555, Nodes: 968e7d08-fac4-4df0-804d-d5d9b49d8a26{ip: 209.168.117.72, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,972 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4f28ccb8-71cc-469e-b2bc-d55139ad7d43, Nodes: ccded171-e932-4d8b-b88b-c5d8f5470b07{ip: 144.178.58.213, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,973 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9849ac1f-5e74-4a5a-bcc8-69bfdb358870, Nodes: bcdd4c87-d813-43e9-94b1-b196e69eb794{ip: 230.96.196.55, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,974 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3ec3a423-de2b-4ed6-847c-6e68ec55a596, Nodes: bcdd4c87-d813-43e9-94b1-b196e69eb794{ip: 230.96.196.55, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,974 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1e29c522-d572-4070-b64b-83919c265ab5, Nodes: 968e7d08-fac4-4df0-804d-d5d9b49d8a26{ip: 209.168.117.72, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,975 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8653c2b6-f568-45ce-a014-d203db9da4aa, Nodes: 968e7d08-fac4-4df0-804d-d5d9b49d8a26{ip: 209.168.117.72, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,976 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 57d1be48-1ff6-42cb-9423-50618c4d4a97, Nodes: 36eaf9f1-9137-446c-9e9c-3f7493bdf163{ip: 27.223.120.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,976 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ead75138-59b8-4ea4-bf5e-d39319b99ec8, Nodes: bcdd4c87-d813-43e9-94b1-b196e69eb794{ip: 230.96.196.55, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,977 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 99f5691a-6bc5-481b-bf82-dde10e4c7393, Nodes: d465b335-d57b-45d0-9759-6acd6065321d{ip: 161.27.158.65, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,977 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b7ec46ea-f318-4e5d-b417-8d5a246e974b, Nodes: 36eaf9f1-9137-446c-9e9c-3f7493bdf163{ip: 27.223.120.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,978 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ad392162-6c64-440a-97ec-d8334cd8609d, Nodes: ccded171-e932-4d8b-b88b-c5d8f5470b07{ip: 144.178.58.213, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,979 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7a523409-ebf7-417d-9a5b-b7eb48a8a056, Nodes: ccded171-e932-4d8b-b88b-c5d8f5470b07{ip: 144.178.58.213, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,980 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c287bebc-5806-4f17-abf8-4ed218a15209, Nodes: 36eaf9f1-9137-446c-9e9c-3f7493bdf163{ip: 27.223.120.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,981 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d210e79c-6d73-4877-b5c3-14f2b3ac6f23, Nodes: bcdd4c87-d813-43e9-94b1-b196e69eb794{ip: 230.96.196.55, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,982 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: df03374e-cc2e-4850-a344-d733b213948a, Nodes: 9ad7fdc5-da92-4a8d-a061-01e8e8efe6e5{ip: 82.79.46.130, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
