2019-06-18 15:57:01,811 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f5feeb6b-2964-4377-a5ba-fd1a13fd3cd4, Nodes: 367efe80-c23b-412b-9aaa-5a9898981be9{ip: 82.96.182.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,812 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b0993dd3-9e37-402b-a993-d2a0a263ccaf, Nodes: 509e4221-de95-4b87-9254-d62ecd51be71{ip: 252.6.172.105, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,813 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f257516e-3757-4624-bd0f-09bf4eaee82f, Nodes: 8073290e-89ad-4e4f-a908-b42dd389f991{ip: 91.166.135.164, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,814 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 68cbdce4-c7e8-4223-8a30-39fcec2b35bf, Nodes: f5aa4026-454d-42f9-8572-87a7537f76d7{ip: 151.193.241.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,814 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5c335353-c249-42e0-b4d1-bbe190683443, Nodes: 23c79f9f-c17d-4f97-8418-0da510ed0758{ip: 214.245.203.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,815 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 58d8480b-bf51-4a76-993b-fdc7e52d8e5f, Nodes: 7155ddb3-a45b-45f6-b1f1-61506c4473e4{ip: 245.35.227.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,816 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: feccba7c-eaaa-4722-856a-8864b5dd8601, Nodes: 367efe80-c23b-412b-9aaa-5a9898981be9{ip: 82.96.182.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,816 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7d86192c-cfd5-49b4-8f4c-487d6bf2f9bc, Nodes: 8073290e-89ad-4e4f-a908-b42dd389f991{ip: 91.166.135.164, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,817 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8d6b20a6-3efd-4b1a-a5b4-f2ac989c8e07, Nodes: 367efe80-c23b-412b-9aaa-5a9898981be9{ip: 82.96.182.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,817 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1fc38dab-59e4-451a-832e-7e9311d1ca0e, Nodes: 7155ddb3-a45b-45f6-b1f1-61506c4473e4{ip: 245.35.227.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
