2019-06-15 11:22:06,560 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 11:22:06,721 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-15 11:22:06,721 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 11:22:07,036 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 37c5fba9-41a6-42cd-93de-ea860265fdc4, Nodes: 33696b27-a028-4484-85af-d0dfadd7ee4a{ip: 69.120.81.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,037 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4ac18c44-a795-4713-8ea0-005f422a4bba, Nodes: 37c2a347-4a17-4af1-a439-4e2e30e1d958{ip: 149.41.50.157, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,037 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 039d72dc-5046-465c-bea4-409247c92d0d, Nodes: 4f815b5f-914e-40a9-97da-4d5c326c33f9{ip: 25.255.186.140, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,038 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d8fead67-ac32-4605-b871-9be70f589fc8, Nodes: 37c2a347-4a17-4af1-a439-4e2e30e1d958{ip: 149.41.50.157, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,039 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b34d2044-d47c-4050-a831-af976a84f264, Nodes: 4a95e09e-ad32-449a-b811-185e539862f0{ip: 104.134.104.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,039 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b2f6f8e2-fde6-438d-a8b0-502191593a36, Nodes: 3464a350-20fc-461f-b125-48e71ebf2faf{ip: 20.85.130.51, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,040 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c4f0e79f-2089-4fe7-aba2-e476754c5a8b, Nodes: 4f815b5f-914e-40a9-97da-4d5c326c33f9{ip: 25.255.186.140, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,041 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0634751e-3a5e-4887-b691-bd98cbe2e75a, Nodes: 3464a350-20fc-461f-b125-48e71ebf2faf{ip: 20.85.130.51, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,041 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 705ad58f-5e09-4421-900b-b7df946deac9, Nodes: 33696b27-a028-4484-85af-d0dfadd7ee4a{ip: 69.120.81.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,042 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b9332b1b-12aa-4b9f-9dc0-3d3b8fa006ef, Nodes: 4a95e09e-ad32-449a-b811-185e539862f0{ip: 104.134.104.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
