2019-06-15 13:35:50,896 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a6ed1b88-dd29-4318-9a8d-676edfb5e36e, Nodes: b252cc0f-c799-4178-98f4-b650c4c769e5{ip: 244.242.222.226, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,897 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1daa79da-0bf5-4b7f-9c7b-a2b5aeed2add, Nodes: b252cc0f-c799-4178-98f4-b650c4c769e5{ip: 244.242.222.226, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,897 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6f23e65a-3b85-40f4-b42e-8513094a86e6, Nodes: 39568f07-ee38-4618-993c-f4b06ca65e6d{ip: 75.36.48.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,897 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1a0abeb1-0ac5-4f64-a8d7-7067ebe134d7, Nodes: dcf9bdd1-fcdf-478f-bd60-62f52672cd6d{ip: 37.163.166.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,898 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a05b7fc1-467a-48fb-a3d7-76f079323562, Nodes: dcf9bdd1-fcdf-478f-bd60-62f52672cd6d{ip: 37.163.166.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,898 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7a5ed614-09cd-43c2-b958-2fd730a1e20f, Nodes: dcf9bdd1-fcdf-478f-bd60-62f52672cd6d{ip: 37.163.166.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,899 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 117ac280-4554-461d-b59c-75745e09a6a7, Nodes: 39568f07-ee38-4618-993c-f4b06ca65e6d{ip: 75.36.48.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,899 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8d4af7cf-e88c-45de-873f-9474cfedce2d, Nodes: dcf9bdd1-fcdf-478f-bd60-62f52672cd6d{ip: 37.163.166.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,900 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2adaab6b-d543-4637-b4e3-448d339efbdb, Nodes: 39568f07-ee38-4618-993c-f4b06ca65e6d{ip: 75.36.48.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,901 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 032886bf-d634-4752-9276-7850f900d22d, Nodes: 54b2977d-3a3d-4814-991b-c92ce7c83d1d{ip: 170.79.58.161, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,901 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c10a517c-b4cc-4754-a532-a8c4bbeeb92b, Nodes: dcf9bdd1-fcdf-478f-bd60-62f52672cd6d{ip: 37.163.166.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,902 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a89e0f5e-142a-4992-aaf5-4cbd7252fa1e, Nodes: f007f277-3b7d-48bc-82da-0aab222dfd43{ip: 225.22.250.54, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,902 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3572600b-25cd-4a1f-b890-b0d278b8e299, Nodes: f007f277-3b7d-48bc-82da-0aab222dfd43{ip: 225.22.250.54, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,903 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 577f649d-b0fb-4df6-be87-7c65b895ea19, Nodes: 39568f07-ee38-4618-993c-f4b06ca65e6d{ip: 75.36.48.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,903 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 88188009-ac08-4a52-baa5-16b11d1eeaec, Nodes: b252cc0f-c799-4178-98f4-b650c4c769e5{ip: 244.242.222.226, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,904 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8e35f569-759f-450e-9904-c46c4780bc7c, Nodes: 6931cc92-8087-4518-a529-3fc25fca6af4{ip: 114.78.147.96, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,905 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a95ae972-36fb-4a61-b141-166d1f07a851, Nodes: 54b2977d-3a3d-4814-991b-c92ce7c83d1d{ip: 170.79.58.161, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,906 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c8f634d3-005e-48a7-9122-a1505e65fe96, Nodes: e17b67f6-c63a-43aa-8ee6-62b1c15cde6b{ip: 6.145.129.180, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,907 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b231b0c8-fb49-495f-a551-45e0a4974954, Nodes: e17b67f6-c63a-43aa-8ee6-62b1c15cde6b{ip: 6.145.129.180, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
